globalID_A,globalID_B
BL123955,BL123955
DX46717,DX46717
AG32533,AG32533
EG3656,EG3656
EH18941,EH18941
CW866950,CW866950
AN112200,AN112200
BF9247,BF9247
BE8408,BE8408
AB7357,AB7357
DH17455,DH17455
EH214722,EH214722
DL129341,DL129341
DE200607,DE200607
EH342990,EH342990
CC103903,CC103903
EP2365,EP2365
BN65995,BN65995
BY479012,BY479012
BE229810,BE229810
AL104212,AL104212
AY20329,AY20329
EH405746,EH405746
EH775272,EH775272
BE226064,BE226064
BN302662,BN302662
BB13222,BB13222
CJ140452,CJ140452
DR63147,DR63147
BR98875,BR98875
DB74948,DB74948
BJ35513,BJ35513
ER27589,ER27589
CW177755,CW414938
EH125088,EH125088
BM6576,BM6576
BL205737,BL205737
DB163866,BB49478
BH100531,BH100531
DB213453,DB213453
CW840631,CW840631
AA164620,AA164620
EH475993,EH475993
AN145665,AN145665
AL190892,AL190892
EH625496,EH625496
EH754157,EH754157
AJ31072,AJ31072
DB113413,DB113413
DS101987,DS101987
BY467571,BY467571
BL300691,BL300691
BM19284,BM19284
CW320188,CW320188
CE41249,CE41249
DR97748,DR97748
EH211300,EH211300
AN130692,AN130692
CW150365,CW150365
AL91144,AL91144
AW170626,AW170626
BN313003,BN313003
EH32435,EH32435
EH644090,EH644090
BN221214,BN221214
AX4297,AX4297
DZ33731,DZ33731
CB22439,CB22439
BJ29884,BJ29884
BM57413,BM57413
CW354492,CW354492
EH729505,EH729505
DJ13741,DJ13741
AS77193,AS77193
EH840685,EH840685
CJ17756,CJ17756
EH874110,EH874110
BP51370,BP51370
AN137657,AN137657
EP82715,EP82715
AM39561,AM39561
EH656498,EH656498
CW893784,CW893784
BY46172,BY46172
BW7750,BW7750
AA100847,AA100847
AM31930,AM31930
EH258005,EH258005
DE233272,DE233272
BN352342,BN352342
EH76307,EH76307
BB43938,BB43938
AS65147,AS65147
DR35284,DR35284
CB61404,CB61404
AW177939,AW177939
BY396143,BY396143
EH96542,EH96542
AW64501,AW64501
EH758022,CW497299
CJ103226,CJ103226
BL88343,BL88343
EF143277,EF143277
BN365455,BN365455
BY470748,BY470748
AN129593,AN129593
BR151550,BR151550
DP29897,DP29897
EH363731,EH363731
DB156306,DB156306
CW58841,CW58841
BL39116,BL39116
AN7488,AN7488
EH205043,EH205043
CM17941,CM17941
DD75573,DD75573
BP43966,BP43966
DE174719,DE174719
EH472213,EH472213
EF41789,EF41789
EG38709,EG38709
CZ48268,CZ48268
BL83594,BL83594
AL145606,AL145606
EH460595,EH460595
EF88429,EF88429
BN64557,BN64557
DL154605,DL154605
AP70439,AP70439
BY487497,BY487497
DT120761,DT120761
AY28630,AY28630
DZ61646,DZ61646
EH667590,EH667590
EF128646,EF128646
AL159083,AL159083
EH874982,EH874982
BY525282,BY525282
DB11628,DB11628
BN368809,BN368809
BZ31407,BZ31407
BL346502,BL346502
EH124194,EH124194
CC115504,CC115504
AW158539,AW158539
DG32558,DG32558
BL186115,BL186115
DJ6373,DJ6373
EH367137,EH367137
EH28214,EH28214
DN123496,DN123496
BE188822,BE188822
BH85239,BH141639
BY397903,BY397903
DR105825,DR105825
CB54525,CB54525
EA42165,EA42165
DE263682,DE263682
CR19204,CR19204
CW483357,CW483357
AY4388,AY4388
AY13262,AY13262
BR120752,BR120752
BL296467,BL296467
BY475667,BY475667
EH133404,EH133404
EH45110,EH45110
BL17427,BL17427
BM48651,BM48651
BR157685,BR157685
EH861221,EH861221
BR92093,BR92093
EH446044,EH446044
CM16566,CM16566
DH49646,DH49646
BD108243,BD108243
BN106012,BN106012
EF106216,EF106216
BN41535,BN41535
CB51258,CB51258
CC99520,CC99520
BY522251,BY522251
BE27593,BE27593
AW77961,AW77961
CW174497,CW174497
CT46144,CT46144
EB64596,EB64596
BE311411,BE311411
EH189473,EH189473
BE196820,BE196820
DB148576,DB148576
BL357431,BL357431
BZ16980,BZ16980
DA99482,DA99482
DT128498,DT128498
CW9771,CW9771
DD93414,DD93414
DK35678,DK35678
DT54615,DT54615
EH871577,EH871577
BM11991,BM11991
DB228655,DB228655
DT60439,DE110006
BE106974,BE106974
EH466289,EH466289
CW602093,CW602093
AW39696,AW39696
BH3355,BH3355
DB214724,DB214724
EH471748,EH471748
BH77862,BH77862
AL91901,AL91901
BE305323,BE305323
BD102829,BD102829
DC22112,DC22112
DZ10015,DZ10015
BY48114,BY48114
DE101610,DE101610
BN409488,BN409488
CW793715,CW793715
BH130185,BH130185
AW169286,AW169286
EH175707,EH175707
CW498191,CW498191
DY13191,DY13191
CM28731,CM28731
AN63996,AN63996
BD67701,BD67701
CC104273,CC104273
ER31251,ER31251
DL195859,DL195859
DJ2926,DJ2926
CW505128,CW505128
BZ34897,BZ34897
BH147904,BH147904
EH731440,EH731440
CM51820,CM51820
AX44559,AX44559
BR174306,BR174306
EH321367,EH321367
EA16898,EA16898
EH341554,EH341554
