globalID_A,globalID_B
CW49302,CW529219
CW982014,CW982014
CW598223,CW603168
CW1049401,CW1049401
CW802330,CW802330
CW29098,CW29098
CW914502,CW933706
CW977238,CW552150
CW716739,CW716739
CW533283,CW523496
CW938713,CW938713
CW907679,CW555824
CW740298,CW740298
CW1101301,CW1101301
CW1063498,CW1063498
CW23290,CW411244
CW1023372,CW817996
CW275096,CW303863
CW987079,CW987079
CW1245845,CW421880
CW120098,CW239782
CW939068,CW939068
CW158984,CW158984
CW845189,CW845189
CW770735,CW770735
CW895103,CW895103
CW37792,CW37792
CW502417,CW502417
CW782355,CW782355
CW742274,CW742274
CW3936,CW3936
CW658566,CW658566
CW910389,CW876371
CW1024308,AN154296
CW1000722,CW957116
CW1059619,CW1059619
CW898163,CW898163
CW821592,CW821592
CW917227,CW796499
CW59480,CW229436
CW919639,CW919639
CW929650,CW726443
CW854254,CW854254
CW102830,CW102830
CW1232795,CW1232795
CW131498,CW131498
CW287082,CW287082
CW1013468,CW684744
CW577153,CW577153
CW859082,CW611439
CW993110,CW993110
CW929650,CW1007548
CW747785,CW747785
CW979533,CW979533
CW958933,CW958933
CW179188,CW364448
CW749295,AN78415
CW957787,CW957787
CW887095,CW999641
CW659101,CW659101
CW104450,CW104450
CW791550,CW791550
CW258715,CW531086
CW978743,CW978743
CW443091,CW443091
CW508893,CW508893
CW1014400,CW602821
CW1200135,CW1114267
CW1246172,CW1246172
CW340925,CW340925
CW1251936,CW494759
CW71705,CW71705
CW152764,CW869349
CW711350,CW611107
CW712258,CW712258
CW859082,CW859082
CW788710,CW788710
CW939068,CW1033932
CW978888,CW978888
CW637095,CW301220
CW994125,CW994125
CW87571,CW87571
CW467791,CW936880
CW749295,CW592873
CW868458,CW868458
CW949907,CW949907
CW999830,CW999830
CW982863,CW982863
CW1158925,CW1158925
CW447584,CW6943
CW313094,CW313094
CW942679,CW942679
CW534901,CW534901
CW324029,CW324029
CW589458,CW589458
CW230498,CW230498
CW450284,AN78415
CW438307,CW438307
CW741089,CW741089
CW808379,CW808379
CW116003,CW116003
CW776553,CW776553
CW1263528,CW1263528
CW769188,CW769188
CW709803,CW717796
CW1010889,CW1010889
CW1013468,CW879595
CW93484,CW93484
CW598223,BR129238
CW200665,CW200665
CW1088091,CW1088091
CW1061800,CW1061800
CW823611,CW823611
CW872693,CW98658
CW101613,CW217159
CW992165,CW992165
CW1013584,CW1013584
CW1132413,CW1132413
CW17495,CW17495
CW650124,CW650124
CW176387,CW176387
AN119713,AN119713
CW760406,CW760406
CW596606,CW596606
CW609644,CW619257
CW11515,CW11515
CW304574,CW304574
CW434333,CW220463
CW1036419,CW1036419
CW59480,CW59480
CW450284,CW594566
CW947355,CW947355
CW876371,CW876371
CW639781,CW639781
CW923945,CW923945
CW31511,CW31511
CW872693,CW135547
CW1138102,CW778922
CW253491,CW180747
CW934295,CW934295
