globalID_A,globalID_B
BR131900,BR131900
EF134818,EF134818
AN170060,AN170060
EF34752,EF34752
AN122092,AN122092
BR161040,BR161040
DT157023,DT157023
AN87887,AN87887
CW1245521,CW1245521
BR152837,BR152837
EF123794,EF123794
BR151096,BR151096
AN212564,AN212564
CN68050,CN68050
BR125563,BR125563
BR7626,BR7626
BR141168,BR141168
BR184649,BR184649
AN43765,AN43765
EF177586,EF177586
CN98682,CN98682
DW41266,DW41266
DZ46044,DZ46044
EF9455,EF9455
CW464053,CW464053
BR77301,BR77301
EF231958,EF231958
AD33309,AD33309
CN53897,CN53897
CW731849,CW731849
AN126635,AN126635
BB40601,BB40601
BR212581,BR212581
AN83298,AN83298
EF190587,EF190587
CW1082783,CW1082783
AN157014,AN54553
DZ35272,DZ35272
DT109961,DT109961
CN63274,CN63274
CN60136,CN60136
DZ58219,DZ58219
AN227595,AN227595
CW1047965,CW1047965
CW43497,CW142273
BR80385,BR80385
AN111762,AN111762
AN6797,AN6797
AN10975,AN10975
CW1077584,CW1077584
BR158599,BR158599
AN50047,AN50047
CW847273,CW847273
CW105129,CW105129
CN27277,CN27277
BR48351,BR48351
AN198260,AN198260
CN96818,CN96818
DT118779,DT118779
BR20267,BR20267
AN113084,AN113084
BR141116,BR141116
BR196115,BR196115
AN179540,AN179540
CW117208,CW117208
AN81157,AN81157
CN2210,CN2210
BR83230,BR83230
BR186146,BR186146
CW984611,CW984611
CW928118,CW928118
CN51776,CN51776
DT55659,DT55659
BR208209,BR208209
CN88144,CN88144
BB95449,BB95449
DZ8864,DZ8864
AN111511,AN111511
CW171942,CW171942
CW701131,CW701131
AN153126,AN153126
AN75399,AN75399
BR50141,BR50141
AN224121,AN224121
CW226619,CW226619
EF6482,EF6482
DW41023,DW41023
CW708412,CW708412
BR142944,BR142944
AN133544,AN133544
AN12339,AN12339
CG97174,CG97174
DT140206,DT140206
AN187390,AN187390
BR3981,BR3981
CW40342,CW40342
CN43435,CN43435
DT139224,DT139224
AN54553,AN54553
AN18283,AN18283
BR158478,BR158478
BR12589,BR12589
CW1011121,CW1011121
AN166497,AN166497
BR186891,BR186891
AN45025,AN45025
CW324327,CW1345809
BR90388,BR170407
CW698616,CW698616
AN184070,AN184070
CN88827,CN88827
BR45622,BR45622
CW618891,CW618891
AN118101,AN118101
BR117116,BR117116
BR21528,BR21528
CW138176,CW546469
AN140198,AN55902
AN176555,AN176555
BB90516,BB90516
DW68579,DW68579
CN86583,CN86583
CN84187,CN84187
AN145545,AN145545
CW707592,CW941451
BR170407,BR170407
AN177018,AN177018
AN9221,AN9221
DZ52226,DZ52226
AN80363,AN80363
DZ14091,DZ27846
BR187556,BR187556
BR11588,BR11588
BR188440,BR188440
BB113516,BB113516
EF114106,EF114106
CN85079,CN85079
DZ29318,DZ25044
BB97897,BB97897
AD15592,AD15592
CW397388,CW397388
BR188154,BR188154
CN64458,CN64458
BR162357,BR162357
CN83873,CN83873
CW520110,CW520110
CN80638,CN80638
EF177609,EF177609
BB92608,BB92608
DW73231,DW73231
AN79439,AN79439
AN194131,AN194131
CN28779,CN28779
BR45751,BR45751
AN223938,AN223938
DW46511,DW46511
CW729066,CW729066
AN44525,AN44525
BR132673,BR132673
CW1093452,CW1093452
BR127670,BR127670
CW706971,CW706971
EF221434,EF221434
BB111321,BB111321
BR185628,BR185628
DW71861,DW71861
EF220561,EF220561
CN53374,CN53374
BR180983,BR180983
EF180065,EF180065
AN6758,AN6758
CN8713,CN8713
AN128412,AN128412
CW804340,CW804340
BR144570,BR144570
BR171586,BR171586
BR240536,BR240536
AN56907,AN56907
CW855882,CW758035
AN146065,AN146065
AN148022,AN57808
AN120238,AN120238
DZ16805,DZ16805
AN69019,AN69019
DZ65315,DZ65315
CW554018,CW554018
BR185307,BR185307
AN117048,AN117048
BR121067,BR121067
CW845255,CW845255
CN29416,CN29416
BR99209,BR99209
AN20052,AN176626
DZ67855,DZ67855
DW30329,DW30329
AN127129,AN127129
DZ29318,DZ29318
AN114492,AN114492
CN59157,CN59157
AN173297,AN173297
BR181985,BR181985
BR122588,BR122588
DZ53851,DZ53851
BB90803,BB90803
AN19439,AN19439
BR56777,BR56777
EF127960,EF127960
AN74733,AN74733
DZ61185,DZ61185
EF51231,EF51231
DW36957,DW36957
CW601288,CW601288
BR127529,BR127529
AN4464,AN4464
BR188076,BR188076
AN150406,AN150406
BR150715,BR150715
AN96588,AN96588
AN203729,AN203729
BB85498,BB57670
BR165205,CN19067
CW706971,CW890604
AN202770,AN202770
AN99316,AN99316
CW546469,CW546469
AN162670,AN162670
AN62621,AN188115
CW228224,CW228224
