globalID_A,globalID_B
EL63165,EL63165
AL208077,AL228383
DR96172,DR96172
CW205884,CW205884
AL172802,AL172802
AP79283,AP79283
CW365058,CW886560
EF122505,EF122505
AK26386,AK26386
AW121082,AW148046
EF126854,EF126854
DB275340,DB325237
BK53618,BK53618
AL50791,AL50791
AB25016,AE17255
DB60959,DB60959
CW445215,AS2753
AW190909,AW190909
AW29846,AW29846
CW789358,CW1068152
DT140810,DT140810
CG18055,CG18116
EN69441,EN69441
BR183769,BR183769
CZ53920,BC15142
CW99478,CW99478
DT33249,DT33249
CW198229,CW145126
CW925747,CW925747
CW573430,CW573430
AL57748,AL106065
AW60873,AW60873
EF105095,EF105095
BE378062,BE378062
AK140301,AK63275
EL91399,EL90990
CW901730,CW1173984
AL56290,AL56290
CG118687,CG118687
CW26406,CW26406
AK111837,AK111837
DW34905,DW59218
CW1054664,CW534607
AK34562,AK34562
AP23451,AP23451
BB51051,BB51051
DR93705,DR79077
CH15647,CH15647
BE398514,BE398514
CW1032843,CW461498
EH476751,DB111906
DD123481,DD123481
BD137298,BD137298
AL60739,AL104882
CM54342,CM59927
CW575610,CW575610
CW776598,CW776598
CW692080,CW690720
CG126050,BE30488
CW806772,CW688608
DR142171,DX65670
AS74778,AS74778
BE363367,BE363367
CW1170773,CW384617
DB309290,CC153913
CW27539,CW143256
CW81598,CW179470
CG10880,CG10880
CC102983,CC102983
CA66987,BR51277
CM74992,DW27998
EF197408,DZ64298
AL122142,AL122142
BE200228,BE328648
CW749468,CW749468
CW914281,CW914281
CW186575,CW186575
CW637663,CW648514
CW724012,CW933188
CW850285,CW499592
AL196362,AL196362
EM121654,EM121654
DT67849,DT67849
AN159041,AN159041
BE39238,BE39238
CB39844,CB6435
CW1001164,BY335235
CW318050,CW1317428
CR9226,CR9226
BE323617,BE394084
CW887185,CW887185
AE14506,AE14506
DB59182,AM29207
CW705410,CW705410
CW573572,CW596066
AL215435,EF73706
CW236133,AN34090
BE367609,BE367609
CR21169,BC67458
CW609323,CW183038
CW240237,CW904054
CW500016,CW897802
EC22570,EC22570
BB51760,BB51760
DR21362,DR21362
DB202924,DB196204
CW211852,CW135387
CW872142,CW648514
EF3524,EF3524
CW820091,DZ65713
CW133300,CW133300
DR89025,DR89025
CW543181,BE301683
CW855896,CW855896
CW1176083,CW960015
DR116028,DR116028
DB242998,DB242998
CW39782,CW140443
CC135874,CC135874
BD86992,BD63461
CW363986,CW142537
CW818789,CW339221
AN188860,AN188860
EN63595,EN63595
DB72693,CB12306
CW192003,CW192003
BD137466,BD137466
AK14283,AK14283
AP77888,AP77888
CW939815,CW939815
CW862031,CW405304
CW908371,CW908371
CT18463,CC78989
CW670331,CW670331
BE431025,BE431025
CW245871,CW415422
CW904262,CW904262
CW525138,CW603679
DD123325,DD123325
CW495550,CW495550
AS81868,AS81868
AL169362,AL169362
DH62822,DH62822
CW23027,ES8811
DT145606,DT145606
AL231013,AL231013
BA15657,BA15657
DB244892,DB244892
AM83579,AM83579
CW83679,CW83679
CW90766,CW90766
DL39448,CC63968
DR50892,DR50892
AL222836,AL222836
CW948502,CW1173492
DB237192,DB237192
CW1124106,CW765534
DL170866,DL170866
CW824623,CW824623
CW763097,CW763097
CW564105,CW564105
AL78578,CB3220
DB99269,DB99269
CW1040448,CW1159108
AN128412,AN128412
CW283819,CW471723
AN172103,AN172103
CW613847,CW613847
DX4663,DX4464
AL157981,AL157981
CW516377,CW413602
BR127228,BR127228
AN21310,AN62089
AB8599,AB8599
AL66715,AL172438
CG71177,CG71177
CW599000,CW511264
CN13488,AY11565
CW1150257,CW1150257
AF23986,CN80083
CW640239,CW558867
CW125848,CW125848
CR18360,CR18360
AL332989,AL31809
