globalID_A,globalID_B
AA113551,AA113551
DN133250,DN133250
AA6955,AA6955
BH130514,BH130514
DN81968,DN81968
BN447804,BN447804
DS53240,DS53240
DE288455,DE288455
DN112106,DN112106
AA135599,AA135599
DE284577,DE284577
BH21143,BH21143
AA123526,AA123526
DN140667,DN140667
BY444195,BN156409
BH90269,BH90269
BY641463,BY641463
AA71456,AA71456
BH86737,BH86737
BH74943,BH70181
AA89462,AA89462
DN146778,DN146778
AA171614,AA171614
BY369696,BY369696
BY605462,BY605462
CY33875,CY33875
AT27200,AT27200
BY489377,BY489377
DE212083,DE212083
BN146183,BN146183
BY541759,BY541759
BY642274,AA129903
BY588139,BY588139
BH142279,DN120125
BN480611,BN480611
CZ80824,CZ80824
BY665784,BY247671
BH77206,BH77206
DN94366,DN146336
DN112122,DN112122
BY587631,BY587631
AA171456,AA171456
BY592497,BY592497
BY225227,BY225227
AA31180,AA31180
DN119013,DN119013
BY376918,BY376918
AA179627,AA179627
DN42005,DN42005
AA15147,AA129334
BY558391,BY558391
BY503779,BY503779
BN339065,BN339065
DN34378,DN34378
DN122323,DN122323
DN134010,DN134010
BY589617,BY589617
BH180947,BH180947
BH172930,BH172930
DE162660,DE162660
DS100289,DS100289
BY154495,BY623594
AA133298,AA133298
AA13724,BH166341
DE46926,DE46926
BN354748,BN354748
BY622687,BB87956
AA182254,AA182254
BH130654,BH130654
DN6896,DN6896
AA84478,AA84478
BH134945,BH134945
DN93725,DN93725
DN132390,DN132390
AA131457,AA131457
BH146401,BH146401
BH132115,BH132115
DN105889,DN105889
BN531673,BN531673
DE273820,DE273820
BH119009,BH119009
BH6394,BH6394
BN19301,BN35448
BH152139,BH152139
DE220496,DE220496
BN426313,BN426313
BH94981,DN47290
BN353873,BN353873
AA148130,AA148130
DS5575,DS5575
DE53281,DE53281
BN35448,BN35448
BH75791,BH75791
DE136455,DE136455
BH144640,BH144640
BH5743,BH5743
BY552463,BY552463
AA140169,AA140169
DN128551,DN128551
BN406817,BN406817
BY585973,BY585973
BH101586,BH101586
AA190444,AA186572
DN129480,DN129480
DN21206,DN21206
BH27916,BH27916
BN324060,BN324060
BH158316,BH158316
AA169312,AA169312
AA114045,AA140994
AA108645,AA75847
AA170560,AA170560
DN80953,DN80953
BH35596,BH35596
BH87761,BH87761
BN344296,BN344296
DN70134,DN70134
AA118894,AA118894
DE126599,DE126599
DE226044,DE226044
BY372453,BY372453
AA144197,AA144197
BY618789,BY618789
BH19681,BH19681
BH141143,BH141143
BY622687,BY482592
BY722553,BY722553
BH81979,BH81979
BH77426,BH77426
DN29134,DN29134
BH161354,BH161354
BH162048,BH162048
BY348453,BY348453
AA163430,AA163430
BY495766,BY495766
BH118618,BH118618
AA195178,AA195178
BH46280,BH46280
AA160822,AA160822
AA191106,AA191106
AA204248,AA204248
BY337291,BY337291
BY609938,BY609938
AA207065,AA206507
DN117553,DN117553
AX45330,AX45330
AA196463,AA196463
DS71919,DS71919
BH102102,BH102102
BY498731,BY498731
AA152631,AA152631
AX20434,AX20434
AA154332,AA154332
BY422519,BY422519
BY598539,BY598539
BY237558,BY237558
AA12918,AA12918
DN128878,DN128878
AA127999,AA127999
BH181241,BH181241
AA67577,BH6394
BY622322,BY622322
DE31996,DE31996
CY24849,CY24849
DN11457,DN17866
AA67577,AA37921
DE148629,DE148629
BH45298,BH45298
AA121971,AA121971
BN279311,BN279311
BN230197,BN339065
BH116593,BH116593
DN125623,DN125623
AA163452,AA163452
AA201838,AA201838
BH70377,BH70377
AA162893,AA162893
DN68985,DN68985
AA165429,AA165429
BN441500,BN441500
DS99081,DS99081
BY254179,BY254179
BL34435,BL34435
AA162585,AA162585
DE189549,DE189549
DE203875,DE203875
AA122605,AA122605
BY383307,BY383307
BH38810,BH38810
BY720025,BY720025
AA142603,AA142603
BY293942,BY293942
DN6987,DN6987
DN62408,BY346671
