globalID_A,globalID_B
EH206666,EH206666
EH826873,EH826873
EH828481,EH828481
EH791093,EH791093
EH1108462,EH1108462
EH270731,EH270731
EH824778,EH824778
EH1318477,EH1318477
EH849151,EH849151
EH585139,EH585139
EH824046,EH824046
EH179137,EH179137
EH789308,EH789308
EH934272,EH934272
EH921368,EH904479
EH1105414,EH1105414
EH982587,EH982587
EH518763,EH518763
EH631778,EH1309895
EH1139493,EH1139493
EH971164,EH971164
EH1103953,EH1103953
EH121163,EH121163
EH349718,EH349718
EH934137,EH934137
EH944704,EH944704
EH1019396,EH1019396
EH140415,EH140415
EH826873,EH549166
EH448845,EH448845
EH712956,EH712956
EH1095699,EH1095699
EH810309,EH810309
EH826984,EH826984
EH867026,EH867026
EH191928,EH191928
EH291960,EH545516
EH817731,EH817731
EH771612,EH771612
EH565298,EH565298
EH63082,EH63082
EH1021183,EH1021183
EH1204594,EH1204594
EH1249192,EH1249192
EH1020856,EH1020856
EH1085529,EH1085529
EH1019807,EH1019807
EH858563,EH858563
EH1096142,EH1096142
EH38874,EH38874
EH815445,EH815445
EH834565,EH834565
EH874558,EH874558
EH931808,EH931808
EH5309,EH5309
EH1131758,EH1131758
EH1035595,EH1035595
EH1271460,EH1271460
EH1031360,EH1031360
EH124555,EH80700
EH618632,EH618632
EH225065,EH225065
EH133796,EH1134817
EH1009646,EH1009646
EH149158,EH149158
EH635093,EH635093
EH765407,EH765407
EH826873,EH316738
EH1185923,EH1185923
EH826698,EH826698
EH833766,EH833766
EH1097950,EH1097950
EH388928,EH388928
EH1271830,EH1271830
EH672634,EH581199
EH262823,EH299875
EH830763,EH830763
EH898705,EH898705
EH822797,EH822797
EH813788,EH813788
EH530207,EH159779
EH1206728,EH1206728
EH970750,EH970750
EH742563,EH742563
EH681144,EH416306
EH589343,EH766172
EH1020785,EH1020785
EH951737,EH576280
EH905492,EH905492
EH1036685,EH424410
EH494752,EH494752
EH1184940,EH1184940
EH1131242,EH1131242
EH332023,EH457974
EH1124866,EH1124866
EH561948,EH561948
EH587298,EH681144
EH1270103,EH1270103
EH816224,EH816224
EH207452,EH207452
EH1143658,EH719091
EH800161,EH800161
EH541057,EH541057
EH676087,EH676087
EH798726,EH798726
EH309492,EH309492
EH362996,EH362996
EH1023015,EH1023015
EH611365,EH611365
EH364399,EH364399
EH1148678,EH104188
EH62516,EH470623
EH1096309,EH1096309
EH642410,EH566057
EH969927,EH969927
EH813580,EH813580
EH224126,EH356985
EH459574,EH275545
EH651718,EH138395
EH1129662,EH1129662
EH654037,EH654037
EH631364,EH631364
EH63036,EH63036
EH872575,EH872575
EH123456,EH210062
EH850980,EH850980
EH1007408,EH1007408
EH161696,EH404301
EH427362,EH427362
EH398094,EH911546
EH155459,EH1163667
EH584533,EH584533
EH1179042,EH1179042
EH598584,EH598584
EH826959,EH826959
EH994261,EH994261
EH636116,EH636116
EH149106,EH2311
EH790438,EH790438
EH272806,EH403564
EH147186,EH147186
EH1131563,EH1131563
EH191928,EH217516
EH784331,EH784331
EH707637,EH707637
EH704860,EH704860
EH714818,EH714818
EH891756,EH891756
EH919676,EH919676
EH1025896,EH1025896
EH71680,EH71680
EH290617,EH290617
EH149844,EH149844
EH1143658,EH378670
EH1124559,EH1124559
EH796783,EH899400
EH628859,EH628859
EH838430,EH838430
EH943259,EH943259
EH1042470,EH1042470
EH858675,EH433849
EH286078,EH286078
EH367445,EH27913
EH936299,EH936299
EH549830,EH549830
EH1092977,EH1092977
EH1129719,EH1129719
EH1059693,EH835427
EH975673,EH975673
EH866660,EH866660
EH910745,EH910745
EH424410,EH424410
EH826175,EH826175
EH1318079,EH1318079
EH858675,EH858675
EH146490,EH210062
EH1111614,EH1111614
EH101828,EH524721
EH431149,EH431149
EH1318939,EH1318939
EH730296,EH730296
EH883446,EH883446
EH879176,EH566057
EH826873,EH285265
EH946207,EH946207
EH260669,EH260669
EH971423,EH971423
EH1188769,EH1188769
EH757554,EH719499
EH1005433,EH1005433
EH461570,EH461570
EH874196,EH874196
EH865686,EH865686
EH1085028,EH1085028
EH827879,EH827879
EH1164404,EH1164404
EH921407,EH921407
EH818526,EH818526
EH887702,EH887702
EH1316144,EH1316144
EH694452,EH694452
EH562820,EH562820
EH451834,EH451834
EH1217471,EH1318939
EH429579,EH1090046
EH623106,EH91281
EH888248,EH888248
EH835427,EH835427
EH901130,EH901130
EH881056,EH881056
EH1107962,EH1107962
EH398903,EH398903
EH1038941,EH470623
EH34939,EH34939
EH768913,EH768913
EH612292,EH612292
EH114844,EH114844
EH784108,EH784108
