globalID_A,globalID_B
BN310411,BN310411
ER37302,ER37302
BN88183,BN88183
EB60650,EB60650
BJ34707,BJ34707
BJ11949,BJ11949
EA44954,EA44954
EB63071,EB63071
EA39286,EA39286
BN77840,BN77840
BN302898,BN302898
BN414901,BN414901
BN305682,BN305682
DS65710,DS65710
EB27461,EB27461
ER27308,EB43840
BJ43555,BJ43555
DS14305,DS14305
BN236256,BN236256
ER42823,ER42823
EA36934,EA41223
DT47236,DT47236
BN336257,BN336257
BN324840,BN324840
ER35064,ER35064
ER30250,ER30250
ER30979,ER30979
DT150747,DT150747
EA38474,EA38474
EB45787,EB45787
EA23187,EA23187
EB67426,EB67426
EA31499,EA31499
EB70184,EB70184
EA4390,EA4390
BN121753,BN121753
BJ29318,BJ29318
EA14765,EA14765
BJ13893,BJ13893
EA32260,EA32260
ER9722,ER9722
DS42120,DS42120
DT30574,DT30574
EA14046,EA14046
DS82635,DS82635
EB18463,EB18463
ER31672,EH556601
BN523685,BN523685
ER16663,ER16663
BJ36862,BJ36862
ER17808,ER17808
BN179374,BN179374
BN227926,BN227926
DT72887,DT72887
EB32259,EB32259
BN339855,BN339855
DS15430,DS62726
BN305887,BN305887
EB35233,EB35233
EA12516,EA12516
BJ40432,BJ40432
ER34641,ER34641
BJ41944,BJ41944
EA46000,EA46000
EB73213,EB73213
BJ31818,BJ31818
EA52220,EA52220
EA41687,BN386538
DS91661,DS91661
EB38101,EB38101
EB35318,EB35318
BN225502,BN225502
BH22951,BH22951
BN72534,BN72534
DS38474,DS38474
DS109302,DS109302
CG72494,CG72494
EB18039,EB18039
BJ4732,BJ4732
EB41546,EB41546
BN123639,BN247743
BJ39615,BJ39615
DT145175,DT145175
EA37892,EA37892
EB75421,EB75421
BN290032,BN77840
BJ31317,BJ31317
EB62730,EB62730
ER8316,ER8316
BH152012,BH152012
EB66740,EB66740
DS102844,DS102844
EB39308,EB39308
EA41687,EA41687
EB65191,EB65191
EA9524,EA9524
DS64484,DS64484
BJ37414,BJ37414
BJ14985,BJ14985
BN436039,BN436039
EA30759,EA30759
EB41650,EB41650
BN382893,BN382893
EB51804,EB51804
DS41964,DS41964
BJ27089,BJ27089
EA30410,EA30410
BN450701,BN450701
EB74127,EB74127
BJ34132,BJ34132
EA49357,ER11986
ER8974,ER8974
DT84300,DT84300
EB56231,EB56231
BN439688,BN439688
ER44355,ER44355
ER2729,ER12441
BJ34151,BJ32861
EA10060,BN116112
BN350699,BN350699
BN346511,BN354847
EB66930,EB66930
EA49357,EA41223
ER41043,ER41043
BJ40214,BJ40214
ER21653,ER21653
EB30927,EB30927
EA47327,EA47327
BJ32101,BJ32101
EB26230,EB26230
DS80391,DS45613
ER34956,ER34956
EA16701,EA16701
BN357504,BN357504
EB75196,EB75196
EA39529,EA39529
ER37824,ER37824
BJ9192,BJ9192
EA4953,EA4953
BJ13677,BJ13677
ER31603,ER31603
ER37118,ER37118
EB72986,EB72986
DS114798,DS114798
BN70664,BN70664
EA24779,EA24779
EB60114,EB60114
BN90504,BN90504
EA3758,EA3758
EA12608,EA12608
ER4185,ER4185
EA11154,EA11154
DT158172,DT158172
EA32953,EA32953
BJ36870,BJ36870
BN156168,BN156168
EA21623,EA21623
DT69236,DT69236
EB60138,EB60138
EB52308,EB52308
DT107215,DT107215
BN321493,BN321493
BN38889,BN38889
EA50148,EA50148
DS14915,DS14915
BN361450,BN361450
ER15769,ER15769
EB68847,EB68847
EA31315,EA31315
ER43566,ER43566
BN406608,BN406608
EB23194,EB23194
BJ20042,BJ20042
EB50908,EB50908
BN243410,BN243410
EB69131,EB69131
ER38596,ER38596
BJ12427,BJ11971
BJ35165,BJ35165
EB42118,EB42118
EA5614,EA5614
EB66732,EB66732
EB60695,EB83447
ER36735,ER36735
BN214624,BN214624
EB52308,EB34561
EB54142,EB54142
EB40115,EB40115
EA40203,EA40203
DS38004,DS63325
EA31079,EA31079
BJ29168,BJ29168
CG116280,CG116280
