globalID_A,globalID_B
AL50429,AL50429
AL139958,AL348483
AL85801,AL44690
AL184930,AL184930
AL229906,AL229906
AL112206,AL112206
AL33693,AL84869
AL29014,AL29014
AL21556,AL21556
AL311096,AL311096
AL342769,AL342769
AL139982,AL15663
AL210631,AL210631
AL131243,AL131243
AL329008,AL311013
AL75600,AL75600
AL47896,AL250311
AL289690,AL289690
AL38730,AL84320
AL299966,AL299966
AL350345,AL300165
AL132890,AL132890
AL258868,AL258868
AL203364,AL148296
AL135482,AL307773
AL16472,AL16472
AL121684,AL3451
AL303085,AL182221
AL49719,AL49719
AL223833,AL223833
AL233239,AL233239
AL266990,AL266990
AL48993,AL351164
AL110442,AL110442
AL313025,AL322530
AL292379,AL348483
AL243043,AL243043
AL119823,AL119823
AL287782,AL287782
AL68218,AL220219
AL322481,AL322481
AL71637,AL71637
AL334545,AL334545
AL171295,AL355179
AL169000,AL169000
AL119155,AL307768
AL315053,AL289792
AL136057,AL136057
AL233239,AL332449
AL311842,AL311842
AL279919,AL277816
AL293006,AL293006
AL303521,AL303521
AL160986,AL38800
AL54543,AL71403
AL220394,AL225405
AL246379,AL84988
AL185829,AL165152
AL4808,AL4808
AL57379,AL31515
AL260892,AL260892
AL330259,AL174926
AL287271,AL108780
AL133015,AL133015
AL251140,AL251140
AL126217,AL29295
AL118258,AL118258
AL168338,AL168338
AL184990,AL184990
AL36761,AL36761
AL243259,AL243259
AL259317,AL259317
AL199515,AL199515
AL245561,AL245561
AL88725,AL88725
AL332905,AL106691
AL335243,AL335243
AL2353,AL2353
AL244488,AL244488
AL35451,AL35451
AL121668,AL38800
AL268392,AL268392
AL335132,AL335132
AL195660,AL195660
AL265500,AL265500
AL71386,AL71386
AL302572,AL302572
AL72534,AL175841
AL331482,AL167003
AL302596,AL274571
AL39452,AL39452
AL263189,AL263189
AL109661,AL109661
AL204345,AL174931
AL225576,AL225576
AL122420,AL122420
AL169568,AL169568
AL318438,AL318438
AL298080,AL298080
AL271973,AL271973
AL5494,AL5494
AL234194,AL234194
AL20838,AL33493
AL120175,AL120175
AL19440,AL19440
AL220219,AL220219
AL100207,AL100207
AL197078,AL28019
AL129233,BN489064
AL29118,AL29118
AL237247,AL237247
AL266668,AL266668
AL25400,AL49241
AL245732,AL245732
AL31193,AL31193
AL337684,AL337684
AL224897,AL336871
AL105848,AL105848
AL180213,AL180213
AL112782,AL112782
AL268839,AL268839
AL30933,AL30933
AL278289,AL29349
AL316126,AL224801
AL39812,AL61469
AL224725,AL224725
AL216008,AL216008
AL271941,AL271941
AL101154,AL101154
AL236847,AL236847
AL323741,AL323741
AL179636,AL179636
AL81614,AL81614
AL261011,AL261011
AL178552,AL178552
AL277583,AL265207
AL181961,AL181961
AL113847,AL113847
AL99125,AL99125
AL345373,AL345373
AL219836,AL208662
AL316126,AL301878
AL315602,AL315602
AL231777,AL231777
AL286479,AL176888
AL220394,AL325111
AL118510,AL77500
AL208118,AL208118
AL29295,AL29295
AL310720,AL311842
AL23741,AL23741
AL219836,AL293988
AL34367,AL132217
EN57181,AL193034
AL73907,AL73907
AL139982,AL139982
AL229493,AL229493
AL16506,AL16506
AL197759,AL197759
AL32880,AL34269
AL155217,AL155217
AL325556,AL325556
AL307477,AL307477
AL257137,CP46981
AL240694,AL240694
AL2784,AL2784
AL29349,AL29349
AL209827,AL209827
AL228705,AL228705
AL170787,AL266668
AL120780,AL120780
AL84699,AL84699
AL39812,AL39812
AL332781,AL123212
AL287299,AL115393
AL90453,AL101273
AL65237,AL65237
AL267390,AL267390
AL218464,AL218464
AL199766,AL176888
AL314336,AL314336
AL51678,AL73687
CR22570,AL203189
AL351715,AL351715
AL243512,AL348483
AL129643,AL129643
AL18605,AL18605
AL232385,AL232385
AL255072,AL255072
AL116839,AL116839
AL219798,AL219798
AL197270,AL266668
AL187723,AL133528
AL168763,AL168763
AL230449,AL230449
AL100713,AL40762
AL232663,AL232663
AL14569,AL3770
AL63725,AL19440
AL97788,AL97788
AL157318,AL38800
AL345595,BB78619
AL84869,AL84869
AL297745,AL297745
AL159580,AL159580
AL351677,AL351677
AL89349,AL270001
AL214421,AL214421
AL138728,AL138728
AL32880,AL32462
AL181857,AL181857
AL177025,AL93745
AL72023,AL139038
AL37822,AL20324
AL254861,AL254861
AL186608,AL171520
AL289792,AL315053
AL20361,AL20361
AL189245,AL189245
AL188150,AL188150
AL47148,AL3770
AL272275,AL254020
AL107673,AL107673
AL123366,AL103822
AL330775,AL144512
AL88263,AL88263
AL133130,AL133130
AL254341,AL254341
AL186180,AL186180
AL32011,AL32011
AL290419,AL290419
AL211124,AL211124
AL311209,AL311209
AL181857,AL123365
AL315927,AL148296
AL261994,AL261994
AL177122,AL177122
AL121684,AL196420
AL297059,AL297059
AL136331,AL136331
AL9407,AL45318
AL265857,AL314301
AL46503,AL46503
AL48294,AL97255
AL30406,AL30406
AL198535,AL365081
AL291342,AL291342
AL267512,AL267512
AL51675,AL49719
AL170112,AL348503
AL210774,AL210774
AL165289,AL165289
AL105489,AL50682
AL204345,AL193354
AL106296,AL106296
AL103439,AL103439
AL65043,AL65043
AL267585,AL148296
AL226439,AL226439
AL26001,AL26001
AL38184,AL135733
AL274005,AL274005
AL180445,AL180445
AL301878,AL301878
AL26367,AL54591
AL298271,AL298271
AL66273,AL227307
AL246772,AL227035
AL154045,AL154045
AL267911,AL267911
AL226286,AL226286
AL233239,AL188352
AL175293,AL175293
AL143594,AL78346
AL66103,AL66103
AL335747,AL335747
AL332781,AL250311
AL92971,AL69879
AL185963,AL185963
AL168133,AL325111
