globalID_A,globalID_B
AA113551,AA113551
DN133250,DN133250
AA6955,AA6955
BN35448,BN35448
BH130514,BH130514
BH75791,BH75791
DN81968,DN81968
DE136455,DE136455
BN447804,BN447804
BH144640,BH144640
DS53240,DS53240
DE288455,DE288455
DN112106,DN112106
BY552463,BY552463
AA135599,AA135599
AA140169,AA140169
DN128551,DN128551
DE284577,DE284577
BN406817,BN406817
BY585973,BY585973
BH21143,BH21143
AA123526,AA123526
BH101586,BH101586
DN140667,DN140667
AA190444,AA186572
DN129480,DN129480
BY444195,BN156409
BH90269,BH90269
BH24380,BH37095
DN21206,DN21206
BY641463,BY641463
BH27916,BH27916
BN324060,BN324060
BH158316,BH158316
AA71456,AA71456
BH86737,BH86737
AA169312,AA169312
BH74943,BH70181
AA89462,AA89462
BY581008,BY581008
AA114045,AA140994
DN146778,DN146778
AA108645,AA75847
AA170560,AA170560
DN80953,DN80953
BH35596,BH35596
BH87761,BH87761
AA171614,AA171614
DN151891,DN8853
BY369696,BY369696
BN344296,BN344296
BY605462,BY605462
CY33875,CY33875
AT27200,AT27200
AA118894,AA118894
BY489377,BY489377
DE212083,DE212083
DE226044,DE226044
AA144197,AA144197
BY618789,BY618789
BH19681,BH19681
BN146183,BN146183
BY622687,BY482592
BY541759,BY541759
BY722553,BY722553
BY588139,BY588139
BH81979,BH81979
BH77426,BH77426
BN480611,BN480611
BY335703,BY335703
DN29134,DN29134
BH161354,BH161354
BH162048,BH162048
CZ80824,CZ80824
BY665784,BY247671
BH77206,BH77206
AA163430,AA163430
BY495766,BY495766
AA195178,AA195178
DN94366,DN146336
BH46280,BH46280
DN112122,DN112122
AA160822,AA160822
BY587631,BY587631
AA171456,AA171456
BY422519,BY247671
BY592497,BY592497
AA191106,AA191106
BY225227,BY225227
AA31180,AA31180
DN119013,DN119013
AA204248,AA204248
BY26525,BY84736
BY376918,BY376918
AA179627,AA179627
DN42005,DN42005
BY337291,BY337291
BY609938,BY609938
AA207065,AA206507
AA15147,AA129334
BY558391,BY558391
DN117553,DN117553
DE273813,AX57830
AX45330,AX45330
BY503779,BY503779
AA196463,AA196463
DE220499,DE220499
DS71919,DS71919
DE180534,BL41687
BH102102,BH102102
BY498731,BY498731
DS102507,AA14120
AA152631,AA152631
AX20434,AX20434
DN34378,DN34378
DN122323,DN122323
DN134010,DN134010
BY589617,BY589617
BH180947,BH180947
BH172930,BH172930
DE162660,DE162660
DS100289,DS100289
AA154332,AA154332
BY422519,BY422519
BY154495,BY623594
BY598539,BY598539
AA133298,AA133298
AA13724,BH166341
BY237558,BY237558
AA12918,AA12918
DN128878,DN128878
DE46926,DE46926
BN354748,BN354748
BY622687,BB87956
AA182254,AA182254
AA127999,AA127999
BH130654,BH130654
BH181241,BH181241
DN6896,DN6896
BY622322,BY622322
AA84478,AA84478
BH134945,BH134945
DE31996,DE31996
DN93725,DN93725
CY24849,CY24849
DN11457,DN17866
DN132390,DN132390
AA131457,AA131457
DE148629,DE148629
BH146401,BH146401
BH45298,BH45298
AA121971,AA121971
BN279311,BN279311
BY446083,BY455399
BH132115,BH132115
BN230197,BN339065
BH116593,BH116593
DN105889,DN105889
BN531673,BN531673
DE273820,DE273820
BH119009,BH119009
DN125623,DN125623
BY633732,BY633732
AA163452,AA163452
BH6394,BH6394
AA201838,AA201838
BH70377,BH70377
AA162893,AA162893
BN19301,BN35448
DN68985,DN68985
AA165429,AA165429
BH152139,BH152139
DE220496,DE220496
BN441500,BN441500
DS99081,DS99081
BY254179,BY254179
BN426313,BN426313
BL34435,BL34435
BN353873,BN353873
AA162585,AA162585
DE189549,DE189549
DE203875,DE203875
AA122605,AA122605
BY383307,BY383307
BH38810,BH38810
BY720025,BY720025
AA148130,AA148130
AA142603,AA142603
BY293942,BY293942
DN6987,DN6987
DS5575,DS5575
DE53281,DE53281
