globalID_A,globalID_B
BL407955,BL407955
BL427328,BL427328
BL294196,BL294196
BL358804,BL358804
BL47684,BL131247
BL59134,BL59134
BL298081,BL298081
BL417902,BL417902
BL315711,CC120622
BL119284,BL119284
BL370707,BL370707
BL418374,BL418374
BL367701,BL367701
BL260001,BL260001
BL420679,BL420679
BL213722,BL213722
BL327300,BL327300
BL210142,BL210142
BL433635,BL433635
BL442180,BL442180
BL274568,BL393859
BL474649,BL474649
BL506042,BL506042
BL408150,BL408150
BL461542,BL461542
BL115733,BL77947
BL223403,BL223403
BL84808,BL84808
BL335513,BL335513
BL283874,BL283874
BL493986,BL493986
BL323267,BL323267
BL101627,BL101627
BL401781,BL401781
BL59351,BL61282
BL139150,BL139150
BL455379,BL455379
BL420826,BL420826
BL313504,BL313504
BL251485,BL251485
BL441188,BL441188
BL533649,BL533649
BL394656,CW749789
BL29095,BL29095
BL421945,BL421945
BL363841,BL363841
EH549224,EH549224
BL368039,BL368039
BL357719,BL357719
BL326578,BL326578
BL451674,BL451674
BL205405,BL179947
BL245907,BL245907
BL518019,BL518019
BL43561,BL43561
BL230815,BL230815
BL293543,BL293543
BL226914,BL226914
BL255005,BL255005
BL449642,BL449642
BL436013,BL436013
BL463959,BL463959
BL462797,BL462797
BL111002,BL111002
BL477362,BL183864
BL535111,BL535111
DE235944,BN350041
BL261635,BL261635
BL483916,BL483916
BL114291,BL58977
BL346601,BL346601
BL474674,BL474674
BL481208,BL129761
BL494091,BL494091
BL382708,BL382708
BL510010,BL510010
BL419599,BL419599
BL366812,BL366812
BL296976,BL296976
BL503200,BL503200
BL326759,BL326759
BL305010,BL305010
BL362556,BL362556
BL368448,BL368448
BL168036,BL207365
BL500450,BL500450
BL280031,BL280031
BL443371,BL443371
BL463897,BL463897
BL432145,BL432145
BL358796,BL358796
BL385277,BL385277
BL425264,BL425264
BL259419,BL259419
BL130011,BL130011
BL519511,BL519511
BL460334,BL460334
BL358238,BL358238
BL70367,BL70367
BL369178,BL369178
BL318416,BL318416
BL244923,BL244923
BL127430,BL5009
BL462118,BL462118
BL482528,EH687038
DE273021,DE273021
BL413976,BL413976
BL183158,DE177749
BL458121,BL458121
BL44118,BL44118
BL107875,BL131247
BL227893,BL227893
BL347523,BL347523
BL434135,BL434135
BL365135,BL365135
BL265083,EH546069
BL171605,BL171605
BL271501,BL271501
BL470521,BL470521
BL49086,BL49086
BL5852,BL109354
BL365529,BL365529
BL458795,BL458795
BL431661,BL431661
BL457826,BL457826
BL520798,BL520798
BL178740,BL121560
BL530154,BL530154
BL479031,BL479031
BL108601,BL108601
BL444726,BL444726
BL300093,BL300093
BL423649,CW952475
BL256750,BL256750
BL322770,BL326485
BL371203,BL371203
BL442173,BL442173
BL439856,BL439856
BL401175,BL401175
BL299715,BL299715
BL369617,BL369617
BL288353,BL288353
BL522471,BL522471
BL386019,BL197226
BL303093,BL303093
BL295063,BL295063
BL497459,BL497459
BL337016,BL337016
BL361464,BL361464
BL302940,BL302940
BL409527,BL409527
BL264111,BL264111
BL346874,BL346874
BL58092,BL96596
BL344985,BL344985
BL340293,BL340293
BL400966,BL400966
BL448942,BL448942
BL285672,BL285672
BL78583,BL28632
BL234614,BL234614
BL483733,BL483733
BL393541,BL393541
BL103333,BL242130
BL356483,BL356483
BL500242,BL500242
BL486601,BL486601
BL36698,BL36698
BL432450,BL432450
BL139599,BL139599
BL394455,BL394455
BL173789,BL197998
BL405282,BL405282
BL486782,BL486782
BL76838,BL129761
BL389655,BL389655
BL271548,BL271548
BL517841,BL528797
BL403069,BL403069
BL307116,BL307116
BL424301,BL424301
BL390185,BL390185
BL376278,BL376278
EH627799,EH627799
BL347246,BL347246
BL212750,BL212750
BL46314,BL46314
BL359205,BL359205
BL451910,BL451910
BL520857,BL295800
BL439524,BL439524
BL109302,BL109302
BL311188,BL311188
BL301461,BL301461
BL155918,BL155918
BL470231,BL470231
BL376095,BL376095
BL354174,BL354174
BL54810,BL128625
BL247328,BL247328
BL423649,BL423649
BL121000,BL121000
BL174567,BL174567
BL396890,BL396890
BL439582,BL439582
BL373518,BL373518
BL116908,BL420826
BL403338,BL403338
BL454713,BL454713
BL134235,BL105599
BL264694,BL197226
BL170061,BL170061
BL111002,BL250486
BL232016,BL232016
BL407039,BL407039
BL406438,BL406438
BL101783,BL101783
BL396847,BL396847
BL123987,BL123987
BL344575,BL344575
BL313193,BL313193
BL519611,BL519611
BL73716,BL78635
BL365074,BL365074
BL442666,BL442666
BL117656,BL117656
BL499123,BL499123
BL440246,BL440246
BL354701,BL354701
BL407230,BL407230
BL272489,BL272489
BL390194,BL390194
BL374167,BL374167
BL108889,BL108889
BL517855,BL517855
BL464218,BL464218
BL379124,BL379124
BL499879,BL499879
