globalID_A,globalID_B
BM61667,BM61667
BZ37554,BZ37554
CS34576,CS34576
DC24877,DC24877
DA75821,DA75821
DL217422,DL218790
DL133096,DL133096
DA117733,DA117733
DA108978,DA108978
AG27012,AG27012
AG62719,AG62719
EM5966,EM5966
EP53159,EP53159
DA84773,DA84773
DC14826,DC14826
DC4615,DC4615
DA97832,DA97832
DL267240,DL267240
CS18739,CS18739
BZ5819,BZ5819
DA40968,DA40968
BM62166,BM62166
BM50295,BM50295
DA109414,DA109414
BM67956,BM67956
BM28729,BM28729
BZ49966,BZ49966
EP88166,EP88166
EP71118,EP71118
BM66764,BM66764
DA7339,DA7339
BP48769,BP48769
BZ3851,BZ3851
BZ7068,BZ7068
DL221568,DL221568
DA93502,DA93502
DL113166,DL113166
DL258567,DL258567
DC19570,DC19570
BZ48173,BZ48173
EJ21631,EJ21631
DL70933,DL70933
AG29913,AG29913
DL51197,DL51197
DL230885,DL230885
BZ62230,BZ66774
BZ20455,BZ20455
BZ46489,BZ46489
CF7855,CF7855
BM38233,BM38233
DL232090,DL232090
BM70487,BM70487
AG41496,AG41496
AG47729,AG47729
DA105555,DA105555
EP97238,EP97238
EP68319,EP68319
DL205277,DL205277
DL152477,AG42478
DL57775,DL57775
BZ20951,BZ20951
BZ36047,BZ36047
BZ35148,BZ35148
EP65908,EP65908
AG50829,AG50829
AG13567,AG22367
BZ46876,BZ2721
BZ43339,BZ20455
AG15189,AG15189
BZ60235,BZ60235
BM12417,BM12417
EP61277,EP61277
DL175574,DL175574
BZ33964,BZ33964
BM59898,BM59898
DA122207,DA122207
DA46114,DA46114
BZ49230,BZ49230
BZ15591,BZ15591
DL44135,DL44135
DL201682,DL201682
AG57667,AG57667
BZ47229,BZ47229
DL177956,DL173404
DL144772,DL88524
BM59096,BM59096
BZ18589,BZ18589
BZ23810,BZ23810
DL221538,DL221538
BZ49329,BZ49329
BZ14131,BZ14131
EM106637,EM106637
BM59796,BM59796
BM27129,BM27129
DL189520,DL189520
BM35361,BM35361
BZ49649,BZ49649
AG56398,AG56398
AG26331,AG26331
BZ7843,BZ7843
DL158326,DL158326
DL223360,DL223360
DL171344,DL171344
BZ13283,BZ13283
BZ51202,BZ51202
BZ20951,BZ30363
BZ10721,BZ10721
BM62965,BM62965
DA86484,DA86484
BZ19782,BZ19782
EP55747,EP55747
DL143243,DL143243
DL248960,DL248960
DC13603,DC13603
DA74884,DA74884
EP88870,EP88870
BZ50421,BZ50421
BZ8247,BZ41875
AG13166,AG13166
BZ12126,BZ12126
BZ34341,BZ34341
BZ46732,BZ46732
EP82212,EP82212
DL179343,DL179343
AG47639,AG47639
AH19622,AH19622
BZ34118,BZ34118
BZ5826,BZ5826
CS22354,CS22354
BZ43339,BZ19097
DL278947,DL278947
BZ7929,BZ7929
BM17974,BM17974
AG46575,AG46575
DL270565,DL270565
EM19706,EM19706
EP98542,EP98542
DL244381,DL244381
DA25495,DA25495
BZ61336,BZ61336
DA107685,DA32992
AG47634,AG47634
AG61824,AG61824
BP56184,BP56184
DL222357,DL222357
EP58809,EP58809
DL180146,DL180146
BZ28755,BZ28755
DA111527,DA111527
DL255027,DL255027
BZ41956,BZ41956
BM63510,BM63510
AG42087,AG42087
BM25397,BM25397
DL273155,DL273155
BZ30749,BZ30749
CS8962,CS8962
DL151959,DL151959
DA100158,DA100158
CJ6418,CJ6418
DL173912,DL173912
BM8833,BM8833
EP47522,EP47522
DL248972,DL248972
DL151404,DL151404
DC9329,DC9329
BM56538,BM56538
DC7812,DC7812
BM54613,BM54613
CS3106,CS3106
EM110032,EM110032
CS7190,CS7190
BM32316,BM32316
DL62820,DL62820
BZ49130,BZ49130
DL257952,DL257952
BZ7878,BZ7878
CD26803,CD26803
EH1089416,EH1089416
EP66068,EP66068
BZ53370,BZ53370
BM54335,BM54335
AG26639,AG26639
BZ13913,BZ13913
CS21196,CS21196
AG36117,AG36117
DL204717,DL204717
CS36314,CS36314
AG46706,AG46706
AG53646,AG53646
BZ22038,BZ22038
EP67744,EP67744
AG54194,AG54194
DA93541,DA93541
DL160220,DL160220
DL174092,DL174092
BZ27905,BZ27905
BZ35118,BZ35118
EP81044,EP81044
BZ45992,BZ45992
CS28909,CS28909
BZ19777,BZ19777
DA48457,DA48457
BZ68698,BZ68698
AG34789,AG41496
EP61040,EP61040
BM58903,BM58903
BM13956,BM13956
BM12800,BM12800
BZ33438,BZ33438
DL94897,DL88084
BM59024,BM59024
BM10086,BM10086
BM63732,BM63732
DL67765,DL79513
CS8463,CS8463
BZ32583,BZ32583
EP68658,EP68658
DL184680,DL184680
BZ22849,BZ22849
BZ16565,BZ16565
DL152880,DL152880
AG37147,AG37147
DA90319,DA90319
CS20007,CS20007
DL109942,DL109942
BZ55370,BZ55370
BZ36039,BZ36039
AG8312,AG8312
AG46996,AG46996
BM51033,BM51033
DA53224,DA53224
BZ68997,BZ68997
BM74543,BM74543
CS27449,CS27449
DL266777,DL266777
DL77578,DL77578
CS26034,CS26034
CF2829,CF2829
BZ31984,BZ31984
DA107685,DA107685
DA65549,DA65549
EP80127,EP80127
DL248003,DL248003
DL253513,DL253513
BM23539,BM23539
BM75883,BM75883
DC22437,DC22437
DC23223,DC23223
DC16579,DC16579
BZ20455,BZ19097
BM26626,BM26626
BZ56408,BZ56408
DL180098,DL180098
CS6012,CS6012
DA54665,DA54665
BZ36307,BZ36307
DL212799,DL212799
EP67062,EP67062
BM66158,BM66158
BM43415,BM43415
BM36642,BM36642
BM29739,BM29739
BZ23558,BZ23558
BM39749,BM39749
EP90527,EP90527
BZ4268,BZ4268
