globalID_A,globalID_B
EH165749,EH165749
BN257903,BN35970
BH178674,BH178674
DS89846,DS90648
BP51944,BP51944
EH475589,EH884709
BL501032,BL501032
EH975324,EH975324
BL334719,BL334719
BH78265,BN330942
EH243844,CA8436
EH811333,EH811333
EH1092283,EH803973
EH813149,EH490528
EH558179,EH566057
AA147008,BK38855
EH1123347,EH1123347
AA135701,EH602062
DE275792,AX55080
EH570209,EH405290
EH53447,BZ53623
BL203068,BL274276
BL452859,BL402037
BZ49396,BZ49396
DE55875,DE223323
EH920322,EH920322
AA191487,AA191487
AG8156,AG8156
BH24125,BH24125
CF6467,CF6467
EH363478,EJ3148
BY372994,BY404626
EH1013050,EH1013050
DA31077,DA89003
EH13539,EH1273534
BE213282,BE213282
DS85923,DS3953
EH1074354,EH1074354
EH710463,EH553334
EH558179,EM34946
BZ8785,BZ8785
DL221209,DL221209
EH893299,EH309432
DS100491,DS100491
BL101080,BL101080
BL349410,BL349410
EH854439,EH854439
EH585351,EH585351
BY723495,BY723495
EH575150,EH303787
EH890578,EM108788
AA36052,AA36052
EH1122105,EH92511
BN419332,BN419332
AT22339,BY534976
EH715264,EH372988
EH26157,EH26157
BW57225,BW57225
BN448531,BN448531
BH70011,BH70011
AA137785,EH963597
BY325860,BY323673
DE112353,DE68999
DA50942,DA50942
EH285265,EH316924
EH828746,EH828746
BN462928,BN209193
BY85907,BY130505
EM105433,EM105433
BL433459,BL433459
EH697363,EH697363
EH509536,EH440140
BY266127,BL259145
EH809467,EH809467
DL208079,BW31493
EH1066260,EH1066260
BY557433,BY557433
BY433422,BY10146
EH1040533,EH1040533
EH205131,EH349030
AR16012,AR16012
BM61425,BM61425
EG42335,EG41402
CJ159916,CJ159916
EH429752,EH429752
EB75634,BN367234
EH152485,EH159818
EH651093,EH651093
EH388133,DE218898
BL391181,BL391181
DN112092,DN112092
BL412093,BL412093
BN161773,BN312451
BL322975,BL322975
BL385307,BL385307
AA70580,AA70580
EH666831,AX56728
BS6734,BS6734
DL93775,DL93775
DE326645,DE326645
BY636136,BY636136
BN20910,BN65472
EH196091,EH240540
BY548146,BY548146
BY689798,BY689798
BN133701,BN163838
BW36410,BL150803
BN366112,BN366112
CY29652,CY29652
BL497251,BL497251
DN94774,DN94774
AZ11604,BF36059
AA24271,AA62687
EP83839,CJ48533
CY32092,CY32092
BW56516,BW56516
BY493461,BY621016
BY104273,BY136053
EH694655,EH496984
DS110480,DS75382
BY424841,BY424841
EM11064,EM89043
BH12664,BH12664
BP2983,BP2983
DN117998,DN117998
EH977127,EH977127
BG50638,BG50638
DL163925,DL163925
BY562922,BY562922
DE265680,DE265680
DL196357,BY530728
CL31997,CL31997
DA6565,DA7491
BH184408,BH184408
EH67480,EH256953
EH419063,EH245924
EK18353,EK18353
BN204249,BN246117
CJ123925,CJ123925
BN286167,BN163861
EH756111,EH482880
EH424735,EH1303488
BL459184,BL459184
EH419063,EH376204
DE220496,DE220496
BY424841,BY419727
BW26876,BW26876
BY466465,BY212442
EH522232,CJ84152
EH866775,EH866775
EH355683,EH310324
CJ134789,CJ134789
EH768829,EH768829
BZ35201,BZ35201
EB65191,EB65191
BH76847,BH76847
BN245673,BN374316
BN178019,BN169225
BN77613,BN425099
EH429951,EH80250
BL411248,BL411248
EA44824,EA44824
EH135323,EH147022
EH343114,EH343114
EH755884,EH233917
DN142787,EH528673
DE198962,BN260898
BZ15932,BZ15932
BW35837,AA125955
DL255744,DL255744
CD23101,CD23101
BL415979,BL415979
EK22691,EK22691
EG41117,EG41117
EH787662,EH787662
BN80005,BN178342
EH1128109,EH1128109
