globalID_A,globalID_B
AS62796,AS62796
CW520319,CW291805
EH360931,EH360931
EH985577,EH985577
DR96172,DR96172
BP53557,BP53557
BR107935,BR107935
AG11788,AG11788
CW876308,CW876308
BH148364,BH148364
EH1154213,EH1154213
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
CW971677,CW971677
AL50791,AL50791
CW155476,CW155476
BL202597,BL202597
CW457722,CW457722
DR68908,DR68908
DX50321,DX50321
EH1013050,EH1013050
CE31323,CE31323
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
CW1176107,CW1176107
AL119535,AL87291
DD145581,DX40893
EH694232,EL21583
EH637971,EH637971
DL242027,DL242027
BW45817,BW45817
AL249025,AL249025
EH272340,EH272340
BB95698,BB95698
BE378062,BE378062
DW79972,DW79972
EH225065,EH225065
CE58173,CW1030276
BJ35687,BJ35687
DT134409,DT134409
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
DE231263,DG52437
BB55638,BB72493
EH681219,EH681219
EH638865,EH638865
EH651093,EH651093
CW475722,CW1182829
DN94629,DN94629
DN160666,DN160666
EH828406,EH828406
AN230245,AN230245
CW710240,CW670215
BN451653,BN451653
EP39482,AL193354
CW845894,CW845894
DN94774,DN94774
BY30760,CG76528
BL407395,BL407395
DB9462,DB9462
ER17295,CP4198
EH1131326,EH1131326
CJ72768,CJ72768
EF73194,CB73432
EH1125874,EH1125874
AL246516,AL246516
EH864691,EH864691
CW976327,CW976327
CW72702,CW72702
CJ135591,CJ135591
BN192437,BN192437
CW493970,CW611190
CW616547,CW616547
CL31997,CL31997
EF26246,EF26246
BH184408,BH184408
BL142648,BL164487
AL228705,AL228705
AL120780,AL120780
AL32958,AL32958
EG51000,EG51000
DE220496,DE220496
EH1076508,EH1076508
CR9226,CR9226
EH768829,EH768829
DE254031,DE254031
BK45997,BK45997
AN155596,AN155596
EH1033842,EH1033842
DL194974,DL194974
CW628878,AL255383
CW949093,CW949093
DA76984,DA76984
BN418977,BN418977
EH897325,EH897325
AL111317,AL111317
AN66456,AN66456
CH36030,CH36030
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
CW142482,CW142482
CN88818,CN88818
EH864237,EH864237
BE116703,BE175797
BE68604,BE68604
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
DR94354,DR94354
EJ3049,EJ3049
DE311823,DE311823
EP102069,EP102069
BY538632,BY538632
EN36969,EN36969
DB263927,DB263927
BL509977,BL509977
CW517755,CW347111
