globalID_A,globalID_B
DW54971,DW54971
AW195754,AW195754
EH1087959,EH1087959
CZ73644,CZ73644
CZ76725,CZ76725
EG23109,EG23109
BH130514,BH130514
DW54149,DW54149
CW799927,CW799927
CS26923,CS26923
DR102054,DR102054
CE35351,CE35351
BR107935,BR107935
BY449496,BZ30498
DB237134,DB237134
EF176854,EF176854
AA138924,AA138924
CC74493,CC74493
AL141719,AL141719
ES14480,ES14480
BY303933,BY303933
DB28804,DB28804
DR62389,DR62389
DW53037,DW53037
CW189489,CW189489
DD166000,DD166000
CJ10227,CJ10227
EF221942,EF221942
CW280837,CW280837
ES14809,ES14809
EH839097,EH839097
CW457722,CW457722
BY417827,BY417827
EF99933,EF99933
BM15957,BM15957
CP39084,CP39084
CW769008,CW769008
EH699321,EH699321
CW213246,CW213246
EL25176,EL25176
CW99478,CW99478
CW795855,CW795855
BR98784,BR98784
BM66764,BM66764
AA167820,AA167820
BE221968,BE221968
EH272217,EH272217
DR35918,DR35918
EM52636,EM52636
CW853237,CW799773
CC38899,CC38899
CS32613,CS32613
EH1204594,EH1204594
BR130951,BR130951
CJ110394,CJ110394
EH665978,EH665978
CW456949,CW456949
BL513454,BL513454
EH1034811,EH1034811
AL85094,AL85094
EH637971,EH637971
AA144118,BG11024
DX28506,DX28506
CW925916,CW925916
CW668329,CW668329
EH872139,EH872139
DB151855,DB151855
DN137363,DN137363
CW1066928,CW1066928
BB95698,BB95698
AN217810,AN217810
EH1123635,EH1123635
EH225065,EH225065
CG87453,CG87453
EH584881,EH584881
BC29839,BC29839
BL304400,BL304400
CH50928,CH50928
BS12261,BS12261
EH364872,EH364872
BR45261,BR45261
EH231027,EH231027
EH592895,EH592895
EL3166,EL3166
AK60086,AK60086
EH1085639,EH1085639
DP42623,DP42623
CW613388,CW613388
EN71537,EN71537
BB89109,BB89109
EH1207876,EH1207876
DP57559,DP57559
AY36665,AY36665
BE308776,BE308776
DR113248,DR113248
DW18383,DW18383
BN445780,BN445780
EH549536,EH549536
AN18924,AN18924
EP43547,EP43547
CA110961,BR123490
BE346449,BE346449
AA158604,AA158604
EH440554,EH440554
AL232967,AL232967
BL414719,BL414719
DL220833,DL220833
DE274878,DE274878
CW669075,CW669075
BY372455,BY372455
BL380304,BL380304
CW844211,CW844211
EH843776,EH843776
BN367562,BN367562
BL287092,BL287092
EH814377,EH814377
DX62652,DX62652
CW990291,CW990291
CA61965,CA61965
ER32830,ER32830
AB34975,AB34975
DT93289,DT93289
CW845894,CW845894
BE10393,BE10393
EM130890,EM130890
BE376949,BE376949
BL407395,BL407395
CW924280,CW924280
AM85257,AM85257
EH1104198,EH1104198
CJ24663,CJ24663
BR172252,BR172252
CB14417,CB14417
CT10420,CT10420
DB11634,DB11634
BE290060,BE290060
EH797265,EH797265
EH824791,EH824791
CE21114,CE21114
DL147940,DL147940
EH32307,EH32307
BD120478,BD120478
BY597494,BY597494
CW347825,CW135006
CN74096,CN74096
AK78736,AK78736
BH184408,BH184408
CD18968,CD18968
BL340524,BL340524
DT37847,DT37847
EP103820,EP103820
DD159773,DD159773
DL259014,DL259014
BE359046,BE298891
BH141144,BH141144
AL221993,AL221993
BL483843,BL483843
EM126110,EM126110
BL508422,BL508422
BY620105,BY620105
CW809104,CW809104
CW860037,CW860037
CL15194,CL15194
EH768829,EH768829
CW68447,CW109809
CW1067856,CW1067856
BF18734,BF18734
EF103469,EF103469
DB6783,DB6783
DD7265,DD7265
CW517485,CW517485
BN9703,BN9731
EH990917,EH990917
DK21921,DK21921
DS86488,DS86488
ED43675,ED43675
CW741089,CW741089
AK143132,AK143132
BK37156,BK37156
EH827052,EH827052
AG46854,AG46854
BY599116,BY599116
EN16567,EN16567
DX5078,DX5078
EF205391,EF205391
BH42977,BH42977
CW769188,CW769188
BN418977,BN418977
EH421263,DK20408
BL386524,BL386524
AS62439,AS62439
EH334359,EH334359
AN74306,AN74306
BH119063,BH119063
AL128876,AL128876
BR180879,BR180879
BL380857,BL380857
EH515849,EH515849
EH534688,EH534688
EH681434,EH681434
EL79308,EL79308
CW864325,CW864325
BL502388,BL502388
DN146643,DN146643
CS21276,CS21276
AP61937,AP61937
EH341299,EH341299
DZ64817,DZ64817
CW562887,CW562887
DH18697,DH18697
BN345699,BN345699
BC62320,BC62320
EH827855,EH827855
AT24189,AT24189
BN408209,BN408209
BE182028,BE182028
DZ48967,DZ48967
BN354440,BN354440
EP33620,EP33620
EN36969,EN36969
AN136821,AN136821
AN43178,AN43178
DD131421,DD131421
AA172275,AA172275
AP43721,AP43721
BE400112,BE400112
CW794172,CW794172
DG27356,DG27356
CS36314,CS36314
BR37177,BR37177
CW857633,CW857633
EH270317,EH270317
BE276679,BE276679
BH141265,BH141265
EL99476,EL99476
AG36623,AG36623
EF85452,EF85452
CN88466,CN88466
DK46945,DK46945
BE443673,BE443673
EH930024,EH930024
CJ117846,CJ117846
CG165479,CG165479
AX40335,AX40335
EH1022956,EH1022956
AW202492,AW202492
BR36114,BR36114
BY517505,BY517505
CJ140093,CJ140093
CW442428,CW442428
AL184998,AL184998
EH1250255,EH1250255
BL251150,BL251150
DG45271,DG45271
BL376278,BL376278
AM69283,AM69283
BM41129,BM41129
EF34675,EF34675
EH1099084,EH1099084
EH783528,EH783528
EH773789,EH773789
DZ70842,DZ70842
EP101078,EP101078
DB70007,DB70007
ER43988,ER43988
BL252350,BL252350
BY556927,BY556927
AL274169,AL274169
ED46050,ED46050
EH1145402,EH1145402
EF70022,EF70022
AD27461,AD27461
BH148819,BH148819
AK143120,AK143120
DZ16805,DZ16805
AL316079,AL316079
BY398893,BY398893
EA4464,EA4464
EH426836,EH426836
EH1078680,EH1078680
CZ87541,CZ87541
EH986928,EH986928
EM26221,EM26221
DE271250,DE271250
EH1194878,EH1194878
EN65267,EN65267
BE280235,BE280235
DS96722,DS96722
CW168583,CW168583
EP87823,EP87823
CW4254,CW4254
DZ11922,DZ11922
CW710240,CW710240
CS22237,CS22237
DB242281,DB242281
CW185291,CW185291
CW354492,CW354492
BL313655,BL313655
EH577760,EH577760
CW428417,CW428417
DE318603,DE318603
BY471085,BY471085
EH742431,EH742431
AL241338,AL241338
EJ25325,EJ25325
CB70053,CB70053
BL319619,BL319619
EH791288,EH791288
DB182803,DB182803
CW517710,CW611619
BN407454,BN407454
CM51394,CM51394
BC56753,BC56753
CG3941,CG3941
EH660374,EH660374
EH290899,EH290899
BR174310,BR174310
AA154095,AA154095
CW1149082,CW1149082
AP81115,AP81115
EH897744,EH897744
DT128908,DT128908
DL46513,DL46513
DG28127,DG28127
CL23582,CL23582
CF3800,CF3800
EB66074,EB66074
BY335780,BY335780
EH1317607,EH1317607
