globalID_A,globalID_B
CW549185,CW549185
EH1062395,EH1062395
AK12554,AK12554
DS66719,EH130659
DR96172,DR96172
CW935955,CW935955
BH148364,BH148364
AP79283,AP79283
EH870816,EH870816
DN93603,EH431830
DE55589,DE55589
CW896146,CW859559
EH1123347,EH1123347
EH331060,BL165307
CT24903,CT24903
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
DD126039,EF169741
AG8156,AG8156
EH940689,EH285464
DR68908,DR68908
BL501956,BL501956
DX57928,DX57928
EH680633,EH680633
CW518629,CW518629
BE275934,BE275934
EH1013050,EH1013050
CW99478,CW99478
BA13263,BA13263
EH1074354,EH1074354
AL312812,AL312812
EH535597,EH741121
BR46080,BR46080
BN515859,BN515859
CW573430,CW573430
DD145581,DX40893
BL492441,BL492441
DS107356,DS68139
BL101080,BL101080
EB34098,CA90184
AN170606,AN170606
EH734216,EH734216
CT6785,CT6785
BD128610,BD128610
CL38142,BY682517
EH467363,EH467363
EM103312,EM103312
EH642364,EH642364
BH70011,BH70011
BE378062,BE378062
AL155807,AL155807
EH57349,EH166062
AN110068,DE11010
DW79972,DW79972
EH828746,EH828746
BR192583,BR140083
DL220647,DL244270
CW990977,CW138560
DT134409,DT134409
AE16597,CN45217
DS65803,DS65803
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
CJ138693,EH533279
DE281454,DE281454
EH638865,EH638865
EH651093,EH651093
CH51923,CH51923
DE48730,DE51356
CW475722,CW1182829
DL198943,AS46613
BN419071,BN419071
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
AN27611,AN27611
DD202483,DD202483
BL385307,BL385307
BS6734,BS6734
DN61565,BB59852
BR178747,BR178747
BK14738,BK14738
CW733706,CW766653
BD137298,BD137298
AN4402,AN4402
CW566361,CW254744
CW776598,CW776598
CW866145,CW339630
EH702716,EH702716
BE342264,CJ144702
EH644076,EH644076
CB80769,CB80769
BL497251,BL497251
DN94774,DN94774
DW36346,DW36346
CL12429,BW16415
CJ180866,CJ180866
BE283515,BE283515
BN157081,BN15521
BW56516,BW56516
CW1010123,CW1010123
EH1122420,EH1122420
BE363367,BE363367
ER17295,CP4198
CJ72768,CJ72768
EF73194,CB73432
CW27539,CW143256
EH1125874,EH1125874
CW517873,BR109620
AL246516,AL246516
CJ35795,EL47655
CW976327,CW976327
CC102983,CC102983
CA66987,BR51277
BE298480,BE298480
BG50638,BG50638
CW1035390,CW1035390
CL31997,CL31997
DA73458,DL180915
DE159623,BL307531
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
CW824801,CW824801
EH646111,EH646111
BL142648,BL164487
BN483084,BN483084
BM74817,BM74817
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
CA30275,EL13836
CW524744,CW463194
EM107290,EM107290
EG51000,EG51000
DZ78160,DE288714
DE220496,DE220496
DB189321,DB165183
CR9226,CR9226
BH3865,BH5742
EH866775,EH866775
EH768829,EH768829
DB153840,DB153840
DA23918,BM31203
EH1021621,EH1021621
AK97846,AK97846
BH76847,BH76847
CW247148,CW1260625
BN462678,BN171018
CJ46992,EH301614
BE367609,BE367609
DB243572,DB243572
EM6171,EM6171
CW949093,CW949093
EA44824,EA44824
EH641878,EL58969
DL202138,DT114697
ER28949,ER28949
EH1155426,DL193666
CC63778,CC63778
EH1243288,EF36177
BE72140,BE88616
CW27449,CW71748
BN418977,BN418977
DA36452,DA36452
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
EH1107194,EH1107194
DR89025,DR89025
EH62363,EH92268
AA150365,AA150365
BN329253,AA195042
DE98703,DE178122
AL112691,EF100296
CW855896,CW855896
CW142482,CW142482
CM22138,DZ52813
EH260245,DK17994
CW181152,AP97952
EH864237,EH864237
BE406368,BE406368
BD138946,BD138946
BN412411,BN412411
DB242998,DB242998
AL50677,AL50677
DC9329,DC9329
CW989013,CW1062442
DE87317,AZ19395
BM69394,DA110731
CW619648,CW793258
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
BN306933,BN306933
DX53346,DX53346
EP102069,EP102069
CJ35795,EF100296
BN537574,BN537574
BY327241,BY478621
EH484217,AL244492
EH1074535,EH1074535
CW733706,CW1097021
BL509977,BL509977
BY125406,BY44806
DX61622,EF31063
CW517755,CW347111
CW908371,CW908371
DB257443,DB257443
DB48890,DB48890
BB113130,BY532055
CT23151,CT23151
CW1207523,CW1207523
CW774113,CW774113
CW374336,CW374336
BN505632,BN505632
EM100317,EM100317
BY505473,BY370202
AS81868,AS81868
DZ13036,DZ13036
EH556926,EH556926
CW668832,CW462215
AS83961,AS83961
AM83579,AM83579
DR50892,DR50892
DL232533,DL232533
CW887565,CW1220151
DB237192,DB237192
CW138868,CW672046
EH478083,BB80368
BR128112,BR109620
BN325603,BN325603
BL283169,BL283169
CW464435,CW552002
EH570908,EH570908
CW56980,CW95837
CW96227,CW175636
EN70319,EN70319
AW110285,AW110285
CB56064,CB56064
CW680137,CW680137
DD149197,DD149197
CL54184,CL54184
BK44569,BK44569
EB20218,BC58923
AW88886,BZ34427
CN42600,BM44636
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
BE159336,BE159336
EH189952,EH245924
EH1118629,EH1118629
BY341421,BY252390
CW447082,CW164461
AJ42900,AJ42900
EF6686,EF6686
AF23986,CN80083
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
BD103266,BD103266
EH757836,EH757836
CW127631,CW339630
BB98596,BB98596
CW623419,CW655034
BN85826,BN85826
EF18347,EF18347
BL508317,BL508317
BL455875,BL455875
EH957483,EH957483
CG117666,BY401575
CW1277932,CW1277932
EM27169,EM27169
DT142452,DT142452
CW500809,CW339066
CW56209,CW119932
CC141618,CC141618
BL405608,BL405608
BH147787,BH147787
EH671269,EH671269
CW122110,CW54931
EH770566,EH770566
CW140341,CW1090500
EN25836,EA13468
AX41776,AX41776
DT126413,DT137955
BY714645,BY714645
EF136325,EF136325
BL403128,EH887953
EH773803,EH773803
BR141334,BR141334
EH1116492,EH1116492
DA107842,DA107842
BM55591,DG41766
AN40864,AN40864
CN97014,CN97014
EH1189521,EH272404
BL450963,BL450963
AW212216,AW212216
CW1026415,CW699837
AP47183,CM54507
EM88867,EM88867
AN154371,AN154371
CW820495,CW820495
DB42558,DB42558
BE381483,BE381483
BN366675,BN121712
EP92296,EP92296
EG2746,EG2746
CW662372,CW662372
AW125487,AW125487
BC47902,BC47902
CL23943,CL23943
CW658012,CW658012
CW347558,CW318872
EH236514,EH164748
BN449562,BN449562
DZ2349,BR75434
DB228152,DB300760
DE287233,DE326043
CW1172859,CW573462
EM125483,DY29241
AE29558,AE29558
AW140015,CN49331
DB188586,DB188586
CW78789,CW52867
CW505774,CW1076955
CC134300,BY303065
ER40003,DH54460
DA96203,DA96203
CW1126819,CW1126819
BZ44311,BZ44311
CW143256,CW143256
AA88476,EJ10437
CW883502,CW412811
BC68827,BC68827
DN83425,DN83425
BY677877,BY677877
EH895217,EH895217
EH395687,EH395687
DE300599,DE300599
CW826293,CW826293
CW1072015,CW1101312
DD178879,DD178879
EH214495,EH214495
EH157899,EH157899
AM77025,AM77025
BR193001,BP60081
BY517355,BY517355
AF5004,AF2122
AK34180,AK34180
DR62358,EH922454
CW687847,CW687847
CG150710,CG150710
CW299279,CW299279
CN63526,DB149218
BR210362,EH1320643
EH572052,EH572052
AL27439,AL27439
CW847903,CW847903
AB2847,AB4248
BN257903,BN354910
CW378693,CW285437
EH171754,EH713403
CW1156618,CW1156618
BE53550,BE53550
BR162465,BR162465
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
BD50597,AP51678
CJ72265,CJ72265
DE291085,DE291085
BL363447,BL363447
CT13982,EP30087
DZ6946,DZ6946
BL391927,CP19069
CW1159872,CW1159872
BL206364,BL206364
BY391044,BY391044
DL87146,DL160250
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
BL493311,BL493311
DK34694,DK34694
DA87354,EB45789
ED37292,ED37292
BE339631,BE339631
CW745359,CW745359
EH402309,EH103505
CW1131245,CW835206
DD103882,DD103882
CW78484,CW78484
EH683813,EH683813
EH976657,EH170713
AN153798,AN153798
EH194945,EH194945
EA10545,EA10545
CW826249,CW826249
DD161442,DD124594
EH1004318,AD31540
BE403246,BE312417
CM29580,CM29580
BN315027,BN315027
CW1188780,CW1159478
BN456091,BN456091
EH732691,EH732691
CW1094796,CW1094796
CW630036,CW630036
EH454156,CT33344
BM26061,BM26061
CW120187,CW354406
EH1080847,EH1080847
DB58236,DB58236
BY548895,BY79082
CW114375,CW174131
EH687975,EH687975
CW843687,CW843687
CW639067,CW777732
CW728982,CW109670
CW944580,CW134743
BZ16025,BZ16025
BY736100,BY178255
DX61767,DX61767
AP77086,AP77086
EH47939,EH47939
CJ35795,BY451078
DR129831,DR129831
BE435184,BE435184
AL60170,AL60170
DD107835,BD66885
DC18353,DC18353
EH426914,AH14399
DW70017,DW70017
EH609676,EH609676
BY492079,BY73814
BE431202,BE65481
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
CW801897,CW1336043
BY456407,BY453591
DB124955,BD77965
BK49786,BK49786
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
BL350936,BL350936
CW688785,BK43264
CW845719,CW664745
CW774026,BB72755
DE290491,DE290491
BL162192,AP13404
