globalID_A,globalID_B
AS62796,AS62796
EH360931,EH360931
BL263402,BL245653
EH985577,EH985577
DR96172,DR96172
BR107935,BR107935
AG11788,AG11788
CW876308,CW876308
BH148364,BH148364
EH1154213,EH1154213
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
CW971677,CW971677
AL50791,AL50791
CW155476,CW155476
BL202597,BL202597
DR68908,DR68908
EH680633,EH680633
DX57928,DX57928
DX50321,DX50321
EH1013050,EH1013050
CE31323,CE31323
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
CW1176107,CW1176107
AL119535,AL87291
DD145581,DX40893
EH694232,EL21583
EH637971,EH637971
DL242027,DL242027
BW45817,BW45817
AL249025,AL249025
EH272340,EH272340
BB95698,BB95698
BE378062,BE378062
DW79972,DW79972
EH225065,EH225065
BJ35687,BJ35687
DT134409,DT134409
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
BB55638,BB72493
EH681219,EH681219
EH638865,EH638865
EH651093,EH651093
CW475722,CW1182829
DL198943,AS46613
DN94629,DN94629
DN160666,DN160666
EH828406,EH828406
AN230245,AN230245
BN451653,BN451653
CW845894,CW845894
DN94774,DN94774
BY30760,CG76528
CW92175,CW59498
BL407395,BL407395
DB9462,DB9462
ER17295,CP4198
EH1131326,EH1131326
CJ72768,CJ72768
EF73194,CB73432
AL246516,AL246516
EH864691,EH864691
CW976327,CW976327
CW72702,CW72702
EH385411,DE250807
CJ135591,CJ135591
BN192437,BN192437
CW616547,CW616547
CL31997,CL31997
EF26246,EF26246
BH184408,BH184408
BL142648,BL164487
AL228705,AL228705
AL120780,AL120780
AL32958,AL32958
DX39165,DX39165
EG51000,EG51000
DE220496,DE220496
EH1076508,EH1076508
CR9226,CR9226
AL199194,BL338665
EH768829,EH768829
DE254031,DE254031
BK45997,BK45997
AN155596,AN155596
EH1033842,EH1033842
DP23822,CW644799
DL194974,DL194974
CW949093,CW949093
EF208319,DD123069
BN418977,BN418977
EH897325,EH897325
AL111317,AL111317
DL53447,DR73910
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
BH119063,BH119063
DB259254,DB259254
CW142482,CW142482
CN88818,CN88818
EH864237,EH864237
BE68604,BE68604
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
AN144527,AN144527
DR94354,DR94354
EJ3049,EJ3049
DE311823,DE311823
DN111991,DN111991
EP102069,EP102069
BY538632,BY538632
EN36969,EN36969
DB263927,DB263927
CW733706,CW1097021
BL509977,BL509977
CW517755,CW347111
EH905393,EH1161314
CW1207523,CW1207523
BE325615,BE325615
CW374336,CW374336
CK11889,CK11889
DN106232,DN106232
AS81868,AS81868
EH432428,EH533862
CJ149747,CJ149747
AS83961,AS83961
EH827897,EH827897
AM83579,AM83579
CG73177,CG73177
DL232533,DL232533
BH57030,EH199707
AL109233,AL109233
BL283169,BL283169
DD149197,DD149197
BK44569,BK44569
DE292031,DE292031
CC26737,CC26737
BL447257,BL447257
AL157981,AL157981
EH480837,EH480837
AL101744,AL101744
DE71456,DE96499
BY582279,BY582279
BN367091,BN367091
EH562884,EH562884
CW805787,CW805787
CW889948,CW889948
AA154332,AA154332
BB98596,BB98596
CW1069135,CW1069135
EF18347,EF18347
DL256119,DL256119
EH957483,EH957483
CW440245,CW440245
AD2805,BR6704
DT142452,DT142452
CH53126,CH53126
CC141618,CC141618
EH770566,EH770566
DZ71015,DT64036
DE322127,DE322127
AX41776,AX41776
BY714645,BY714645
BR141334,BR141334
EH773803,EH773803
EP23069,EP23069
DB268170,BY483826
EH1116492,EH1116492
DA107842,DA107842
AS96646,AS96646
AG63515,AG63515
CN97014,CN97014
AN40864,AN40864
AM27154,AM27154
CW820495,CW820495
BL504619,BL504619
BH123451,AS59257
BE286190,BE304692
CW658012,CW658012
BN449562,BN449562
DE287233,DE326043
AE29558,AE29558
DB188586,DB188586
EH323925,EH323925
ER40003,DH54460
BZ36404,BZ36404
EH1126051,EH997946
BC68827,BC68827
DB260464,DB260464
BY677877,BY677877
DE300599,DE300599
CW1072015,CW1101312
EH157899,EH157899
AM77025,AM77025
AF5004,AF2122
EH903175,EH903175
AK34180,AK34180
BN324825,BN324825
CW299279,CW299279
CZ44838,CZ44838
EH572052,EH572052
DR37710,DR37710
AR5839,AR5839
EH171754,EH713403
EH825545,EH825545
CM34706,CM34706
CW30364,CW30364
AN228269,AN228269
BY471169,BY471169
CW809104,CW955472
BY542202,BY542202
BL517432,BL517432
DZ6946,DZ6946
BL206364,BL206364
BZ66793,BZ66793
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
DT142240,DT142240
EH1110202,EH1110202
DX13417,DX13417
DB41628,DB13562
BE339631,BE339631
CW745359,CW745359
DR98517,DR98517
CW980612,CW980612
EH976657,EH170713
AN153798,AN153798
EH194945,EH194945
AW168303,AW168303
CW1057101,CW1057101
EH1318377,EH1318377
EB34098,AC16498
EH1038175,EH1038175
BN456091,BN456091
EH834895,EH834895
EH732691,EH732691
EH630246,EH630246
BY548895,BY79082
CJ62722,CJ62722
EF133366,EF133366
AA165504,AA165504
DD124933,DD124933
EF107271,EF107271
DX61767,DX61767
CW639155,CW421589
CW448665,CW448665
EH47939,EH47939
BY637270,BY637270
AK3349,AK3349
AK56531,AK56531
AP80227,AP80227
BY492079,BY73814
AN64436,AN64436
DP17347,DP17347
EH821470,EH821470
CW705102,CW705102
EH756173,EH756173
BE293295,BE293295
DR117568,DR117568
BL347725,BL347725
BE343202,BE343202
CW774026,BB72755
EM129999,EM129999
DE290491,DE290491
AZ10275,AZ10275
BH80565,BH80565
CW104882,CW104882
BR222182,BR222182
CW138868,CW138868
AW93116,AW93116
BK28517,BK28517
CW225649,CW349195
CW1159478,CW1159478
BH51948,BH51948
DC6316,DC6316
CS24892,CS24892
CW485557,CW798930
BR149505,BR149505
EH827821,EH827821
CS10500,CS10500
BE435077,BE435077
DR96528,DR96528
EN58144,EN58144
BN156211,BN156211
CW54353,CW54353
BN90028,BN90028
EH966875,EH966875
EH907959,EH907959
EH209535,EH209535
CW1016234,CW1023001
EH684800,EH1229353
CG95107,CG95107
CW189258,CW189258
AL250682,AL250682
CW1151078,CW907725
EL89385,EL89385
CW230682,AK130200
BE267512,BE267512
CW1255402,CW830473
BY422997,BY422997
CW876492,CW876492
DT160348,DT160348
DS56960,DS56960
BL309974,BL309974
CW659779,CW659779
DE136455,EH670072
EH1128010,EH1128010
CB70127,CB70127
EJ23624,EJ23624
BG39369,BG39369
CW522743,CW522743
EF172914,EF172914
CW848067,CW848067
CC94603,CC94603
BH79927,DN66266
CW735763,CW735763
EH907321,EH907321
CW650275,CW525258
DL243792,DL243792
CW1159129,CW1159129
DE215051,DE215051
EH155472,EH155472
BY730023,BY730023
DA98283,DA98283
BR161851,BR161851
BC52046,BC52046
AL109533,AL109533
DL209736,DL114868
BF12921,BF12921
EH1242788,EH1242788
BW32097,BW32097
EH508953,EH508953
EH1072285,EH1072285
EH973354,EH973354
DE126173,DE113827
CW862478,CW862478
EH921303,EH921303
DF16755,DF16755
BE278914,BE278914
CW401357,CW497080
DP39573,DP39573
DW51369,DW51369
DB252821,DB252821
EH892404,EH892404
CW408607,CW408607
EH872219,EH872219
BE379964,BE379964
DL208529,DL208529
AW32644,AW32644
EH526365,EH526365
AX26121,AX26121
BL421822,BL421822
CA8708,CA8708
DB221968,DB221968
BD25543,BD25543
CW1063169,CW1063169
EH828209,EH828209
AN154170,AN154170
DB226239,DB226239
CW470919,CW517545
EP90808,EP90808
BY364224,BY364224
BW60168,DX49958
BM67095,BM67095
CW495460,CW266772
CW811612,CW811612
AL252945,AL252945
BY626998,BY626998
AL271160,AL271160
EH822494,EH822494
BE303282,BE303282
AW184946,AW184946
BY242447,BY242447
BY418243,BY418243
CW805792,CW805792
EN21357,EN21357
CW756860,CW756860
AN103529,AN103529
AS23825,BD44032
AN8913,AN8913
AN99316,AN99316
EH462332,EH462332
EH199707,EH199707
BR49865,BR49865
AL199838,AL199838
BY576079,BY576079
DR102054,DR102054
AM39718,AM39718
DB237134,DB237134
EH874873,EH874873
CJ10227,CJ10227
DE186891,CA73956
BA11795,BA11795
EH517661,EH517661
EH114287,EH876571
CW664198,CW664198
AW172820,AW172820
DE237210,DE187017
CG106969,CK5851
DB232031,DB232031
CW213246,CW213246
DD83186,DD83186
EH983250,EH983250
EH811073,EH811073
EE3398,EE3398
BR98784,BR98784
AA167820,AA167820
BH8526,BH8526
DE243999,DE243999
CW997238,CW266772
DR87365,DR87365
BN485941,BN485941
AH18733,EH472410
AM102535,AM102535
CW835736,CW835736
CW384482,CW231806
BY619957,BY619957
CT8713,CT8713
CW782355,CW782355
EH1204622,EH1204622
BE432411,BE432411
BH64733,BH95766
EB45787,EB45787
BZ49625,BZ49625
CG87453,CG87453
CW920021,CW750432
BY682573,BY682573
CW1036810,CW1036810
DB286502,DB286502
BE84736,BE84736
DB10355,DB10355
BN425405,BN425405
EH231027,EH231027
DE295074,DE295074
CW251386,CW216625
EN71537,EN71537
DE205099,DE205099
AX32646,AX32646
BN337221,BN337221
BN401265,BN401265
EF191848,EF191848
EH440554,EH440554
AL248775,AL189245
BB49643,BB49643
DT93579,DT93579
CW669075,CW669075
EH1124694,EH1124694
CA3318,CA3318
DE78563,DE78563
CW990291,CW990291
BY338449,BY338449
BE249160,BE249160
EF20424,EF20424
AT23023,AT23023
CW128656,CW128656
DT114423,EH1149074
DN132817,DN132817
AG46137,AG46137
EF230642,EF230642
CW71852,CW71852
EH1104198,EH1104198
EH240247,EH674237
CW543117,EN35640
CA106152,CA106152
BN167660,BN167660
EF155411,EF155411
CB14417,CB14417
DB11634,DB11634
AW151111,AW151111
CW776427,CW776427
AW99934,AW163901
BL292070,BL292070
DT52507,AA102710
BY372804,BY372804
BK27326,BK27326
CW861001,CW861001
BL489040,BL489040
EH715536,EH715536
AN129029,AN129029
CW1203746,CW1203746
DN152889,DN152889
CW214422,CW201071
