globalID_A,globalID_B
AS62796,AS62796
EH360931,EH360931
CW520319,CW291805
DR96172,DR96172
CW935955,CW935955
BR107935,BR107935
AG11788,AG11788
CW915211,CW929855
BH148364,BH148364
CW876308,CW876308
AP79283,AP79283
EH1154213,EH1154213
CH36563,AL173589
DH46486,DH46486
BL417902,BL417902
EH41064,BK10717
DP3250,DP3250
CE55285,CE55285
BC66583,BC66583
AL50791,AL50791
CW971677,CW971677
BL202597,BL202597
CW155476,CW155476
CW457722,CW457722
DR37210,DR37210
CW1109744,CW1109744
DR68908,DR68908
BL501956,BL501956
EH680633,EH680633
DX57928,DX57928
DB149771,DB169978
CC101148,CC101148
BY381420,BY430721
DX50321,DX50321
BE275934,BE275934
CW145651,CW378222
CN78022,CN78022
EH1013050,EH1013050
EH173623,EH173623
CE31323,CE31323
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
AL312812,AL312812
CN98682,CN98682
EH535597,EH741121
CW1176107,CW1176107
AL119535,AL87291
CW1258811,CW467725
BN515859,BN515859
DD145581,DX40893
CW1317769,CW1317769
DS107356,DS68139
EH694232,EL21583
EH637971,EH637971
BL511619,BL511619
DL242027,DL242027
BW45817,BW45817
AL249025,AL249025
EL23028,CB52532
AG38030,AG38030
BD128610,BD128610
EH272340,EH272340
CL38142,BY682517
CW808452,CW808452
BB95698,BB95698
BE378062,BE378062
CW958322,CW501481
CW1026698,CW1026698
DW79972,DW79972
EH225065,EH225065
AG41496,AG41496
DT134409,DT134409
CW827821,CW827821
CW1252681,CW581381
EH990812,EH990812
DB89630,DB89630
EH1189594,EH1189594
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
AG39148,AG39148
BR45261,BR45261
BB55638,BB72493
AA108035,EF100296
CW639155,CW469837
EH681219,EH681219
EH638865,EH638865
EH651093,EH651093
DE220418,DE220418
CW475722,CW1182829
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
AN27611,AN27611
EH828406,EH828406
CM64960,BP56712
BR194692,BR194692
BL385307,BL385307
AN230245,AN230245
CW378693,CW340776
DN61565,BB59852
AS22761,AS22761
CW733706,CW766653
BN451653,BN451653
BD137298,BD137298
AS67129,BY3943
AN4402,AN4402
BN304755,BN304755
CW776598,CW776598
BP39837,CW644799
CW715542,CP17984
CW845894,CW845894
DN94774,DN94774
DW36346,DW36346
EL97747,EL97747
CW1319312,CW982253
BW56516,BW56516
BL407395,BL407395
AY31330,AY31330
CW103980,CW310216
EH1122420,EH1122420
BY675123,DD116885
DB9462,DB9462
ER17295,CP4198
EH1131326,EH1131326
CJ72768,CJ72768
EF73194,CB73432
EH864691,EH864691
AL246516,AL246516
CW976327,CW976327
CW72702,CW72702
CC102983,CC102983
CJ135591,CJ135591
BN192437,BN192437
CW1035390,CW1035390
EF14460,EF14460
DB244465,DB268342
CW616547,CW616547
CL31997,CL31997
EF26246,EF26246
BE359751,EH824305
CW1087095,CW1087095
CW824801,CW824801
BH184408,BH184408
BL142648,BL164487
AL228705,AL228705
AL120780,AL120780
AL32958,AL32958
CJ153184,CJ153184
EG51000,EG51000
DE220496,DE220496
EM118798,EM118798
EH1076508,EH1076508
CR9226,CR9226
BE429682,BE429682
EH866775,EH866775
EH768829,EH768829
DE254031,DE254031
EH1021621,EH1021621
AK40448,AK40448
BH76847,BH76847
BK45997,BK45997
AN155596,AN155596
CW1086292,CW889176
EH1033842,EH1033842
DP23822,CW644799
BE367609,BE367609
DL194974,DL194974
DP8259,DL134548
CW949093,CW949093
EA44824,EA44824
EH641878,EL58969
DL202138,DT114697
EH820028,EH820028
ER28949,ER28949
DZ25589,DZ25589
CJ72768,EH302343
DD65015,BL182975
CC63778,CC63778
EH339444,EH282923
AK110749,AK110749
EH967975,EH967975
BN418977,BN418977
EH897325,EH897325
AK142289,AK142289
AL111317,AL111317
AN66456,AN66456
AS63442,AS63442
BY587561,BY587561
AA59653,AA103068
BH119063,BH119063
EH636173,EH636173
DB259254,DB259254
EH794859,EH794859
EH1107194,EH1107194
DR89025,DR89025
EH62363,EH92268
AA146746,AA72466
CW855896,CW855896
CW142482,CW142482
BL494841,BL530731
CN88818,CN88818
CW181152,AP97952
EH864237,EH864237
DE117832,DE117832
BE116703,BE175797
BE68604,BE68604
BD138946,BD138946
AD17849,AN98814
BN421649,BN443645
BN412411,BN412411
AL50677,AL50677
CW555921,CW555921
DR94354,DR94354
EJ3049,EJ3049
DE311823,DE311823
AZ8548,EH110713
DN111991,DN111991
EP102069,EP102069
BY327241,BY478621
EH474899,EH1121927
BY538632,BY538632
EH1074535,EH1074535
CN83873,CN83873
EN36969,EN36969
DB263927,DB263927
CW733706,CW1097021
BL509977,BL509977
CW517755,CW347111
EP29512,EP95261
CW1207523,CW1207523
CW774113,CW774113
CW374336,CW374336
CK11889,CK11889
DN106232,DN106232
AS81868,AS81868
EH432428,EH533862
DY10425,DY10425
BL455964,BL455964
CJ149747,CJ149747
DZ13036,DZ13036
AS83961,AS83961
EH827897,EH827897
AM83579,AM83579
EH298550,BL184472
CG73177,CG73177
CN58853,CN58853
BH57030,EH199707
DL232533,DL232533
DB237192,DB237192
CW138868,CW672046
AK121180,AK121180
BR128112,BR109620
BN325603,BN325603
BL283169,BL283169
CW96227,CW175636
CW1025058,CW402823
EH677425,EH677425
EH729943,EH729943
DD149197,DD149197
BK44569,BK44569
DE292031,DE292031
EB20218,BC58923
CC26737,CC26737
BL447257,BL447257
EH1047967,EH1047967
DB193821,DB193821
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
AL101744,AL101744
BE159336,BE159336
DE71456,DE96499
AJ42900,AJ42900
CW537925,CW1372055
BY582279,BY582279
DX23799,DX23799
AF23986,CN80083
BN367091,BN367091
EH562884,EH562884
EH570904,BL218077
CW805787,CW805787
AA154332,AA154332
CW889948,CW889948
CL48787,CB61784
CW121344,CW321891
EH757836,EH757836
BB98596,BB98596
CW1069135,CW1069135
EH614589,EH614589
EF18347,EF18347
BL508317,BL508317
EH957483,EH957483
CW440245,CW440245
EM27169,EM27169
CW646827,CW916755
DT142452,DT142452
CW500809,CW339066
CC141618,CC141618
EH1061401,EH668419
BL405608,BL405608
BN302733,BN302733
CW122110,CW54931
EH770566,EH770566
DE322127,DE322127
AX41776,AX41776
BY714645,BY714645
EH773803,EH773803
BR141334,BR141334
EP23069,EP23069
EH1116492,EH1116492
DA107842,DA107842
AS96646,AS96646
EC21516,EC21516
AG63515,AG63515
CN97014,CN97014
CW958344,CW958344
AN40864,AN40864
EH1189521,EH272404
AW212216,AW212216
BL450963,BL450963
AM27154,AM27154
BE137881,CB84333
CW820495,CW820495
DB42558,DB42558
BL504619,BL504619
BH123451,AS59257
EF13847,EF13847
BN366675,BN121712
CW662372,CW662372
BE286190,BE304692
AW125487,AW125487
CW658012,CW658012
CW347558,CW318872
BN449562,BN449562
BL317080,BB59237
AE29558,AE29558
AP18277,CZ12769
DB221068,DB221068
DB235739,DB235739
DD192810,DD192810
EH323925,EH323925
BZ28717,BZ28717
CW1126819,CW1126819
BE174026,BE174026
BZ36404,BZ36404
CW772958,CW772958
CW883502,CW412811
BC68827,BC68827
AL119948,AL119948
BY677877,BY677877
EH895217,EH895217
EH395687,EH395687
DE300599,DE300599
CW1072015,CW1101312
CW826293,CW826293
DD178879,DD178879
AM77025,AM77025
EH157899,EH157899
DE228744,DE191604
AF5004,AF2122
EF79690,EF79690
EH903175,EH903175
AK34180,AK34180
BN324825,BN324825
CW687847,CW687847
CW299279,CW299279
BL312578,BL312578
DR37710,DR37710
AL27439,AL27439
CW847903,CW847903
AB2847,AB4248
CW378693,CW285437
EH1229189,EH1229189
AR5839,AR5839
EL85567,EL85567
CW1156618,CW1156618
EH825545,EH825545
CW832834,CW237662
CM34706,CM34706
AN228269,AN228269
BY471169,BY471169
CW809104,CW955472
CW30364,CW30364
DE291085,DE291085
BY542202,BY542202
AN77823,EF64432
CW650570,CW287954
BL517432,BL517432
DZ6946,DZ6946
DL163300,DL163300
CW1159872,CW1159872
CW961551,CW961551
EH37970,EH37970
BL206364,BL206364
BZ66793,BZ66793
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
EH783702,EH783702
BL493311,BL493311
DT142240,DT142240
EH1110202,EH1110202
DA87354,EB45789
DX13417,DX13417
ED37292,ED37292
BE339631,BE339631
EM52744,EM52744
CW745359,CW745359
DR98517,DR98517
EH817831,EH817831
CW980612,CW980612
EH683813,EH683813
DR57497,DR101459
AN153798,AN153798
EH194945,EH194945
DD161442,DD124594
CW1057101,CW1057101
EH1318377,EH1318377
EB34098,AC16498
DB296329,DB296329
DE213703,DE213703
AP40325,AP58802
BN315027,BN315027
BN456091,BN456091
EH834895,EH834895
EH732691,EH732691
DH46852,DH46852
EH630246,EH630246
EH454156,CT33344
BM26061,BM26061
CW120187,CW354406
EH1080847,EH1080847
CJ62722,CJ62722
EF133366,EF133366
DR87595,DR87595
EH1204577,EH1204577
AA165504,AA165504
AP39258,AP39258
CW728982,CW109670
BZ16025,BZ16025
DR134353,DR134353
EF107271,EF107271
DX61767,DX61767
DD154790,DD154790
CW639155,CW421589
EF130503,EF130503
CW448665,CW448665
CW158749,CW553458
EH47939,EH47939
BE435184,BE435184
AK3349,AK3349
AL60170,AL60170
AK56531,AK56531
DC18353,DC18353
AP80227,AP80227
CN54600,CN54600
BY492079,BY73814
AN64436,AN64436
DP17347,DP17347
CJ161288,CJ161288
EH821470,EH821470
EH756173,EH756173
CW705102,CW705102
BE293295,BE293295
BY456407,BY453591
DR117568,DR117568
DB124955,BD77965
BL347725,BL347725
BK49786,BK49786
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
BE67568,BE94607
BE391440,BE391440
EM129999,EM129999
DE290491,DE290491
CL62577,EH500654
AZ10275,AZ10275
BH80565,BH80565
DX48334,DX48334
CW104882,CW104882
BH54931,AL193354
BR222182,BR222182
BW48112,DN108345
CW102540,CW102540
EH770176,EH770176
CW138868,CW138868
