globalID_A,globalID_B
DX46717,DX46717
AG32533,AG32533
EH18941,EH18941
CP35119,CP35119
BY421462,BW21844
BE8408,BE8408
EH80987,BD50009
AB7357,AB7357
DH17455,DH17455
CZ37031,CZ37031
EH214722,EH214722
EA14764,EA14764
DL129341,DL129341
DN48978,CW112866
EH704362,AL109681
EN61514,EN61514
DB158333,BY475667
CG102533,CG102533
BN343820,BN343820
CC103903,CC103903
CW793715,CW696360
BN65995,BN65995
BL262488,BL262488
BY479012,BY479012
BE229810,BE229810
AY20329,AY20329
EH405746,EH405746
CL43913,CL43913
EH775272,EH775272
BB13222,BB13222
EH564899,EH564899
DR63147,DR63147
BR98875,BR98875
DB74948,DB74948
ER27589,ER27589
EH546517,DD89155
CW177755,CW414938
EP24346,DE119129
BM6576,BM6576
AS7796,CB61715
CW840631,CW840631
CM33745,DE153144
AJ31072,AJ31072
EL39769,BR86196
BL300691,BL300691
AW113741,AW113741
BY454910,BY454910
EH781419,EH781419
EH345124,EH345124
DR97748,DR97748
EH211300,EH211300
AA149175,AA149175
EM69322,EM69322
CW150365,CW150365
AL91144,AL91144
AW170626,AW170626
EH644090,EH644090
AX4297,AX4297
EH587547,EH587547
EH86935,CW219665
DL157088,DL157088
BN309462,BN309462
DZ33731,DZ33731
ER22256,ER22256
CK6938,CW1174655
BR17265,BR17265
BM57413,BM57413
CW354492,CW354492
BY123908,BY123908
EN44730,AL31872
AW63869,AW63869
DL22105,DL22105
BY346024,BY346024
DJ13741,DJ13741
EH664314,EH664314
EH460595,DJ3093
EH758022,AJ35271
AM82067,AM82067
BP51370,BP51370
AN137657,AN137657
BD117209,BD117209
DD93414,CW866950
BL88343,AL98952
EN55175,EN55175
AA72252,AA72252
AM39561,AM39561
EH656498,EH656498
BP42029,BP42029
CW893784,CW893784
BY46172,BY46172
BY110959,AN38356
BP39502,BP39502
EH149087,EH149087
AA100847,AA100847
AM31930,AM31930
CA48746,CA48746
CW62973,CW62973
EH258005,EH258005
AN162577,AN162577
EH463796,CM22118
CK6938,BE109863
EH197493,EH197493
DA85199,EH631711
BB43938,BB43938
BN138061,BR143521
DB25378,EH204756
DX28371,BZ10730
AN131244,AN131244
AL249132,CW409372
DY31808,DY31808
DR35284,DR35284
AW177939,AW177939
CW451884,CW451884
BY235202,BY235202
EH96542,EH96542
AW64501,AW64501
CJ103226,CJ103226
BP38750,DT85263
EH90254,EH90254
EF143277,EF143277
BE122334,DR75326
BN365455,BN365455
BY470748,BY470748
CW483137,CW483137
BR151550,BR151550
EH363731,EH363731
AA21626,AX29904
DT134973,DT134973
CW58841,CW58841
BL39116,BL39116
DX48273,DX48273
AN7488,AN7488
AN156666,AN156666
EH205043,EH205043
CZ70058,CZ70058
CM17941,CM17941
DD75573,DD75573
BW40677,BW40677
BP43966,BP43966
DE174719,DE174719
