globalID_A,globalID_B
BG21180,DE165049
EF34839,AP72462
DP2235,AW23134
AK85819,CA16333
BJ31211,BJ31211
CJ13488,BM8661
EM8972,EH12322
DB34179,CA40722
EC6357,AW136463
DS30312,DE112959
CN27733,CC76626
BL181437,CT11655
BM5960,CW29917
CR9566,AM21863
EF7727,AC3648
DZ19329,BR23451
AS66190,EH353081
DT28918,AA28015
DE33917,BN23482
CW270467,AY4762
CG19857,EH322347
BY79897,AL11067
EJ16776,CG74876
DX3285,CN4263
AN17002,ER31764
DH41669,BJ45772
AG3648,EK6542
BY13317,CW210543
BE41452,AG4921
DZ39465,DB87053
EH329845,BJ5760
DT40511,DD4337
BL251749,AK70355
DR25408,EF42996
EN11107,EH353532
DP22870,BZ28729
BN178957,DC7310
BM35990,DA6075
BG12604,BH157422
EH216042,BL266745
AY20320,AL29186
EH328986,BK3135
BG17116,EN60392
DT2452,CX9841
BR7628,BR7626
DK2569,BG16182
BG12829,BE77053
EH139056,BL16005
EH426856,EH10335
EG24586,EG24586
CA8095,BY450697
BA2293,CW25264
BL215160,EH201471
DT56261,AS28012
BY550951,BB42699
BY115006,AD9906
DL165985,EH469463
CH3849,CL2150
DS27462,DK8446
BD26125,CG27614
EH27121,DT30682
BN72734,BN72734
BZ8096,AL4793
CB5668,CB5668
AA49790,CL23111
AY16462,CX9841
CG55710,ED44019
BJ15868,DX25384
DT55952,DT55952
BE190291,DZ6592
DL24697,BY167832
BL59654,BD42246
BY46047,CW10366
DS50349,BA7874
BL49709,BC12910
AP47782,AL105078
BY84135,DH8411
DT14744,AL45075
AW54397,DT67483
BL27599,AA19808
DB41663,DF9187
AL26353,AA123642
BP3398,EH670748
AK90987,AK90987
EH167905,EH20188
DS8893,DE35473
DG7559,DG7559
BY201824,BR26728
CN5689,BP5578
AB32080,BN34441
DP36614,BY14800
AP34497,CM21377
CY10124,CC146037
EF44220,CC55527
AS6179,AN92505
EH50216,DD7104
EM11911,BJ2207
EM58693,AK37071
CS8529,EF12979
ES20709,CF2861
DT16438,DS31301
DH28022,DT30202
DN36257,DN36257
EH359869,DT22327
AA2298,CT8793
DT41471,EF18944
CW364199,DT26343
CC75203,BY135255
BM8121,AL11881
DB41663,BD27891
DW47114,AY38104
BN180916,DJ9103
CG6273,DB43303
DT25128,CG118175
CY16011,BN50115
AE20383,EJ4086
EH12169,DX58767
DE165421,CB18780
DH41669,BS7862
DD10669,AK49941
DE220918,CJ4149
DC4158,BD42246
CW56129,CW56129
CW37878,CW16170
EH123910,CW1339300
EP25421,BY440789
DZ37887,BZ3685
EB12567,AY15056
DE147751,AM50368
AG34172,CC95060
BZ11463,CM5983
CE9816,AN61158
AN74460,EH45018
BE45821,BY211613
EH681674,CZ6416
BN62447,BN174653
BR24443,BR24444
EH369424,DD12160
BL205489,EH385517
CZ57980,BM41639
AS13677,EP6113
DN4116,CW17887
BZ8096,BK10717
DP3400,AM6312
BH141989,BN144041
EF17387,CP19199
DR20685,DT116757
AG34323,AY11277
BD77511,EA4808
BR107126,BW21882
BL44198,BY220132
CW140234,BD64564
AP26994,AS35828
CH45150,AW30772
BL20265,CC64377
EJ8925,BL32518
CH28828,DL6515
EF9299,EF9299
BJ3494,CD7670
CZ9999,AX14705
AS17374,BB52043
BL198266,AM32419
CW588506,DE139008
EH161122,EH161122
AB17554,DA92699
EH292315,BY115044
BN85449,AA32774
EH41609,DH20240
AT9015,BH34274
CG75849,AA86349
CG30599,AD2852
EA16898,AP24810
CW364199,AY3200
EH38349,CZ41057
BE121043,CJ14820
EH21723,DR56825
DS30312,DX29445
BM6734,DD2701
CX3097,CX5941
BN15341,BN322536
AW60205,AW29420
CG80499,AB4360
CZ14011,DM25601
AA117118,EP12253
AW13758,DE46146
BD25395,BS5046
CH34947,EH10048
CM5787,EP54912
DT37702,DB8755
BY178931,CM19437
DD31451,EM85939
DH34979,DD9443
BP9625,BY20428
BL64999,EF10765
CL2941,EJ19243
CW30171,CW634085
BL193615,CG131637
AJ32495,DX28644
ES7244,AA138347
AF17591,AA80927
CB13123,AL246994
DE16874,BL109674
CS5565,BL29684
BY77606,EH32877
DT7075,DB15600
EC5813,CN7750
AP3711,AK23393
DW15055,AA66402
BL63462,DF4859
BL10413,EP12253
BD8596,EH3163
DL40410,DR45033
BY116310,BE15686
EH580502,AK18464
DE4926,CG48223
AS10780,BL328289
DX25689,AW56637
BN120897,BN124864
AX7281,EB4896
DL18766,BY484252
EM7806,BE37110
BB35417,ER31764
BY161333,BR29756
EH21723,CW14017
CZ42825,DB50141
BN352225,BL527932
BG18988,BG18988
DL83668,DL83668
EM36513,EM36513
BY49914,DS81941
DY20544,AK89238
DX20692,BL16094
CC65997,CW102112
EH9507,AW92838
BL309129,BL309129
BP42716,BB14717
AW18223,BR4021
AA15472,AW18223
AP22484,BE6965
CS7309,EB55179
DE193442,DE169622
CE3910,AL45709
CN4618,CW55508
AN51354,EF28025
