globalID_A,globalID_B
AS62796,AS62796
CW1055619,CW420485
AL132675,BE94031
CW520319,CW291805
CW597970,CW445483
DR96172,DR96172
CB19041,BH151572
BR107935,BR107935
EH596792,DA58962
CW876308,CW876308
CW363789,CW398817
CW896146,CW859559
EH1154213,EH1154213
EH331060,BL165307
CW757729,CW431609
CW421656,CW469464
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
AL50791,AL50791
CW155476,CW155476
EH940689,EH285464
DR68908,DR68908
CW38302,AL44364
DB149771,DB169978
EH484581,CW1221407
AG51425,BN497178
CW99478,CW99478
BR8783,BR8783
CW27845,CW10655
EF6832,EF59619
EH1074354,EH1074354
CW1176107,CW1176107
AK61681,DB31797
AL119535,AL87291
CW1138102,CW309286
CW211200,CW572613
DB244350,DB162503
CW1258811,CW467725
EH765344,EL59856
DD145581,DX40893
EA26405,CW261058
CG75460,CL41408
AA108035,EL47655
CG35865,CC75864
EH1112956,CP12015
BH123031,DS92767
EH694232,EL21583
CW1331169,CW1301526
BL197712,CW403385
EH637971,EH637971
DL129280,DS68139
CB32958,CB33199
DL242027,DL242027
BW45817,BW45817
AN60523,BY555317
AL249025,AL249025
EL23028,CB52532
BW36965,CG128534
CL38142,BY682517
BE378062,BE378062
BB95698,BB95698
CW425693,CW231806
AN110068,DE11010
CW958322,CW501481
CW38730,CW175451
BL50812,BL139485
EH225065,EH225065
EH481271,EH438758
BR192583,BR140083
BJ35687,BJ35687
DT134409,DT134409
AE16597,CN45217
AK124076,AK124076
CW1252681,CW581381
BN336585,BY390879
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
BR45261,BR45261
DE231263,DG52437
BB55638,BB72493
AA108035,EF100296
CW639155,CW469837
EH681219,EH681219
EH638865,EH638865
DE48730,DE51356
CW475722,CW1182829
CW531964,CW562318
DN94629,DN94629
BK10331,CW184004
EP45233,EP102555
DN61565,BB59852
CW733706,CW766653
EH321861,EH423288
EH279530,AL336407
BN451653,BN451653
BY101450,BY101455
AS67129,BY3943
CW866145,CW339630
BE23422,BE132075
CW513825,CW181271
BE342264,CJ144702
EH481198,CW925849
AL261288,CW925849
CW845894,CW845894
BN147276,BY268324
DN94774,DN94774
BY30760,CG76528
CW1090435,CW463427
BL281242,AW150647
BN157081,BN15521
BL407395,BL407395
DK40188,DK40188
AY32526,EH209810
BJ34388,CG202507
DB9462,DB9462
ER17295,CP4198
DP23822,EH364416
DB124955,BH184479
AS30664,BC11367
EN68496,CS30949
DX13014,CX17061
AL246516,AL246516
BE45738,BE453043
CW343889,CW812867
CJ35795,EL47655
CW976327,CW976327
CW72702,CW72702
CW44758,CW110745
EP21695,BR56823
AM53014,DB39372
BR170861,EH1298282
CJ135591,CJ135591
CA66987,BR51277
AK141045,DS71477
BW16521,BL198135
EF26246,EF26246
CW74855,CW502718
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
BL144640,BL199212
EH132911,EH110713
CA30275,EL13836
AA60261,DS34119
CG174441,CG160700
BN74650,BN74638
DS102387,EH424990
EM31517,EM17616
DX39165,DX39165
EG51000,EG51000
CW819253,CW341454
AW157174,EH535595
DB189321,DB165183
EH1076508,EH1076508
BL236897,EP30641
BH3865,BH5742
CW992833,CW346791
EH768829,EH768829
AK24861,DN81812
DA23918,BM31203
BK45997,BK45997
AG24128,EH473435
BN462678,BN171018
CJ46992,EH301614
DL194974,DL194974
CW628878,AL255383
DX45629,AR5782
ED18854,AX14269
DK28923,CL34680
DP8259,DL134548
CW949093,CW949093
EN63227,DM30323
DL202138,DT114697
EH1155426,DL193666
DD65015,BL182975
CN54005,EF88924
BE72140,BE88616
AM22671,AW157854
BE141443,CA104088
BE69060,AN22044
CW661780,CW867793
BN418977,BN418977
EH897325,EH897325
AL111317,AL111317
AN66456,AN66456
AA59653,AA103068
BH119063,BH119063
EH62363,EH92268
EH309934,DS34119
DE98703,DE178122
AL112691,EF100296
AA146746,AA72466
CW142482,CW142482
BL494841,BL530731
CN88818,CN88818
EH260245,DK17994
EH818487,EP99286
EH864237,EH864237
CW254180,CW211575
BE116703,BE175797
CW96492,CW71686
BE68604,BE68604
AD17849,AN98814
BN421649,BN443645
BN412411,BN412411
CW39281,CW48968
AL50677,AL50677
BR221741,CA94632
DR94354,DR94354
EJ3049,EJ3049
AL59263,AL106772
DN111991,DN111991
CS14102,BL278537
CJ35795,EF100296
EH840564,EH1110202
EH247088,EH181659
CW801005,CW1091768
EN36969,EN36969
BL102313,BL87630
CW733706,CW1097021
BL509977,BL509977
CW661767,CW1332591
CW517755,CW347111
BS11412,AW134658
CN65138,BY115048
AW180489,CZ47542
BB113130,BY532055
CW1207523,CW1207523
CW128684,CW63905
DE308708,DE320243
EN74533,EH769815
BY505473,BY370202
CW315634,CW1326626
EH432428,EH533862
BS10103,BL168138
BL391927,CA131266
AA164934,EH1027144
CJ149747,CJ149747
CB74430,BA4731
CW668832,CW462215
AS83961,AS83961
DL129280,CZ33909
CW528476,CW908787
CG73177,CG73177
CW265149,AJ15774
DL232533,DL232533
CW887565,CW1220151
AL109233,AL109233
CW138868,CW672046
CG13040,CG13041
BY53046,BY460011
EH478083,BB80368
CW1131562,CW432710
CW464435,CW552002
AW19424,AW95751
CW96227,CW175636
DS34766,DE127114
AW110285,AW110285
AA60261,EB38966
DD149197,DD149197
DE292031,DE292031
BH132066,DS18712
EB20218,BC58923
BY122059,AJ15825
BL447257,BL447257
CW206920,CW397343
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
EG51649,BL89823
BY341421,BY252390
DE71456,DE96499
DM23766,DL203984
CW537925,CW1372055
AN77823,EH392472
CP38367,DD202895
AF23986,CN80083
CW169490,CW245163
EH570904,BL218077
CW805787,CW805787
EH310433,EH237841
BR172315,AS87974
AA154332,AA154332
CL48787,CB61784
BN496032,BN476277
CW127631,CW339630
EH957431,EH409522
DB172411,DB265613
BS7867,DN41692
BW35837,AP91680
BL381779,AA132878
BM23449,CZ81443
EH957483,EH957483
DE172403,EF101538
CG117666,BY401575
CW646827,CW916755
DT142452,DT142452
BY415790,DT108942
CW379796,CW267006
CW500809,CW339066
CH53126,CH53126
CW56209,CW119932
CM78030,CW950202
CW122110,CW54931
DZ71015,DT64036
