globalID_A,globalID_B
AS62796,AS62796
AL132675,BE94031
CW520319,CW291805
CW597970,CW445483
DR96172,DR96172
CW470853,CW822139
CB19041,BH151572
BR107935,BR107935
CW915211,CW929855
CW876308,CW876308
CW363789,CW398817
CW896146,CW859559
EH1154213,EH1154213
CH36563,AL173589
EH331060,BL165307
CW757729,CW431609
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
AL50791,AL50791
CW155476,CW155476
EH940689,EH285464
DR68908,DR68908
DB149771,DB169978
AK57205,DB113599
AG51425,BN497178
CW99478,CW99478
BR8783,BR8783
EH1074354,EH1074354
CW1176107,CW1176107
AK61681,DB31797
AL119535,AL87291
CW1138102,CW309286
CW211200,CW572613
CW1258811,CW467725
DD145581,DX40893
CG75460,CL41408
CG35865,CC75864
BH123031,DS92767
EH694232,EL21583
CW1331169,CW1301526
AX19084,EH454420
EB31315,EF31063
BL197712,CW403385
EH637971,EH637971
BJ24995,AN82357
CB32958,CB33199
AN90698,BE262920
DL242027,DL242027
BW45817,BW45817
DB122415,BB80368
AN60523,BY555317
AL249025,AL249025
EL23028,CB52532
BW36965,CG128534
CL38142,BY682517
BR37764,BR58804
BE378062,BE378062
CW425693,CW231806
EH57349,EH166062
CW958322,CW501481
CW38730,CW175451
EH225065,EH225065
EH481271,EH438758
BR192583,BR140083
CE58173,CW1030276
BJ35687,BJ35687
DT134409,DT134409
AE16597,CN45217
CW1252681,CW581381
BN336585,BY390879
BN265698,BN205495
EH171189,EH171189
BN166611,BK24845
BY557433,BY557433
BR45261,BR45261
BB55638,BB72493
AA108035,EF100296
EJ25249,CW802880
EH681219,EH681219
EH638865,EH638865
DE48730,DE51356
CW475722,CW1182829
DN94629,DN94629
BK10331,CW184004
BH161033,BH173686
EP45233,EP102555
DN61565,BB59852
CW733706,CW766653
BN451653,BN451653
AS67129,BY3943
CW866145,CW339630
BE23422,BE132075
CW513825,CW181271
CW575864,EH576962
CW845894,CW845894
DN94774,DN94774
CW92175,CW59498
CW514885,AK78826
BN157081,BN15521
BL407395,BL407395
DB9462,DB9462
ER17295,CP4198
AS30664,BC11367
EH1125874,EH1125874
AL246516,AL246516
CW343889,CW812867
CW976327,CW976327
CW72702,CW72702
BR164452,BR178639
BR170861,EH1298282
CJ135591,CJ135591
CA66987,BR51277
CZ37587,CW309286
EF26246,EF26246
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
BL144640,BL199212
EH132911,EH110713
AA60261,DS34119
CG174441,CG160700
BN74650,BN74638
EM31517,EM17616
EG51000,EG51000
AW157174,EH535595
DB189321,DB165183
EH1076508,EH1076508
