globalID_A,globalID_B
DS66719,EH130659
DR96172,DR96172
BH148364,BH148364
AP79283,AP79283
CW896146,CW859559
EH331060,BL165307
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
EH940689,EH285464
DR68908,DR68908
DX57928,DX57928
EH680633,EH680633
EH1013050,EH1013050
CW99478,CW99478
EH1074354,EH1074354
EH535597,EH741121
DD145581,DX40893
BH123031,DS92767
EB34098,CA90184
CL38142,BY682517
BE378062,BE378062
EH57349,EH166062
AN110068,DE11010
DW79972,DW79972
BR192583,BR140083
CW990977,CW138560
DT134409,DT134409
AE16597,CN45217
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
CJ138693,EH533279
EH638865,EH638865
EH651093,EH651093
DE48730,DE51356
CW475722,CW1182829
DL198943,AS46613
DN94629,DN94629
BK10331,CW184004
DD12044,DD12044
DN160666,DN160666
DN61565,BB59852
CW733706,CW766653
BD137298,BD137298
AN4402,AN4402
CW776598,CW776598
CW866145,CW339630
BE342264,CJ144702
EH644076,EH644076
DN94774,DN94774
CJ180866,CJ180866
CW514885,AK78826
BN157081,BN15521
ER17295,CP4198
CJ72768,CJ72768
EF73194,CB73432
EH1125874,EH1125874
CW517873,BR109620
AL246516,AL246516
CW343889,CW812867
CJ35795,EL47655
CW976327,CW976327
CA66987,BR51277
CW1035390,CW1035390
BW16521,BL198135
CL31997,CL31997
DA73458,DL180915
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
CA30275,EL13836
EM31517,EM17616
EG51000,EG51000
DZ78160,DE288714
DE220496,DE220496
DB189321,DB165183
CR9226,CR9226
BH3865,BH5742
EH768829,EH768829
DA23918,BM31203
EH1021621,EH1021621
CW247148,CW1260625
BN462678,BN171018
CJ46992,EH301614
BE367609,BE367609
CW949093,CW949093
DL202138,DT114697
ER28949,ER28949
EH1155426,DL193666
EH1243288,EF36177
BE72140,BE88616
CW27449,CW71748
BN418977,BN418977
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
EH1107194,EH1107194
CW558110,CW116887
EH62363,EH92268
BN329253,AA195042
DE98703,DE178122
AL112691,EF100296
CW142482,CW142482
CM22138,DZ52813
EH260245,DK17994
CW181152,AP97952
EH864237,EH864237
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
CW989013,CW1062442
DE87317,AZ19395
BM69394,DA110731
CW619648,CW793258
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
EP102069,EP102069
CJ35795,EF100296
BY327241,BY478621
EH840564,EH1110202
EH484217,AL244492
CW733706,CW1097021
BL509977,BL509977
BY125406,BY44806
DX61622,EF31063
CW517755,CW347111
CG50551,AL239832
BB113130,BY532055
CW1207523,CW1207523
CW374336,CW374336
EN74533,EH769815
BY505473,BY370202
AS81868,AS81868
DZ13036,DZ13036
CW668832,CW462215
AS83961,AS83961
AM83579,AM83579
CW528476,CW908787
DL232533,DL232533
CW887565,CW1220151
DB237192,DB237192
CW138868,CW672046
BY53046,BY460011
EH478083,BB80368
BR128112,BR109620
BL283169,BL283169
CW464435,CW552002
EH570908,EH570908
AW19424,AW95751
CW96227,CW175636
AW110285,AW110285
DD149197,DD149197
BK44569,BK44569
EB20218,BC58923
AW88886,BZ34427
CN42600,BM44636
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
BY341421,BY252390
AJ42900,AJ42900
AF23986,CN80083
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
CW127631,CW339630
BB98596,BB98596
CW623419,CW655034
EF18347,EF18347
BL508317,BL508317
EH957483,EH957483
CG117666,BY401575
EM27169,EM27169
DT142452,DT142452
CW500809,CW339066
