globalID_A,globalID_B
AS62796,AS62796
CW597970,CW445483
DS66719,EH130659
DR96172,DR96172
BR107935,BR107935
CW876308,CW876308
CW363789,CW398817
CW896146,CW859559
EH1154213,EH1154213
CW462628,CW459977
CH36563,AL173589
EH331060,BL165307
CW757729,CW431609
CW421656,CW469464
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
AL50791,AL50791
CW155476,CW155476
CW457722,CW457722
EH940689,EH285464
DR68908,DR68908
CW980609,CW260449
DB149771,DB169978
CC101148,CC101148
AG51425,BN497178
CW99478,CW99478
BR8783,BR8783
CW27845,CW10655
EF6832,EF59619
EH1074354,EH1074354
BB61123,BE210572
CW1176107,CW1176107
AL119535,AL87291
CW1138102,CW309286
CW211200,CW572613
CW1258811,CW467725
DD145581,DX40893
CG35865,CC75864
BH123031,DS92767
EH694232,EL21583
CW1331169,CW1301526
AX19084,EH454420
EH637971,EH637971
CB32958,CB33199
DL242027,DL242027
BW45817,BW45817
CW237392,CW1045288
AN60523,BY555317
EL23028,CB52532
BW36965,CG128534
CL38142,BY682517
BR37764,BR58804
BE378062,BE378062
BB95698,BB95698
CW425693,CW231806
EH57349,EH166062
AN110068,DE11010
CW958322,CW501481
BL50812,BL139485
EH225065,EH225065
EH481271,EH438758
BR192583,BR140083
EM98363,CW231025
CW990977,CW138560
DT134409,DT134409
AE16597,CN45217
CW1252681,CW581381
BN336585,BY390879
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
BR45261,BR45261
CJ138693,EH533279
BB55638,BB72493
AA108035,EF100296
EH681219,EH681219
DB163773,EA35447
EH638865,EH638865
AP83407,DT71305
DE48730,DE51356
CW475722,CW1182829
CW531964,CW562318
DL198943,AS46613
DN94629,DN94629
BK10331,CW184004
BL246689,EH164982
EP45233,EP102555
CA66987,BX12753
DN61565,BB59852
CW733706,CW766653
BN451653,BN451653
AS67129,BY3943
CW866145,CW339630
CW513825,CW181271
BE342264,CJ144702
AX2147,BY200133
AL261288,CW925849
CW845894,CW845894
DN94774,DN94774
CW92175,CW59498
CW514885,AK78826
BN157081,BN15521
BL407395,BL407395
DB9462,DB9462
ER17295,CP4198
DP23822,EH364416
AS30664,BC11367
EF73194,CB73432
DX13014,CX17061
EH1125874,EH1125874
AL246516,AL246516
CW343889,CW812867
CJ35795,EL47655
CW976327,CW976327
CW72702,CW72702
EP21695,BR56823
BR170861,EH1298282
CJ135591,CJ135591
CA66987,BR51277
BW16521,BL198135
EF26246,EF26246
DA73458,DL180915
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
BL144640,BL199212
EH132911,EH110713
CW28782,BE9237
CA30275,EL13836
AA60261,DS34119
CG174441,CG160700
DS102387,EH424990
EM31517,EM17616
EG51000,EG51000
DZ78160,DE288714
AW157174,EH535595
DB189321,DB165183
EH1076508,EH1076508
BL236897,EP30641
BH3865,BH5742
EH768829,EH768829
DA23918,BM31203
DT65092,DT111552
BK45997,BK45997
AG24128,EH473435
CW247148,CW1260625
BN462678,BN171018
CW1086292,CW889176
CJ46992,EH301614
DL194974,DL194974
DP8259,DL134548
CW949093,CW949093
DL202138,DT114697
AJ37696,DB101583
EH1155426,DL193666
DD65015,BL182975
CN54005,EF88924
EH1243288,EF36177
BE72140,BE88616
AM22671,AW157854
CW27449,CW71748
AN69894,AN206936
CW661780,CW867793
CW394441,CW373482
BN418977,BN418977
EH897325,EH897325
AL111317,AL111317
AN66456,AN66456
AA59653,AA103068
BH119063,BH119063
CW558110,CW116887
EH62363,EH92268
BN329253,AA195042
DE98703,DE178122
AL112691,EF100296
CW142482,CW142482
AW31258,AW50625
CM22138,DZ52813
BL494841,BL530731
CN88818,CN88818
EH260245,DK17994
EH818487,EP99286
CW181152,AP97952
EH864237,EH864237
CP32521,AP56129
CW96492,CW71686
BE68604,BE68604
AD17849,AN98814
BN421649,BN443645
BN412411,BN412411
CW39281,CW48968
AL50677,AL50677
DE87317,AZ19395
BM69394,DA110731
CW619648,CW793258
DR94354,DR94354
EJ3049,EJ3049
CA105068,CA78628
DN111991,DN111991
CS14102,BL278537
CJ35795,EF100296
BY327241,BY478621
EH840564,EH1110202
EH484217,AL244492
EH247088,EH181659
CW1142211,CW546049
EN36969,EN36969
BL102313,BL87630
CW733706,CW1097021
BL509977,BL509977
BY125406,BY44806
CW661767,CW1332591
DX61622,EF31063
CW171467,CW126284
CW517755,CW347111
CG50551,AL239832
AW180489,CZ47542
BB113130,BY532055
CW1207523,CW1207523
CW128684,CW63905
DE308708,DE320243
EM76252,BY221590
EN74533,EH769815
BN203627,BR202540
BY505473,BY370202
EH432428,EH533862
CJ149747,CJ149747
BM23449,CJ137567
DB260509,DB260509
CW668832,CW462215
AS83961,AS83961
DL129280,CZ33909
CW528476,CW908787
CG73177,CG73177
DL232533,DL232533
CW887565,CW1220151
CW138868,CW672046
CG13040,CG13041
BY53046,BY460011
EH478083,BB80368
CW1131562,CW432710
CW464435,CW552002
AW19424,AW95751
CW96227,CW175636
CW1025058,CW402823
AW110285,AW110285
DD149197,DD149197
BK44569,BK44569
DE292031,DE292031
EB20218,BC58923
BL447257,BL447257
BP3416,DF2764
AW88886,BZ34427
CN42600,BM44636
CW206920,CW397343
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
EG51649,BL89823
BY341421,BY252390
CW537925,CW1372055
AF23986,CN80083
EH570904,BL218077
CW805787,CW805787
EH310433,EH237841
DL166627,DB157403
AA154332,AA154332
CL48787,CB61784
CW127631,CW339630
EH957431,EH409522
DB172411,DB265613
BS7867,DN41692
CW573204,CW816944
BL381779,AA132878
BM23449,CZ81443
EH944828,CZ114592
EH957483,EH957483
CG117666,BY401575
CW646827,CW916755
DT142452,DT142452
CW379796,CW267006
CW500809,CW339066
CH36563,CC121521
CW56209,CW119932
CW122110,CW54931
CW140341,CW1090500
EN25836,EA13468
DE322127,DE322127
CW1110012,CW430951
BY714645,BY714645
BL403128,EH887953
EH773803,EH773803
EP23069,EP23069
BE390268,DN55551
DR55603,DR83488
AS96646,AS96646
AN40864,AN40864
DE122428,DB185347
EH430094,AL137261
EH996292,EH321357
EH1189521,EH272404
AM27154,AM27154
DN130546,EH936288
BY61071,BY433341
EA56406,CT51778
CW1026415,CW699837
DE186891,DE201045
AW195463,BR35067
BY588273,BY533528
CW820495,CW820495
BL397781,BL213836
DT104884,EF95445
BH79927,BL252539
BN366675,BN121712
DA17710,DA103551
DB197105,DB107399
BE286190,BE304692
CW211200,CW358253
CW347558,CW318872
EH236514,EH164748
CW961375,CW806092
DB228152,DB300760
CW67410,CW923189
BL317080,BB59237
BN334881,BN341904
DE287233,DE326043
EM125483,DY29241
AE29558,AE29558
CW458430,CW267006
DB188586,DB188586
AA85510,AA137238
CW78789,CW52867
CW176529,DS69672
CW505774,CW1076955
CC134300,BY303065
CW1126819,CW1126819
BZ36404,BZ36404
BL235839,DE24510
AA88476,EJ10437
CW883502,CW412811
BC68827,BC68827
BY677877,BY677877
CW841295,CW420804
DE300599,DE300599
CW1072015,CW1101312
BH151762,BH93142
AK33668,AK60925
AA159369,DN133290
AM77025,AM77025
CW908633,CW307605
BR193001,BP60081
DE228744,DE191604
AF5004,AF2122
CW827085,CW783479
EH903175,EH903175
CW236300,CW911796
BN324825,BN324825
AK34180,AK34180
CW299279,CW299279
CZ44838,CZ44838
DB178666,DB174494
BR210362,EH1320643
EH572052,EH572052
DR37710,DR37710
BY624212,BY248851
CW80070,CW170915
BE429465,BE333614
AK31962,DR34137
BN257903,BN354910
DB127647,DB328103
EH825545,EH825545
CW832834,CW237662
CM34706,CM34706
CW809104,CW955472
BY471169,BY471169
BD50597,AP51678
BY95094,BY208043
AN77823,EF64432
CT13982,EP30087
BL517432,BL517432
DE295032,EH1005299
DZ6946,DZ6946
BL391927,CP19069
BY270755,BY358655
CW763749,CW664663
CW194620,CW361017
DL87146,DL160250
BZ66793,BZ66793
CJ132175,CJ132175
BY200547,BY130780
CB32958,AP64158
BB91819,BB91819
BH151570,BD94281
DA87354,EB45789
EH1110202,EH1110202
DX13417,DX13417
DN134266,EH769815
DB41628,DB13562
CW745359,CW745359
EH402309,EH103505
DR98517,DR98517
CW1131245,CW835206
CZ52345,CZ49828
CW341233,CW261073
EH976657,EH170713
CW147748,CW149206
AN153798,AN153798
EH194945,EH194945
EM105022,EH392472
EH573069,CZ94325
AW108103,AW33856
DD161442,DD124594
CC118229,CC66491
EH1004318,AD31540
EH1318377,EH1318377
EB34098,AC16498
CW137166,CW420845
AP40325,AP58802
CW1188780,CW1159478
BN456091,BN456091
EH630246,EH630246
EH454156,CT33344
AW145678,AW98680
CW120187,CW354406
BY548895,BY79082
CW278019,CW147629
BE390268,EH478771
EF133366,EF133366
CJ62722,CJ62722
AN177472,CW797761
BR68087,AN98838
CW639067,CW777732
BY736100,BY178255
EF107271,EF107271
DX61767,DX61767
BY498202,BN549111
CW639155,CW421589
EH47939,EH47939
EH481198,EH1156720
BH162498,BH90865
CJ35795,BY451078
EP10503,AW12389
AK3349,AK3349
EH426914,AH14399
BN242440,BN205495
EH729820,EH729179
BY492079,BY73814
AN64436,AN64436
DP17347,DP17347
BN191465,BN18943
BE431202,BE65481
EH821470,EH821470
EH756173,EH756173
CW136438,AK52800
CW801897,CW1336043
BY570127,BY379489
BY456407,BY453591
DR117568,DR117568
DS102387,EH949350
DB124955,BD77965
BL347725,BL347725
EF167088,DB270527
BE343202,BE343202
BR172315,AW158497
CW688785,BK43264
CW845719,CW664745
BE67568,BE94607
BL329779,BL237631
EH484581,BL182975
CW774026,BB72755
DE290491,DE290491
EM129999,EM129999
BW63890,BY622921
AZ10275,AZ10275
BH80565,BH80565
CW104882,CW104882
BH54931,AL193354
BR222182,BR222182
EH1129779,EH1281402
EB59514,DN121056
BL81997,BL461119
CW138868,CW138868
CW561548,CW1210527
CW223222,CW142777
CW225649,CW349195
CW1159478,CW1159478
CS24892,CS24892
DH55881,CH36948
CJ141042,CJ141042
BR149505,BR149505
EH827821,EH827821
BE435077,BE435077
BL178851,BL250576
BN156211,BN156211
CW910311,CW1092736
BE50528,BE218418
BB59894,BB63011
BN90028,BN90028
CW54353,CW54353
DE29534,DE58405
EH966875,EH966875
CW878905,CW1111304
EH907959,EH907959
EH209535,EH209535
CW1016234,CW1023001
CG95107,CG95107
DE42065,EH515884
CW1315021,CW1041811
CW165057,CW1058063
CW1151078,CW907725
BE361646,BE366426
BY86312,BY359157
BN204249,BN367840
CW596989,CW617788
BE267512,BE267512
BL108873,BG33825
CW1255402,CW830473
BY532055,BY528029
BY422997,BY422997
BE184658,BE154075
BD117573,DE253483
CW750177,CW625009
DE140458,DE300555
DS56960,DS56960
CW82745,CW471416
BL309974,BL309974
BY265721,EH1253852
BE332041,BE335518
BH88566,BN331341
CW1188780,CW799835
DB68922,EN2518
CW683933,CW604640
CW659779,CW659779
DD35153,BY274656
AN157578,DE149402
CW707592,CW941451
BE57160,BE26095
EH1128010,EH1128010
EH1138041,DT95445
CB70127,CB70127
