globalID_A,globalID_B
AL132675,BE94031
DR96172,DR96172
DM21083,DL20219
CW915211,CW929855
BH148364,BH148364
AP79283,AP79283
CW896146,CW859559
EH331060,BL165307
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
EH940689,EH285464
DR68908,DR68908
DX57928,DX57928
BY381420,BY430721
EH1013050,EH1013050
DA31077,DA89003
CW99478,CW99478
EH1074354,EH1074354
EH535597,EH741121
DD145581,DX40893
EH1112956,CP12015
CN37656,CW243008
DL129280,DS68139
CR25802,CA108085
CW781939,CW781939
CL38142,BY682517
BE378062,BE378062
EH57349,EH166062
AN110068,DE11010
CW38730,CW175451
DW79972,DW79972
BR192583,BR140083
CW990977,CW138560
DT134409,DT134409
AE16597,CN45217
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
EH638865,EH638865
EH651093,EH651093
DE48730,DE51356
CW475722,CW1182829
DN94629,DN94629
BK10331,CW184004
DD12044,DD12044
DN160666,DN160666
AL67333,CP30043
DN61565,BB59852
CW733706,CW766653
BD137298,BD137298
AN4402,AN4402
CW776598,CW776598
CW866145,CW339630
BE23422,BE132075
BE342264,CJ144702
CW575864,EH576962
DN94774,DN94774
CJ180866,CJ180866
CM52088,CM52088
BN157081,BN15521
CW533974,BM26019
AK146829,AK106726
ER17295,CP4198
EH469053,CW582232
DB124955,BH184479
CJ72768,CJ72768
EH1125874,EH1125874
AL246516,AL246516
CW343889,CW812867
CW976327,CW976327
CA66987,BR51277
CW1035390,CW1035390
CL31997,CL31997
CW74855,CW502718
DA73458,DL180915
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
CJ178207,AJ22968
BL142648,BL164487
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
CA30275,EL13836
BN74650,BN74638
EM31517,EM17616
EG51000,EG51000
DE220496,DE220496
DB189321,DB165183
CW547958,EH525872
CR9226,CR9226
BH3865,BH5742
EH768829,EH768829
BN186904,BN361303
DA23918,BM31203
EH1021621,EH1021621
CW247148,CW1260625
BN462678,BN171018
BE367609,BE367609
CW628878,AL255383
DX45629,AR5782
CW949093,CW949093
DL202138,DT114697
ER28949,ER28949
EH339444,EH282923
BE72140,BE88616
EF74950,EF191020
BE69060,AN22044
BN418977,BN418977
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
EH1107194,EH1107194
DE98703,DE178122
AL112691,EF100296
CW142482,CW142482
CM22138,DZ52813
EH260245,DK17994
EH864237,EH864237
CW254180,CW211575
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
CW989013,CW1062442
BM69394,DA110731
CW619648,CW793258
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
BL231586,DL90739
AH15265,BM51045
EP102069,EP102069
CJ35795,EF100296
EH840564,EH1110202
EH484217,AL244492
CW801005,CW1091768
CW733706,CW1097021
BL509977,BL509977
BY125406,BY44806
CW517755,CW347111
BB113130,BY532055
CW1207523,CW1207523
CW374336,CW374336
BE325615,BE325615
EN74533,EH769815
AS81868,AS81868
DZ13036,DZ13036
CW1178925,CW499931
CW668832,CW462215
AS83961,AS83961
AM83579,AM83579
CW528476,CW908787
DL232533,DL232533
CW887565,CW1220151
DB237192,DB237192
CW138868,CW672046
BY53046,BY460011
EH478083,BB80368
BR128112,BR109620
BL283169,BL283169
CW464435,CW552002
EH570908,EH570908
AW19424,AW95751
CW96227,CW175636
DD149197,DD149197
BK44569,BK44569
EB20218,BC58923
AW88886,BZ34427
CN42600,BM44636
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
BY341421,BY252390
DE71456,DE96499
AJ42900,AJ42900
AF23986,CN80083
CW169490,CW245163
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
CA121848,CW476427
BB98596,BB98596
CW623419,CW655034
EH614589,EH614589
EF18347,EF18347
BL508317,BL508317
EH957483,EH957483
BR196901,AW220058
CG117666,BY401575
EM27169,EM27169
DT142452,DT142452
CW500809,CW339066
CC141618,CC141618
CW122110,CW54931
EF20035,EF145735
EH770566,EH770566
CW140341,CW1090500
EN25836,EA13468
AX41776,AX41776
BY714645,BY714645
BR141334,BR141334
EH1116492,EH1116492
DA107842,DA107842
AN40864,AN40864
CN97014,CN97014
EH996292,EH321357
EH1189521,EH272404
AW212216,AW212216
DN130546,EH936288
BY588273,BY533528
CW820495,CW820495
AA189574,CC54185
BN366675,BN121712
AW125487,AW125487
CW658012,CW658012
CW603343,CW604640
CW347558,CW318872
EH236514,EH164748
BN449562,BN449562
DB228152,DB300760
BN334881,BN341904
DE287233,DE326043
BH68682,CP18039
AE29558,AE29558
DB188586,DB188586
CW78789,CW52867
CW505774,CW1076955
AA88476,EJ10437
BC68827,BC68827
CG75431,BE32449
BY677877,BY677877
EH395687,EH395687
CW841295,CW420804
DE300599,DE300599
CW1072015,CW1101312
DD178879,DD178879
CG201648,CG108116
EH157899,EH157899
AM77025,AM77025
BR193001,BP60081
AF5004,AF2122
BL265845,CW354122
AK34180,AK34180
CW299279,CW299279
EH572052,EH572052
AL27439,AL27439
CW127711,CW174297
AB2847,AB4248
BN257903,BN354910
EH171754,EH713403
EH825545,EH825545
CG167067,CG171058
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
BD50597,AP51678
CT13982,EP30087
DZ6946,DZ6946
BL391927,CP19069
BL206364,BL206364
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
DN134266,EH769815
ED37292,ED37292
BE339631,BE339631
CW745359,CW745359
EH402309,EH103505
CW1131245,CW835206
CZ52345,CZ49828
EH976657,EH170713
EH155433,EA24598
AN153798,AN153798
EH194945,EH194945
CH38118,EF167453
DD161442,DD124594
EH1004318,AD31540
CW137166,CW420845
BZ49625,BD57531
DD35153,AP17480
CW1188780,CW1159478
BN456091,BN456091
EH732691,EH732691
EH454156,CT33344
CW120187,CW354406
BY548895,BY79082
BR68087,AN98838
CW944580,CW134743
BY736100,BY178255
DX61767,DX61767
EH47939,EH47939
BH162498,BH90865
CJ35795,BY451078
AL60170,AL60170
BY492079,BY73814
BE431202,BE65481
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
BY456407,BY453591
EH189952,EN31321
DB124955,BD77965
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
CW845719,CW664745
DE290491,DE290491
BL162192,AP13404
CW68911,CW413073
CW104882,CW104882
EF163056,EF163056
BR222182,BR222182
CW223222,CW142777
AW93116,AW93116
DP24306,DP24306
CW225649,CW349195
BH51948,BH51948
DC6316,DC6316
EH1053611,EH1053611
DH55881,CH36948
EH827821,EH827821
BL178851,BL250576
EL50543,EL50543
CW910311,CW1092736
BE50528,BE218418
BB59894,BB63011
EH966875,EH966875
EH907959,EH907959
CG95107,CG95107
DE42065,EH515884
CW1315021,CW1041811
EL89385,EL89385
BY86312,BY359157
CW596989,CW617788
BY532055,BY528029
CW876492,CW876492
CW750177,CW625009
BR221837,EB26724
CW650951,EH949350
CW1164929,CW13665
BL309974,BL309974
EH658948,AY30033
CW1188780,CW799835
DB68922,EN2518
CW683933,CW604640
EH971136,EH971136
CW707592,CW941451
BY49830,BY49830
EH1128010,EH1128010
CB70127,CB70127
AW169892,AW169892
BG39369,BG39369
DS99794,BL419208
BE242382,DL91759
CW522743,CW522743
CW920681,CW482709
CW361380,CW377407
BJ25819,CL41577
BY337641,BN319536
EH189952,EH181736
CW848067,CW848067
BH5281,BH5742
CL53820,CL53820
DA31077,BL357087
DB143227,DB95684
CW735763,CW735763
EH907321,EH907321
CW650275,CW525258
AL36918,AL78524
DL243792,DL243792
EH1231253,DE313119
BY730023,BY730023
CW809968,CW781404
DA98283,DA98283
BC52046,BC52046
EN36566,BG17897
DR34586,BC49059
EH1242788,EH1242788
BW32097,BW32097
DS73864,CW596684
EH508953,EH508953
BY581477,BY626247
EH973354,EH973354
AG7123,AG7123
DE126173,DE113827
EH93962,EH66848
CW862478,CW862478
BY387987,BY387987
BN446573,BN462215
BL224977,DT100576
CC74141,CC17740
CW101068,CW63514
CC101971,CC65094
DD77566,CM66027
EH921303,EH921303
DF16755,DF16755
BJ18745,BJ18745
CW518861,CW1207388
CW939294,CW443570
AG31722,CC68211
CW975643,CW175943
DP39573,DP39573
DB252821,DB252821
BR31477,EF161620
EM95615,EH1129708
CW408607,CW408607
BL45751,BL154939
BE29671,BB34458
EH872219,EH872219
BB63680,DT108942
CW966697,CW1220151
CW1149840,CW1119980
EH526365,EH526365
EH564230,EH337379
EH300908,EH370325
CA8708,CA8708
BN530567,BN194846
CW654766,BE221631
DB221968,DB221968
BE155766,BE152841
CW1063169,CW1063169
BY453251,CB57799
EH438902,EH658810
CW127161,CW413431
DX58217,DX58217
EH398163,EH372954
AL47148,AL27439
DB226239,DB226239
BN415368,BN245892
CW514762,CW253671
AA143651,AA169664
BY364224,BY364224
CW495460,CW266772
CW811612,CW811612
CW751262,CW133941
BD116129,DE151280
AL252945,AL252945
BY626998,BY626998
EM56764,EM56764
EH899404,BH151572
EH822494,EH822494
BE303282,BE303282
AW184946,AW184946
CL38926,AR6305
EN21357,EN21357
DH47835,AJ16046
CW1280192,CW485390
AS23825,BD44032
CC21890,CC85608
CW326311,CW1261560
AN8913,AN8913
AN99316,AN99316
EH235248,EH276576
DB116579,DX40819
BR156774,BR156774
AM39718,AM39718
BN451192,BN166302
DB237134,DB237134
EH189952,BR122736
DD35153,EF100296
CW1072015,CW555469
EH874873,EH874873
BE149517,BE95263
CJ10227,CJ10227
DL205386,DL29781
CW527537,CW860180
AL82522,BR66169
EH114287,EH876571
CW332015,CW530651
CN13589,CN13589
DE237210,DE187017
CW213246,CW213246
CW647270,CW1037075
DD83186,DD83186
EH811073,EH811073
BR98784,BR98784
CA41329,AP47183
CW785406,CW746583
CW997238,CW266772
DR87365,DR87365
AL341191,CZ70785
BN485941,BN485941
CM42405,CM42405
AH18733,EH472410
CW167148,CW167148
BL160163,BL133475
EM95314,EM95314
AE16597,CW175943
CW835736,CW835736
AM102535,AM102535
CW384482,CW231806
BY619957,BY619957
CW782355,CW782355
EH1204622,EH1204622
CW1026088,CW885253
CW487349,CW402930
EM105472,BF30016
DD35153,EL47655
CW1082783,CW1082783
BH64733,BH95766
AG45307,AG45307
BR82335,AP17480
BZ49625,BZ49625
CG87453,CG87453
DD139105,CT56462
CW113694,CW477295
DB286502,DB286502
CW343889,CW163338
CW1139262,DB216138
CW1103236,CW469190
CW251386,CW216625
