globalID_A,globalID_B
DR96172,DR96172
CW915211,CW929855
BH148364,BH148364
AP79283,AP79283
BE242493,BE214257
CW896146,CW859559
EH331060,BL165307
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
EH940689,EH285464
DR68908,DR68908
DX57928,DX57928
EH680633,EH680633
EH1013050,EH1013050
DA31077,DA89003
CW99478,CW99478
EH1074354,EH1074354
EH535597,EH741121
EB34098,CA90184
DL129280,DS68139
CL38142,BY682517
BE378062,BE378062
EH57349,EH166062
DW79972,DW79972
BR192583,BR140083
CE58173,CW1030276
DT134409,DT134409
AE16597,CN45217
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
DE231263,DG52437
EH638865,EH638865
EH651093,EH651093
DE48730,DE51356
CW475722,CW1182829
DN94629,DN94629
BK10331,CW184004
DD12044,DD12044
DN160666,DN160666
DN61565,BB59852
CW733706,CW766653
BD137298,BD137298
AN4402,AN4402
CW776598,CW776598
BE23422,BE132075
BE342264,CJ144702
DN94774,DN94774
CW514885,AK78826
BN157081,BN15521
ER17295,CP4198
CJ72768,CJ72768
EF73194,CB73432
AL246516,AL246516
EM11064,EM89043
CW343889,CW812867
CW976327,CW976327
EH385411,DE250807
CA66987,BR51277
CW1035390,CW1035390
CL31997,CL31997
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
CA30275,EL13836
BN74650,BN74638
EM31517,EM17616
EG51000,EG51000
DE220496,DE220496
DB189321,DB165183
CR9226,CR9226
BH3865,BH5742
EH768829,EH768829
EH1021621,EH1021621
BN462678,BN171018
BE367609,BE367609
CW949093,CW949093
DL202138,DT114697
ER28949,ER28949
EH1243288,EF36177
BE72140,BE88616
EF74950,EF191020
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
DB259254,DB259254
EH1107194,EH1107194
AL112691,EF100296
AA146746,AA72466
CW142482,CW142482
EH260245,DK17994
EH864237,EH864237
CW254180,CW211575
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
CW989013,CW1062442
BM69394,DA110731
DR94354,DR94354
EJ3049,EJ3049
AL191266,AL5494
EP102069,EP102069
DE198939,DE198939
EH840564,EH1110202
CW801005,CW1091768
BL509977,BL509977
CG50551,AL239832
BB113130,BY532055
CW374336,CW374336
EN74533,EH769815
AS81868,AS81868
DZ13036,DZ13036
AM83579,AM83579
CW528476,CW908787
DL232533,DL232533
CW887565,CW1220151
AL109233,AL109233
DB237192,DB237192
CW138868,CW672046
BY53046,BY460011
BR128112,BR109620
CW464435,CW552002
CW96227,CW175636
DD149197,DD149197
BK44569,BK44569
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
BY341421,BY252390
DE71456,DE96499
AJ42900,AJ42900
AF23986,CN80083
BP43188,DA76812
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
BB98596,BB98596
CW623419,CW655034
EH614589,EH614589
EF18347,EF18347
EH957483,EH957483
BR196901,AW220058
CG117666,BY401575
EM27169,EM27169
DT142452,DT142452
CW500809,CW339066
CC141618,CC141618
CW122110,CW54931
EH770566,EH770566
CW140341,CW1090500
EN25836,EA13468
AX41776,AX41776
BY714645,BY714645
BL403128,EH887953
EH1116492,EH1116492
DA107842,DA107842
AN40864,AN40864
CN97014,CN97014
EH996292,EH321357
AW212216,AW212216
DN130546,EH936288
BY588273,BY533528
CW820495,CW820495
BN366675,BN121712
AW125487,AW125487
CW658012,CW658012
CW347558,CW318872
EH236514,EH164748
BN449562,BN449562
DB228152,DB300760
BN334881,BN341904
DE287233,DE326043
AE29558,AE29558
DB188586,DB188586
CW78789,CW52867
CW505774,CW1076955
CC134300,BY303065
EH1126051,EH997946
AA88476,EJ10437
BC68827,BC68827
DB260464,DB260464
BY677877,BY677877
EH395687,EH395687
CW841295,CW420804
DE300599,DE300599
CW1072015,CW1101312
DD178879,DD178879
EH157899,EH157899
AM77025,AM77025
AK34180,AK34180
CW687847,CW687847
BN471187,CC89087
CW299279,CW299279
EH572052,EH572052
AL27439,AL27439
AB2847,AB4248
BN257903,BN354910
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
BD50597,AP51678
CT13982,EP30087
DZ6946,DZ6946
BL206364,BL206364
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
CN54005,BL337576
DA87354,EB45789
DN134266,EH769815
ED37292,ED37292
BE339631,BE339631
CW745359,CW745359
EH402309,EH103505
CW1131245,CW835206
CZ52345,CZ49828
EH976657,EH170713
AN153798,AN153798
EH194945,EH194945
EH573069,CZ94325
DD161442,DD124594
CW137166,CW420845
CW1188780,CW1159478
BN456091,BN456091
EH732691,EH732691
EH454156,CT33344
CW120187,CW354406
BR68087,AN98838
CW944580,CW134743
BY736100,BY178255
DX61767,DX61767
EH47939,EH47939
BH162498,BH90865
BB94692,BB100589
AL60170,AL60170
BY492079,BY73814
BE431202,BE65481
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
BY456407,BY453591
DB124955,BD77965
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
CW845719,CW664745
DE290491,DE290491
BL162192,AP13404
CW104882,CW104882
BR222182,BR222182
CW223222,CW142777
AW93116,AW93116
DP24306,DP24306
BH51948,BH51948
DC6316,DC6316
EH1053611,EH1053611
EH827821,EH827821
BL178851,BL250576
CW910311,CW1092736
BE50528,BE218418
BB59894,BB63011
EH966875,EH966875
EH907959,EH907959
CW1016234,CW1023001
CG95107,CG95107
EL89385,EL89385
CW596989,CW617788
BY532055,BY528029
CW876492,CW876492
CW750177,CW625009
CW650951,EH949350
CW1164929,CW13665
BL309974,BL309974
BE332041,BE335518
BH88566,BN331341
DB68922,EN2518
CW683933,CW604640
EH971136,EH971136
CW707592,CW941451
