globalID_A,globalID_B
AM100162,AM100162
AL132675,BE94031
DR96172,DR96172
CW935955,CW935955
CW915211,CW929855
BH148364,BH148364
AP79283,AP79283
EH870816,EH870816
DN93603,EH431830
DE55589,DE55589
CW896146,CW859559
EH331060,BL165307
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
EH940689,EH285464
DR68908,DR68908
BL501956,BL501956
DL236630,EA45574
DX57928,DX57928
EH680633,EH680633
CW518629,CW518629
BE275934,BE275934
EH1013050,EH1013050
CW99478,CW99478
EH1074354,EH1074354
AL312812,AL312812
CW359599,CW67334
BN515859,BN515859
AG49812,EA30411
DD145581,DX40893
EH1112956,CP12015
DS107356,DS68139
CN37656,CW243008
BH123031,DS92767
EH927285,CW964158
CW1155935,CW110184
EB34098,CA90184
BD128610,BD128610
AT22339,BY534976
CL38142,BY682517
EH467363,EH467363
BH70011,BH70011
BE378062,BE378062
AA144118,BN24300
EH57349,EH166062
AN110068,DE11010
CW38730,CW175451
DW79972,DW79972
EH828746,EH828746
BR192583,BR140083
CE58173,CW1030276
DT134409,DT134409
AE16597,CN45217
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
DE281454,DE281454
CW639155,CW469837
EJ25249,CW802880
EH638865,EH638865
EH651093,EH651093
EM105472,DX10615
CH51923,CH51923
DE48730,DE51356
CW475722,CW1182829
DL198943,AS46613
DN94629,DN94629
DD12044,DD12044
DN160666,DN160666
AN27611,AN27611
EP64728,DB136952
DD202483,DD202483
BL385307,BL385307
DN61565,BB59852
BK14738,BK14738
CW733706,CW766653
EH755944,BD110413
CB67822,BR239904
BD137298,BD137298
BY101450,BY101455
AN4402,AN4402
BN304755,BN304755
EH1035868,BY619535
CW776598,CW776598
AM85701,AM81366
CW866145,CW339630
BE342264,CJ144702
CW575864,EH576962
BL497251,BL497251
DN94774,DN94774
DW36346,DW36346
BN157081,BN15521
BW56516,BW56516
CW533974,BM26019
EH1122420,EH1122420
ER17295,CP4198
DB124955,BH184479
CJ72768,CJ72768
AN157578,EH392472
AL246516,AL246516
EM11064,EM89043
CW343889,CW812867
CW976327,CW976327
BR164452,BR178639
CC102983,CC102983
CA66987,BR51277
BE298480,BE298480
BG50638,BG50638
CW1035390,CW1035390
BW16521,BL198135
CL31997,CL31997
CW74855,CW502718
DA73458,DL180915
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
CW824801,CW824801
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
CA30275,EL13836
CW523593,CW127449
BN74650,BN74638
EM31517,EM17616
CW524744,CW463194
EG51000,EG51000
DE220496,DE220496
DB189321,DB165183
CR9226,CR9226
DN48937,DN25855
BH3865,BH5742
EH866775,EH866775
EH768829,EH768829
DB153840,DB153840
DA23918,BM31203
EH1021621,EH1021621
AK97846,AK97846
BH76847,BH76847
CW247148,CW1260625
BN462678,BN171018
BE367609,BE367609
CW247570,CW173656
DX45629,AR5782
CW949093,CW949093
EA44824,EA44824
EH641878,EL58969
DL202138,DT114697
ER28949,ER28949
CC63778,CC63778
EH339444,EH282923
EH1243288,EF36177
BE72140,BE88616
EF74950,EF191020
BE69060,AN22044
BN418977,BN418977
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
EH1107194,EH1107194
DR89025,DR89025
AA150365,AA150365
BN329253,AA195042
DE98703,DE178122
AA146746,AA72466
CW855896,CW855896
CW142482,CW142482
CM22138,DZ52813
EH260245,DK17994
CW181152,AP97952
EH864237,EH864237
CW254180,CW211575
BE116703,BE175797
BD138946,BD138946
DB242998,DB242998
AL50677,AL50677
CW989013,CW1062442
DE87317,AZ19395
BM69394,DA110731
CW619648,CW793258
DR94354,DR94354
EJ3049,EJ3049
DX53346,DX53346
EP102069,EP102069
CJ35795,EF100296
EH484217,AL244492
EH474899,EH1121927
EH1074535,EH1074535
CW801005,CW1091768
CW733706,CW1097021
BL509977,BL509977
BY125406,BY44806
CW517755,CW347111
CG50551,AL239832
DB48890,DB48890
EP29512,EP95261
BB113130,BY532055
CW774113,CW774113
CW374336,CW374336
BE325615,BE325615
EN74533,EH769815
AS81868,AS81868
BS10103,BL168138
DZ13036,DZ13036
CW1178925,CW499931
CW668832,CW462215
AS83961,AS83961
AM83579,AM83579
CW528476,CW908787
DL232533,DL232533
CW887565,CW1220151
DB237192,DB237192
CW138868,CW672046
BY53046,BY460011
BR128112,BR109620
BN325603,BN325603
BL283169,BL283169
CW464435,CW552002
CW96227,CW175636
AA60261,EB38966
DD149197,DD149197
CW423765,CW526034
BK44569,BK44569
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
BE159336,BE159336
EH189952,EH245924
BY341421,BY252390
AJ42900,AJ42900
AF23986,CN80083
