globalID_A,globalID_B
AL132675,BE94031
DR96172,DR96172
CB19041,BH151572
BH148364,BH148364
EH596792,DA58962
AP79283,AP79283
CW896146,CW859559
EH331060,BL165307
DH46486,DH46486
BL417902,BL417902
AL50791,AL50791
EH940689,EH285464
DR68908,DR68908
DX57928,DX57928
EH680633,EH680633
EH1013050,EH1013050
CW99478,CW99478
EH1074354,EH1074354
EH765344,EL59856
DD145581,DX40893
EH1112956,CP12015
BH123031,DS92767
EB34098,CA90184
DL129280,DS68139
CL38142,BY682517
BE378062,BE378062
AN110068,DE11010
CW38730,CW175451
DW79972,DW79972
BR192583,BR140083
DT134409,DT134409
AE16597,CN45217
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
AN217158,AN217158
BR45261,BR45261
AG39148,AG39148
DE231263,DG52437
CW639155,CW469837
EH638865,EH638865
EH651093,EH651093
DE48730,DE51356
CW475722,CW1182829
DN94629,DN94629
BK10331,CW184004
DD12044,DD12044
DN160666,DN160666
DN61565,BB59852
CW733706,CW766653
CB67822,BR239904
BD137298,BD137298
BY101450,BY101455
AN4402,AN4402
BN304755,BN304755
CW776598,CW776598
CW866145,CW339630
BE23422,BE132075
BE342264,CJ144702
DN94774,DN94774
BN157081,BN15521
ER17295,CP4198
DB124955,BH184479
CJ72768,CJ72768
AL246516,AL246516
CW343889,CW812867
CJ35795,EL47655
CW976327,CW976327
CW44758,CW110745
CA66987,BR51277
CW1035390,CW1035390
BW16521,BL198135
CL31997,CL31997
CW74855,CW502718
CW1087095,CW1087095
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
AL228705,AL228705
AL120780,AL120780
CA30275,EL13836
BN74650,BN74638
EM31517,EM17616
DX39165,DX39165
EG51000,EG51000
DE220496,DE220496
DB189321,DB165183
CR9226,CR9226
BH3865,BH5742
EH768829,EH768829
DA23918,BM31203
EH1021621,EH1021621
BN462678,BN171018
CJ46992,EH301614
BE367609,BE367609
CW628878,AL255383
DX45629,AR5782
DK28923,CL34680
CW949093,CW949093
DL202138,DT114697
ER28949,ER28949
EH1155426,DL193666
BE72140,BE88616
BE69060,AN22044
BN418977,BN418977
AK142289,AK142289
AN66456,AN66456
AS63442,AS63442
AA59653,AA103068
DB259254,DB259254
EH1107194,EH1107194
EH62363,EH92268
DE98703,DE178122
AL112691,EF100296
AA146746,AA72466
CW142482,CW142482
EH260245,DK17994
EH864237,EH864237
CW254180,CW211575
BE116703,BE175797
BD138946,BD138946
BN412411,BN412411
AL50677,AL50677
CW989013,CW1062442
DR94354,DR94354
EJ3049,EJ3049
BL231586,DL90739
EP102069,EP102069
CJ35795,EF100296
EH840564,EH1110202
CW801005,CW1091768
CW733706,CW1097021
BL509977,BL509977
CW517755,CW347111
BB113130,BY532055
CW1207523,CW1207523
CW374336,CW374336
EN74533,EH769815
BY505473,BY370202
CW315634,CW1326626
AS81868,AS81868
BS10103,BL168138
DZ13036,DZ13036
CW668832,CW462215
AS83961,AS83961
AM83579,AM83579
CW528476,CW908787
CW265149,AJ15774
DL232533,DL232533
CW887565,CW1220151
AL109233,AL109233
DB237192,DB237192
CG159993,EH472410
CW138868,CW672046
BY53046,BY460011
EH478083,BB80368
BR128112,BR109620
CW464435,CW552002
AW19424,AW95751
CW96227,CW175636
DS34766,DE127114
AW110285,AW110285
AA60261,EB38966
DD149197,DD149197
EB20218,BC58923
BY122059,AJ15825
AL157981,AL157981
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
BY341421,BY252390
DE71456,DE96499
AJ42900,AJ42900
AF23986,CN80083
CW169490,CW245163
EH570904,BL218077
CW889948,CW889948
CL48787,CB61784
CW127631,CW339630
BB98596,BB98596
BW35837,AP91680
CW623419,CW655034
EH614589,EH614589
EF18347,EF18347
EH957483,EH957483
DE172403,EF101538
CG117666,BY401575
EM27169,EM27169
DT142452,DT142452
BY415790,DT108942
CW500809,CW339066
CH53126,CH53126
CW56209,CW119932
CC141618,CC141618
CM78030,CW950202
CW122110,CW54931
EH770566,EH770566
DZ71015,DT64036
CW140341,CW1090500
EN25836,EA13468
AX41776,AX41776
BY714645,BY714645
EH1116492,EH1116492
DA107842,DA107842
AN40864,AN40864
CN97014,CN97014
EH996292,EH321357
AW212216,AW212216
DN130546,EH936288
CW1026415,CW699837
BL264401,BE207675
DD164420,AA132878
BY588273,BY533528
CW820495,CW820495
BN366675,BN121712
EM26639,BP57688
DB178321,EM79096
AW125487,AW125487
CW658012,CW658012
CW603343,CW604640
CW347558,CW318872
AH18733,CK11129
EH236514,EH164748
BN449562,BN449562
DB228152,DB300760
BN334881,BN341904
DE287233,DE326043
AE29558,AE29558
DB188586,DB188586
CW78789,CW52867
CW505774,CW1076955
CC134300,BY303065
ER40003,DH54460
CW1126819,CW1126819
EH1126051,EH997946
AA88476,EJ10437
CW883502,CW412811
BC68827,BC68827
BY677877,BY677877
EH395687,EH395687
CW841295,CW420804
CW159258,CW439183
DE300599,DE300599
CW1072015,CW1101312
DD178879,DD178879
CG201648,CG108116
EH157899,EH157899
AM77025,AM77025
AF5004,AF2122
BL265845,CW354122
AK34180,AK34180
CW299279,CW299279
BR210362,EH1320643
EH572052,EH572052
AL27439,AL27439
CW127711,CW174297
BN409739,AT23707
AB2847,AB4248
BN257903,BN354910
CW332589,CW932285
EH825545,EH825545
CM34706,CM34706
CW809104,CW955472
CW30364,CW30364
BD50597,AP51678
DL283511,CW1064993
CT13982,EP30087
DZ6946,DZ6946
BL391927,CP19069
BL206364,BL206364
DL87146,DL160250
CJ132175,CJ132175
BB91819,BB91819
EA31499,EA31499
CN54005,BL337576
BN59401,BN59401
DA87354,EB45789
DN134266,EH769815
ED37292,ED37292
BE339631,BE339631
CW745359,CW745359
EH402309,EH103505
CW1131245,CW835206
CZ52345,CZ49828
EH976657,EH170713
EH155433,EA24598
AN153798,AN153798
EH194945,EH194945
EH573069,CZ94325
DD161442,DD124594
EH1004318,AD31540
CW137166,CW420845
BZ49625,BD57531
EB34098,DE154601
BD40766,DM18061
DD35153,AP17480
AM37972,CC28222
EH1009066,EH1009066
CW1188780,CW1159478
BN456091,BN456091
EH732691,EH732691
EH454156,CT33344
CW120187,CW354406
BY548895,BY79082
BR68087,AN98838
CW639067,CW777732
CW944580,CW134743
BY736100,BY178255
DX61767,DX61767
EH47939,EH47939
BH162498,BH90865
AL60170,AL60170
EH426914,AH14399
BY492079,BY73814
BE431202,BE65481
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
BE293295,BE293295
CS14102,DN41692
BY456407,BY453591
EH189952,EN31321
DB124955,BD77965
BE343202,BE343202
AN175177,AN175177
CW18973,CW18973
CW688785,BK43264
CW845719,CW664745
CW774026,BB72755
DE290491,DE290491
BL162192,AP13404
CW68911,CW413073
CW104882,CW104882
BR222182,BR222182
CW223222,CW142777
AW93116,AW93116
DP24306,DP24306
CW225649,CW349195
AL229910,BN296479
BH51948,BH51948
DC6316,DC6316
EH1053611,EH1053611
EH827821,EH827821
BL178851,BL250576
CW910311,CW1092736
BB59894,BB63011
EH966875,EH966875
EH907959,EH907959
CW1016234,CW1023001
CG95107,CG95107
CW1315021,CW1041811
EL89385,EL89385
CW596989,CW617788
BY532055,BY528029
CW876492,CW876492
CW750177,CW625009
BR221837,EB26724
CW650951,EH949350
CW1164929,CW13665
AM35959,CW579640
BL309974,BL309974
BH88566,BN331341
CW1188780,CW799835
DB68922,EN2518
CW683933,CW604640
EH971136,EH971136
CW707592,CW941451
BR65306,BD45362
EH1128010,EH1128010
CB70127,CB70127
AW169892,AW169892
BG39369,BG39369
BE242382,DL91759
CW522743,CW522743
CW920681,CW482709
AP69088,CZ121627
CW361380,CW377407
BY337641,BN319536
EH189952,EH181736
CW848067,CW848067
BH5281,BH5742
CL53820,CL53820
DB143227,DB95684
AL76034,AM28736
EH907321,EH907321
CW650275,CW525258
AL36918,AL78524
DL243792,DL243792
EH1231253,DE313119
BY730023,BY730023
CW809968,CW781404
EH852145,EH55790
DA98283,DA98283
BC52046,BC52046
DL19984,EM3611
EN36566,BG17897
DR34586,BC49059
EH1242788,EH1242788
BW32097,BW32097
EH508953,EH508953
BY581477,BY626247
EH973354,EH973354
AG7123,AG7123
DE126173,DE113827
EH93962,EH66848
CW862478,CW862478
BY387987,BY387987
BN446573,BN462215
DW32456,EF100296
AN98597,BD76153
BE445845,BE269821
BL224977,DT100576
CC74141,CC17740
CW101068,CW63514
CC101971,CC65094
EH921303,EH921303
CW1151414,CW164423
DF16755,DF16755
BJ18745,BJ18745
CW518861,CW1207388
AG31722,CC68211
CW975643,CW175943
DP39573,DP39573
DB252821,DB252821
BR31477,EF161620
EM95615,EH1129708
CW408607,CW408607
BL45751,BL154939
EH872219,EH872219
BB63680,DT108942
CW966697,CW1220151
EH526365,EH526365
CW256046,EH181736
CA8708,CA8708
BN530567,BN194846
AW105535,CH42457
DB221968,DB221968
BE155766,BE152841
CW1063169,CW1063169
BY453251,CB57799
CW127161,CW413431
DX58217,DX58217
EH398163,EH372954
AL47148,AL27439
DB226239,DB226239
CW639067,CE35351
EH755453,AL187749
BN415368,BN245892
CW514762,CW253671
AA143651,AA169664
BY364224,BY364224
CW495460,CW266772
CW811612,CW811612
CW751262,CW133941
AN34126,AN34126
BD116129,DE151280
AL252945,AL252945
BY626998,BY626998
EM56764,EM56764
EH822494,EH822494
AW184946,AW184946
DB6009,DB72640
CL38926,AR6305
BM54714,AL266375
EN21357,EN21357
DH47835,AJ16046
AS23825,BD44032
CW326311,CW1261560
AN8913,AN8913
AN99316,AN99316
EH235248,EH276576
BR156774,BR156774
AM39718,AM39718
BN451192,BN166302
DB237134,DB237134
EH189952,BR122736
DD35153,EF100296
CW1072015,CW555469
EH874873,EH874873
BL379208,BL379208
BE149517,BE95263
CJ10227,CJ10227
DL205386,DL29781
DE186891,CA73956
BD66992,CW1025693
AL82522,BR66169
EH114287,EH876571
CW332015,CW530651
CN13589,CN13589
DE237210,DE187017
CW213246,CW213246
CW647270,CW1037075
DD83186,DD83186
EH811073,EH811073
CG46642,EH427605
BR98784,BR98784
CB70478,CJ52662
CA41329,AP47183
CW785406,CW746583
CW997238,CW266772
DR87365,DR87365
BN485941,BN485941
CM42405,CM42405
CW167148,CW167148
EM95314,EM95314
AE16597,CW175943
CW835736,CW835736
AM102535,AM102535
CW384482,CW231806
BY619957,BY619957
BR138577,BL284311
CW782355,CW782355
EH1204622,EH1204622
CW487349,CW402930
EM105472,BF30016
DD35153,EL47655
CW1082783,CW1082783
AG45307,AG45307
