globalID_A,globalID_B
AM100162,AM100162
CW549185,CW549185
CJ140315,CJ140315
AK12554,AK12554
DR96172,DR96172
DL239263,DL239263
CW915211,CW929855
CW918486,CW918486
BH148364,BH148364
AL172802,AL172802
AP79283,AP79283
EH870816,EH870816
CW736876,CW736876
DN93603,EH431830
BH6503,BH6503
AK26386,AK26386
CW55962,CW55962
EH1123347,EH1123347
CT24903,CT24903
DH46486,DH46486
BL417902,BL417902
CW105988,CW16941
AL50791,AL50791
BE221549,BE221549
DR68908,DR68908
CC145306,BP19213
AW29846,AW29846
CW951794,CW951794
CW91760,CW91760
DT140810,DT140810
AL283971,AL283971
DX57928,DX57928
CW789903,CW789903
BS5930,BS5930
CJ44514,CJ44514
BY381420,BY430721
BE275934,BE275934
CG47557,CG47557
CW99478,CW99478
BZ17465,BZ17465
EH1074354,EH1074354
AM59523,AM59523
AL312812,AL312812
BR46080,BR46080
CW573430,CW573430
BL366436,BL366436
DL228620,DL228620
AS53491,AS53491
BL492441,BL492441
DS107356,DS68139
BL101080,BL101080
CW489947,CW489947
CT6785,CT6785
EH734216,EH734216
AA36052,AA36052
BD128610,BD128610
EH467363,EH467363
BN448531,BN448531
EH642364,EH642364
BH70011,BH70011
EF105095,EF105095
AL155807,AL155807
BE378062,BE378062
BB97032,BB97032
AN110068,DE11010
DA50942,DA50942
DA100642,DA100642
DL220647,DL244270
EF109599,EF109599
CW168583,CW168850
EH171189,EH171189
BY557433,BY557433
AR16012,AR16012
AK34562,AK34562
CW639155,CW469837
CG124581,CG124581
EH429752,EH429752
EH651093,EH651093
CH51923,CH51923
AG46958,BH130365
CT59253,CT59253
DN94629,DN94629
AZ15436,AZ15436
BL385307,BL385307
DB116579,BL440511
AA70580,AA70580
BS6734,BS6734
DL93775,DL93775
DL63959,CN88827
BL298121,BL298121
CW438645,CW276447
CT29270,CT29270
BD137298,BD137298
CW517959,CW501481
DB33677,DB311581
EP60452,EP60452
AL60739,AL104882
CW776598,CW776598
BG7935,BG7935
BE23422,BE132075
BR125338,EH521631
DW40568,DW40568
AX71812,AX71812
CW805794,CW805794
DW36346,DW36346
CL12429,BW16415
BE283515,BE283515
BN157081,BN15521
BW56516,BW56516
DB182074,DB182074
CW1010123,CW1010123
BE363367,BE363367
EH1128123,EH1128123
ER17295,CP4198
CW906990,CW1161543
CW27539,CW143256
EH1125874,EH1125874
DZ54112,DZ54112
BP2983,BP2983
CC102983,CC102983
BL292540,BL292540
BY683405,BY424841
BY562922,BY562922
CW1122349,CW1122349
CW771660,CW771660
CW749468,CW749468
DE159623,BL307531
CW824801,CW824801
BN483084,BN483084
BM74817,BM74817
AL120780,AL120780
CW829152,CW848529
BL459184,BL459184
EM107290,EM107290
EG51000,EG51000
CR9226,CR9226
DB285649,DB285649
EH866775,EH866775
AE14506,AE14506
AK97846,AK97846
CW247148,CW1260625
BE367609,BE367609
DL180540,DL180540
AC11739,AL134540
EH641878,EL58969
CW599171,CW599171
BL415979,BL415979
DA36452,DA36452
EF3524,EF3524
DB259254,DB259254
EH1107194,EH1107194
DR89025,DR89025
EH62363,EH92268
BN27650,BN27650
EH843267,EH843267
CW855896,CW855896
CW142482,CW142482
EH864237,EH864237
BY532552,BY532552
CW254180,CW211575
BN412411,BN412411
DB242998,DB242998
DE87317,AZ19395
DC18333,DC18333
DR94354,DR94354
AZ8548,EH110713
DX53346,DX53346
BN537574,BN537574
BD137466,BD137466
EH1074535,EH1074535
BN524618,BN524618
CW853204,AN152959
CW517755,CW347111
CW908371,CW908371
BE431025,BE431025
CW947355,CW947355
CW904262,CW904262
AS81868,AS81868
EN72244,EN72244
AL169362,AL169362
EH556926,EH556926
AX53493,AX53493
DB244892,DB244892
AM83579,AM83579
CW83679,CW83679
BE326289,BE309136
DR50892,DR50892
DL232533,DL232533
CW98690,CW71363
AL109233,AL109233
DB237192,DB237192
CW138868,CW672046
EH688075,EH688075
CW824623,CW824623
BL283169,BL283169
CW564105,CW564105
CW680137,CW680137
EL19501,EL19501
DD149197,DD149197
DB141576,EA31079
CL54184,CL54184
BN493179,BN493179
CW613847,CW613847
EM101498,EM101498
AL157981,AL157981
EB14878,EB14878
EH480837,EH480837
BE159336,BE159336
BR127228,BR127228
CG71177,CG71177
EF6686,EF6686
AF23986,CN80083
CW125848,CW125848
EH670857,EH670857
EH757836,EH757836
EH826722,EH826722
BB98596,BB98596
EH614589,EH614589
BN85826,BN85826
EH957483,EH957483
DT140487,DT140487
BZ50438,BZ50438
DT132527,DT132527
BE338154,BE338154
CW500809,CW339066
BE403321,BE403321
BH147787,BH147787
EH671269,EH671269
CW122110,CW54931
EH770566,EH770566
EN25836,EA13468
AC7961,AC7961
AX41776,AX41776
AL315289,AL315289
BY714645,BY714645
EH773803,EH773803
BN388920,BN388920
CK12596,CK12596
EH863562,EH731867
CN97014,CN97014
AN40864,AN40864
AW212216,AW212216
BL450963,BL450963
EM88867,EM88867
AN154371,AN154371
EH923210,EH923210
BE381483,BE381483
BN268455,BN268455
BN366675,BN121712
EP92296,EP92296
CW1127559,CW1127559
BN449562,BN449562
BY470387,BY470387
ED48033,ED48033
DB188586,DB188586
ER40003,DH54460
DA96203,DA96203
BN426052,BN426052
BZ44311,BZ44311
EH1031859,EH1031859
EH1126051,EH997946
EH1201025,EH1201025
DN83425,DN83425
BY677877,BY677877
EH395687,EH395687
CW1072015,CW1101312
DD178879,DD178879
EH214495,EH214495
AM77025,AM77025
BJ36273,BJ36273
DR17449,DR17449
BR159549,BR159549
AF5004,AF2122
CG96986,CA84620
CW1044410,CW1044410
AN14698,AN14698
CW231408,CW231408
AS63479,AS63479
BY233135,AX19364
AL27439,AL27439
CW847903,CW847903
EP60019,EP60019
EF29359,EF98466
AB2847,AB4248
CW378693,CW285437
CW1156618,CW1156618
BE53550,BE53550
BR162465,BR162465
EH825545,EH825545
BL519816,BL519816
CW42383,CW42383
CW809104,CW955472
BC27797,BC27797
AN41352,AN41352
CJ72265,CJ72265
DE291085,DE291085
AL13771,AL13771
EH813127,EH813127
CJ140553,CJ140553
CW1159872,CW1159872
BY391044,BY391044
CJ132175,CJ132175
EA31499,EA31499
BY669267,BY669267
BL493311,BL493311
CW66964,CW66964
ED37292,ED37292
CW23083,CW44197
EH828717,EH828717
DT144694,DT144694
DE301951,DE301951
DB263159,DB192773
CW1131245,CW835206
EH32311,EH32311
CW78484,CW78484
DD103882,DD103882
EH194945,EH194945
AX7283,AX7283
DL172970,DL172970
EH336859,EH365889
EA10545,EA10545
DD161442,DD124594
DL254096,DL254096
CW946697,CW996207
DB291053,DB291053
DD35153,AP17480
AM37972,CC28222
BN315027,BN315027
BW25266,BW25266
EH454156,CT33344
BM26061,BM26061
AT27370,AT27370
CL13398,CL20657
DD193377,DD193377
EH1080847,EH1080847
DB58236,DB58236
CW1149470,DL189911
EH687975,EH687975
BY542748,BY542748
BZ16025,BZ16025
BL493985,BL493985
CA70148,CS28775
AP22074,AP22074
CW543500,CW543500
DE289763,DE289763
DB37149,DB37149
DR86193,DR86193
AL142110,AL142110
DC18353,DC18353
AG30207,AG30207
CJ161288,CJ161288
EH821470,EH821470
CW705102,CW705102
CS14102,DN41692
BY456407,BY453591
CP35665,CP35665
CK2494,BY428513
BL350936,BL350936
CW845719,CW664745
DD191153,BH97531
DJ11514,DJ11514
BN410856,BN410856
BZ63610,BZ63610
BR20471,BR20471
CW46740,CW46740
EH958297,EH958297
DC6316,DC6316
BW57891,BW57891
DB254342,DB254342
EH827821,EH827821
CE57713,CE57713
CY29047,CY29047
EL50543,EL50543
CW171534,CW259357
CW910311,CW1092736
EH536298,EH536298
AL295535,AL295535
EH907959,EH907959
BH102187,BH102187
DZ47663,DZ47663
CW833117,CW833117
CG95107,CG95107
DZ55243,DZ55243
CW1315021,CW1041811
BT5608,BT5608
CW671511,CW338078
CW596989,CW617788
CW882313,CW882313
AL221926,AL221926
BN376886,BN376886
BY532055,BY528029
CW798727,CW798727
CW1164929,CW13665
DW75965,DW75965
BL78637,BL78637
DN163412,DN163412
DW45304,DW45304
EH911873,EH911873
CW707592,CW941451
EH496037,EH496037
BN450701,BN450701
EH1128010,EH1128010
DJ14337,DJ14337
EH960354,EH960354
CW522743,CW522743
AW147362,DB176137
CW1072194,CW1072194
BY457731,BY457731
CW848067,CW848067
AA171690,AA171690
AN4311,AN4311
CL53820,CL53820
CW606187,CW718971
BZ23157,BZ23157
CW735763,CW735763
AN158705,AN158705
EH907321,EH907321
CW504270,BN308262
DA111398,DA111398
DT47230,DT47230
DL243792,DL243792
DT141459,DT141459
AN199699,AN199699
AS73048,AS73048
CW809968,CW781404
DA98283,DA98283
BE281634,BE281634
DB257676,DB257676
CW723370,CW723370
CW1169231,CW946792
AA180507,AA180507
BY581477,BY626247
EH947862,EH947862
BE392889,BE392889
BZ6778,BZ6778
EH750175,CT39096
CW1325014,CW1325014
CW729220,CW790214
CW862478,CW862478
BW48370,BW48370
BY387987,BY387987
DX22042,DX23308
DE269221,DE269221
BK42930,BK42930
BN284577,BN284577
DT49188,DT49188
BN116330,BN116330
AL148640,AL148640
DB129756,DB129756
BL155897,BL155897
CW936880,CW936880
EL5284,EL5284
AG31722,CC68211
CH51564,CH51564
CW469220,CW907572
BL397839,BL397839
CW505223,CW505223
DP39573,DP39573
EH1167737,EH1167737
CW1070676,CW1070676
DR91735,DR58932
AA79054,BH65950
DE267590,DE267590
CW902307,CW902307
CW408607,CW408607
CW817593,BY549105
DD123170,DD123170
DD179359,DD179359
CH39937,CH39937
AL169976,AL169976
DR126227,DR50828
CW813360,CW813360
CM52189,BN311362
BY601335,BH147950
EL65764,EL65764
