globalID_A,globalID_B
AS62796,AS62796
CW1055619,CW420485
CW520319,CW291805
CW597970,CW445483
DR96172,DR96172
BP53557,BP53557
BR107935,BR107935
CW876308,CW876308
CW363789,CW398817
CW896146,CW859559
EH1154213,EH1154213
CW462628,CW459977
CH36563,AL173589
EH331060,BL165307
CW757729,CW431609
CW421656,CW469464
CE55285,CE55285
DP3250,DP3250
BC66583,BC66583
AL50791,AL50791
CW155476,CW155476
CW457722,CW457722
EH940689,EH285464
DR68908,DR68908
DB149771,DB169978
CC101148,CC101148
AG51425,BN497178
CW99478,CW99478
BR8783,BR8783
CW27845,CW10655
EH1074354,EH1074354
CW1176107,CW1176107
AL119535,AL87291
CW1138102,CW309286
CW211200,CW572613
CW1258811,CW467725
DD145581,DX40893
CG75460,CL41408
CG35865,CC75864
EH694232,EL21583
CW1331169,CW1301526
EH637971,EH637971
DL129280,DS68139
CB32958,CB33199
DL242027,DL242027
BW45817,BW45817
AN60523,BY555317
AL249025,AL249025
BE211797,DR93000
EL23028,CB52532
BW36965,CG128534
CL38142,BY682517
BR37764,BR58804
BE378062,BE378062
BB95698,BB95698
AA144118,BN24300
CW425693,CW231806
EH57349,EH166062
CN56251,AK66739
CW958322,CW501481
CW38730,CW175451
BL50812,BL139485
EH225065,EH225065
EH481271,EH438758
BR192583,BR140083
BJ35687,BJ35687
DT134409,DT134409
AE16597,CN45217
CW1252681,CW581381
BN336585,BY390879
BN265698,BN205495
EH171189,EH171189
BY557433,BY557433
BR45261,BR45261
AL313558,BL32007
BB55638,BB72493
AA108035,EF100296
EH681219,EH681219
EH638865,EH638865
DE48730,DE51356
CW475722,CW1182829
DN94629,DN94629
BK10331,CW184004
EP45233,EP102555
DN61565,BB59852
EH62497,CJ27858
CW733706,CW766653
BJ16436,EH302343
EH321861,EH423288
BN451653,BN451653
CW806278,CW699893
AS67129,BY3943
CW866145,CW339630
BE23422,BE132075
CW513825,CW181271
BE342264,CJ144702
AL261288,CW925849
CW575864,EH576962
CW845894,CW845894
BN147276,BY268324
DN94774,DN94774
BY30760,CG76528
CW92175,CW59498
CW514885,AK78826
BN157081,BN15521
BL407395,BL407395
DB9462,DB9462
ER17295,CP4198
DB124955,BH184479
AL246516,AL246516
EM11064,EM89043
BE45738,BE453043
CW343889,CW812867
CW976327,CW976327
CW72702,CW72702
AM28417,AM8605
BR164452,BR178639
CJ135591,CJ135591
CA66987,BR51277
BL96360,BL90942
BW16521,BL198135
CW493970,CW611190
CZ37587,CW309286
EF26246,EF26246
DA73458,DL180915
DB198915,DB284432
BH184408,BH184408
BL142648,BL164487
BE30483,BE30474
EH132911,EH110713
CA30275,EL13836
AA60261,DS34119
CG174441,CG160700
BN74650,BN74638
EM31517,EM17616
EG51000,EG51000
DZ78160,DE288714
AW157174,EH535595
DB189321,DB165183
EH1076508,EH1076508
BL236897,EP30641
DN48937,DN25855
BH3865,BH5742
EH768829,EH768829
BK45997,BK45997
AG24128,EH473435
CW247148,CW1260625
BN462678,BN171018
DL194974,DL194974
DX45629,AR5782
DP8259,DL134548
CW949093,CW949093
DL202138,DT114697
AJ37696,DB101583
DD65015,BL182975
EH339444,EH282923
EH1243288,EF36177
BE72140,BE88616
AM22671,AW157854
BE141443,CA104088
CW27449,CW71748
CW661780,CW867793
BN418977,BN418977
EH897325,EH897325
AL111317,AL111317
AN66456,AN66456
CH36030,CH36030
AA59653,AA103068
BH119063,BH119063
BN329253,AA195042
DE98703,DE178122
AL112691,EF100296
CW142482,CW142482
CM22138,DZ52813
CN88818,CN88818
EH260245,DK17994
EH818487,EP99286
EH864237,EH864237
CP32521,AP56129
CW254180,CW211575
CW96492,CW71686
BE68604,BE68604
AD17849,AN98814
BN421649,BN443645
BN412411,BN412411
CW39281,CW48968
AL50677,AL50677
BR221741,CA94632
BM69394,DA110731
CW619648,CW793258
DR94354,DR94354
EJ3049,EJ3049
AL59263,AL106772
AZ8548,EH110713
DN111991,DN111991
CJ35795,EF100296
EH840564,EH1110202
EH484217,AL244492
EH247088,EH181659
CW1142211,CW546049
CW801005,CW1091768
EN36969,EN36969
BL102313,BL87630
CW733706,CW1097021
BL509977,BL509977
CW661767,CW1332591
CW171467,CW126284
CW517755,CW347111
BB113130,BY532055
CW128684,CW63905
DE308708,DE320243
EN74533,EH769815
EH432428,EH533862
BS10103,BL168138
AA164934,EH1027144
CJ149747,CJ149747
CW668832,CW462215
AS83961,AS83961
DL129280,CZ33909
CW528476,CW908787
CG73177,CG73177
DL232533,DL232533
CW887565,CW1220151
AL109233,AL109233
CW138868,CW672046
CG13040,CG13041
BY53046,BY460011
DD65015,CW1221407
EH478083,BB80368
AY24236,EG28759
CW1131562,CW432710
CW464435,CW552002
AW19424,AW95751
CW96227,CW175636
DD149197,DD149197
CW423765,CW526034
DE292031,DE292031
BL447257,BL447257
BP3416,DF2764
CN42600,BM44636
CW206920,CW397343
DK19150,CW1080464
EH480837,EH480837
EH189952,EH245924
BY341421,BY252390
CW537925,CW1372055
CP38367,DD202895
EH1059338,EH112724
EH570904,BL218077
CW805787,CW805787
EH310433,EH237841
AL150685,EH566103
AA154332,AA154332
CL48787,CB61784
EH172292,EH1159839
BN496032,BN476277
CA121848,CW476427
EH957431,EH409522
BS7867,DN41692
BL381779,AA132878
CW1048554,CW417234
BM23449,CZ81443
EH957483,EH957483
CW646827,CW916755
BE240268,BE453043
DT142452,DT142452
BY415790,DT108942
CW379796,CW267006
CW500809,CW339066
CH53126,CH53126
CW56209,CW119932
AM14280,AM77048
EH957431,DE187017
CW122110,CW54931
CW140341,CW1090500
EN25836,EA13468
DE322127,DE322127
CW1110012,CW430951
BY403749,BY453407
BY714645,BY714645
EP23069,EP23069
DR55603,DR83488
AS96646,AS96646
AN40864,AN40864
EH996292,EH321357
CW491034,CW699893
DE265324,CA50488
AM27154,AM27154
EA56406,CT51778
DE186891,DE201045
AM87508,CB31258
BY588273,BY533528
CW820495,CW820495
DT104884,EF95445
AA189574,CC54185
BN366675,BN121712
BE286190,BE304692
CW211200,CW358253
CW50802,EA55379
CW603343,CW604640
CW347558,CW318872
CW272535,CW584856
AH18733,CK11129
EH236514,EH164748
CW961375,CW806092
DB228152,DB300760
CW67410,CW923189
BN334881,BN341904
