globalID_A,globalID_B
CW238823,CW927459
DD86797,DD86797
EH385104,EH255330
DP25377,DP25377
BR42978,BR55883
AM57296,AM57296
CW511026,CW511026
EH787576,EH787576
DJ8635,DJ8635
DE255551,DE195605
CW404546,CW404546
DB169186,DB169186
BY308298,BY347278
CT31825,CT31825
CW805055,CW922573
DP10310,DP10310
BY326471,EH338282
DR73681,DR73681
DA68799,DA68799
DL106244,DL106244
EH539344,EH539344
DE141068,BL237547
EF117840,EF117840
BY246442,BY246442
CW456289,CW456289
DL214155,DL88398
AS45704,AS45704
BN289908,BY474240
CE39048,CE39048
BL368478,BL368478
BY414520,BY414520
AK74639,AK74639
CW279038,CW246869
EJ14501,EJ14501
BN223950,BN185086
DH4448,DH4448
AG51525,AG51525
ES15089,ES15089
EH177451,EH406099
CG82837,CG82837
CW849942,CW318130
CW84307,CW183012
BE39265,BE433883
BL360265,BL360265
DE190374,DR63135
DL164902,DL164902
DP41364,DP41364
AN124301,AN124301
DG22941,DG27363
CS16659,EH293203
EH380532,EH380532
CW640260,CW640260
AA74808,AA74808
DE130417,BL259687
EH412551,EH404736
EH643576,DB288857
CW296476,CW265926
EH518665,EH517319
CC58977,CC87300
CW354492,CW354492
BR109332,BR109332
BL177805,BL190717
AA135209,AA135209
AN121781,AN121781
DK34694,DK34694
CW515647,CW324589
CW330807,CW387787
BE32632,BE222168
BY503068,BY503068
CZ43980,CZ43980
BY425857,BY267315
CL31571,CL31571
BY404739,DN89213
CG43923,CG43923
BL300067,BL300067
CC58977,EG19785
BL311230,BL311230
BE144544,BE144544
AA104169,BN315935
CL20650,CL20650
AJ33568,AJ33568
BY335300,BY346477
EJ12559,AG20383
DL83297,DL83297
EL40288,EL40288
CW263666,CW518625
EH656202,EH656202
AN90639,AN90639
BY443661,BY329851
DE207366,DE207366
BH136490,BN229222
BY397920,BY397920
DL116841,DL116841
DD83466,DD83466
EH614899,EH461670
CW387787,CW330807
EH251035,BB62259
BY98565,BY98565
DL187092,DL164972
EH292492,EH292492
EF118685,EF118685
CW318248,CW675295
DR76533,DR76533
CM33745,BE77699
BB44966,EH695612
BL238376,BL238376
EH787658,EH787658
CG102338,CG102338
EH422629,EH414231
EJ25707,EJ25707
BM58573,BM58573
DB234976,DB234976
CW410426,CW410426
DE91622,DE91622
CC51209,CC51209
EH395375,EH398572
DZ26064,DZ26064
AL140778,AL140778
EH617805,EH283148
DB204847,DB204847
DN109650,BH65179
AW102232,AW102232
CW163159,CW204740
CW188189,CW340513
CW670460,CW670460
EF52768,EF52768
AL159083,AL159083
EH308543,EH393895
BJ24126,CC63127
AL108867,AL108867
EF106268,AL223727
EH863013,EH863013
CW451103,CW352353
BG20523,BG20523
DZ47203,DZ47203
BB62202,BB62202
EH754253,EH754253
CW543704,CW543704
BC42734,BC42734
CW373754,CW461431
CW273225,CW427176
EH659972,EH659972
CW257862,CW257862
DR16863,DR16863
EH521175,DB59601
AN79555,AN128949
BY243289,BY558005
CW535441,CW366424
DT54818,DT54818
CW289346,CW289346
EH463331,EH463331
BG41246,BG41246
DE106809,ER30679
DL135336,CC90770
DK14820,CA23715
BH86420,BH86420
BL336632,BL336632
BE172454,BE130452
DE119361,DE115905
BN381145,BN381145
EG25998,EG25998
CE12242,EH1032488
EH485169,EH485169
CA46746,CA46746
CN50085,DB197356
CJ127640,CJ127640
BE20665,DZ38011
BL365840,BL365840
DL99316,DL99316
DL100708,DL87708
CJ21983,DB91865
CZ85510,CZ85510
BM48705,BM48705
DL92451,BL171630
BN342701,BN342701
DE192953,DE192953
CW463303,CW288020
EH872850,EH872850
DL164263,BY69983
EF153177,EF153177
DL164521,AN58164
EH267235,EH279698
EH616876,DL152874
EH110577,EH360558
EM10913,BN303475
AL72001,EP29500
CW657136,CW657136
EH340019,EH340019
AL124208,AL124208
EH487161,EH487161
BB32535,BB32535
BD64478,BD64478
EH419249,EH419249
CW150776,CW150776
DR100883,CJ35247
