globalID_A,globalID_B
EH128309,BL99868
DX46717,DX46717
EB26329,EB26329
DB229057,DB229057
DT55601,DT55601
EH320274,EH320274
CW511026,CW511026
DN90966,DN90966
EB40396,DE63098
BE8408,BE8408
DC17705,DC17705
CW24255,CW24255
CS12357,CS12357
EH740885,EH740885
CT31825,CT31825
EL33580,EL33580
BH73590,BH73590
AA157376,AA157376
AW40064,AP59444
EF12695,EF12695
AY17504,AY17504
AL32881,AL32881
CW786571,CW786571
BE229810,BE229810
AY20329,AY20329
EH623023,EH623023
BN291114,BN291114
BY246442,BY246442
EH564899,EH564899
EH139452,EH139452
DB74948,DB74948
BL368478,BL368478
CJ22271,CJ22271
BY96016,BY26322
DB197914,DB197914
DN104898,DN104898
CZ66885,CZ66885
DB227894,DB227894
AP58651,AP58651
EH782569,EH782569
EH781419,EH781419
BH21360,BH21360
BR15602,BR15602
EH345124,EH345124
CC66861,CC66861
DR97748,DR97748
AM31616,AM31616
DR36214,DR36214
EH758272,EH758272
BL389588,BL389588
EM69322,EM69322
BL38544,BL38544
EH70062,EH70062
AL91144,AL91144
AX36782,AX36782
BH80250,BH80250
CZ75654,CZ75654
EH449446,EH449446
CN58037,CN58037
DL213448,DL213448
AF23823,AF23823
DR45909,DR45909
CW354492,CW354492
BY246913,BY288770
BY346024,BY346024
BN121196,BN121196
BL38440,BL38440
BL363520,BL363520
BD108563,BD108563
EH219712,EH219712
CJ139229,CJ139229
BN349449,BN349449
EH729202,EH729202
DD123962,DD123962
BP51370,BP51370
EH776358,EH776358
EN55175,EN55175
AM39561,AM39561
DL59155,DL59155
AN158303,AN158303
EH123320,EH123320
DL88644,DL88644
EM43765,EM43765
BE321014,BE321014
DB191816,DB191816
AT24487,AT24487
BE144544,BE144544
CW62973,CW62973
DB31583,DB31583
CW884710,CW884710
CM4168,CM4168
EL40288,EL40288
DE218998,DE218998
EH279684,EH279684
AL199510,AL199510
BL285849,BL285849
EJ15647,EJ15647
CW237276,CW237276
AX55998,AX55998
DD51434,DD51434
DR94996,DR94996
CC95200,CC95200
CB58012,CB58012
CL40838,CL40838
BR75267,BR75267
EH292492,EH292492
AK105492,AK105492
EF143277,EF143277
EH152866,EH152866
BW45119,BW45119
DR76533,DR76533
DL174194,EH589061
BE273073,BE273073
EH363731,EH363731
BL368125,BL368125
AN77403,AN77403
CG132474,CZ78310
CW674467,CW674467
CG102338,CG102338
DX48273,DX48273
DN109237,DN109237
EH757518,EH757518
BL267975,BL267975
BP43966,BP43966
DE174719,DE174719
AG40740,AG40740
EH66853,EH66853
BM58573,BM58573
CW20681,CW20681
BL40265,BL40265
EG45558,EG45558
EH460595,EH460595
DN38691,CP19506
AX14358,AX14358
AA96544,AA96544
DE86050,DE86050
AW102232,AW102232
AW181559,AW181559
CB56576,CB56576
BL156586,BL156586
EF52768,EF52768
AL159083,AL159083
BY469463,BY469463
EH855513,EH855513
BY525282,BY525282
DE249033,DE249033
BC28952,BC28952
CG43844,CG43844
AL214589,AL214589
AL11180,AL11180
EH124194,EH124194
BR109729,BR109729
DE9520,DE9520
AL2641,AL2641
BC56298,BC56298
BL196361,BL196361
AW55966,AW55966
AL102761,AL102761
BL54008,BL54008
EA42165,EA42165
AA130629,AA130629
DE181659,DE181659
BW9015,BW9015
BG37800,BG37800
EF5622,EF5622
EH730516,EH730516
DT71294,DT71294
DA21679,DA21679
CW679549,CW679549
AA109660,AA109660
CZ6347,CZ6347
BL292545,BL292545
BH96550,BH96550
CM61727,CM61727
DT54818,DT54818
DH49646,DH49646
EH5948,EH5948
