globalID_A,globalID_B
BL123955,BL123955
DX46717,DX46717
EG3656,EG3656
EH18941,EH18941
CW866950,CW866950
AL61044,AL61044
AN112200,AN112200
BF9247,BF9247
BE8408,BE8408
AB7357,AB7357
DH17455,DH17455
EH214722,EH214722
BH8511,BH8511
DL129341,DL129341
DE200607,DE200607
EH342990,EH342990
CC103903,CC103903
EP2365,EP2365
BN65995,BN65995
BE229810,BE229810
AY20329,AY20329
EH405746,EH405746
EH775272,EH775272
BE226064,BE226064
BN302662,BN302662
BB13222,BB13222
CJ140452,CJ140452
BR98875,BR98875
DB74948,DB74948
BJ35513,BJ35513
EH125088,EH125088
EN26672,EN26672
BM6576,BM6576
BL205737,BL205737
BH100531,BH100531
CW840631,CW840631
AA164620,AA164620
CW840431,CW840431
AN145665,AN145665
AL190892,AL190892
EH754157,EH754157
CC11514,CC11514
DB113413,DB113413
DS101987,DS101987
BY467571,BY467571
CW772457,CW772457
BL300691,BL300691
BM19284,BM19284
CW320188,CW320188
CE41249,CE41249
EH781419,EH781419
DR97748,DR97748
EM69322,EM69322
CW150365,CW150365
AW170626,AW170626
BN313003,BN313003
EH32435,EH32435
BN221214,BN221214
AX4297,AX4297
BL285347,BL285347
EH175582,EH175582
DZ33731,DZ33731
CB22439,CB22439
BL161634,BL161634
EH729505,EH729505
AS77193,AS77193
CJ17756,CJ17756
EH874110,EH874110
CW330807,CW330807
EN55175,EN55175
EP82715,EP82715
AM39561,AM39561
EH656498,EH656498
BY46172,BY46172
DB226627,DB226627
CW292798,CW292798
BW7750,BW7750
AA100847,AA100847
AM31930,AM31930
CW62973,CW62973
EH258005,EH258005
DE233272,DE233272
BN352342,BN352342
EH76307,EH76307
BB43938,BB43938
BA14791,BA14791
DR35284,DR35284
AW177939,AW177939
BY396143,BY396143
EH96542,EH96542
AW64501,AW64501
BL88343,BL88343
EH90254,EH90254
EF143277,EF143277
DB177718,DB177718
BY470748,BY470748
DP29897,DP29897
EH363731,EH363731
DB156306,DB156306
BL39116,BL39116
AN7488,AN7488
EH205043,EH205043
CM17941,CM17941
BP43966,BP43966
EH143352,EH143352
EF41789,EF41789
EG38709,EG38709
BL83594,BL83594
EH460595,EH460595
BN64557,BN64557
AP70439,AP70439
AN146341,AN146341
DT120761,DT120761
AY28630,AY28630
DG44839,DG44839
DZ61646,DZ61646
EH667590,EH667590
EF128646,EF128646
AL159083,AL159083
BN405743,BN405743
EH874982,EH874982
DB11628,DB11628
AD26825,AD26825
BN368809,BN368809
BZ31407,BZ31407
BL346502,BL346502
EH124194,EH124194
CC115504,CC115504
DG32558,DG32558
DJ6373,DJ6373
BZ10730,BZ10730
EH367137,EH367137
EH28214,EH28214
CH37843,CH37843
BE188822,BE188822
BY397903,BY397903
CB54525,CB54525
EA42165,EA42165
DE263682,DE263682
CR19204,CR19204
CW483357,CW483357
AY4388,AY4388
AY13262,AY13262
EH39233,EH39233
ES19422,ES19422
BY475667,BY475667
EH133404,EH133404
EH45110,EH45110
AK53343,AK53343
BL17427,BL17427
BR157685,BR157685
BH96550,BH96550
EH861221,EH861221
BR92093,BR92093
CM16566,CM16566
DH49646,DH49646
BD108243,BD108243
EF106216,EF106216
BN41535,BN41535
BE317309,BE317309
CB51258,CB51258
CC99520,CC99520
BY522251,BY522251
BE27593,BE27593
AS25933,AS25933
AW77961,AW77961
CW174497,CW174497
CT46144,CT46144
DJ3093,DJ3093
EB64596,EB64596
BE311411,BE311411
EH189473,EH189473
EF50515,EF50515
BE196820,BE196820
BL357431,BL357431
BY558632,BY558632
BZ16980,BZ16980
DA99482,DA99482
EH323276,EH323276
DT128498,DT128498
DD93414,DD93414
DK35678,DK35678
DT54615,DT54615
BM11991,BM11991
DB228655,DB228655
EH416562,EH416562
BE106974,BE106974
EH466289,EH466289
CW602093,CW602093
BH3355,BH3355
DL128015,DL128015
EH471748,EH471748
BH77862,BH77862
AL91901,AL91901
BE305323,BE305323
BG40533,BG40533
CW691775,CW691775
BD102829,BD102829
BY48114,BY48114
DE101610,DE101610
BN409488,BN409488
CW793715,CW793715
AW169286,AW169286
CW498191,CW498191
DY13191,DY13191
CM28731,CM28731
AN63996,AN63996
CC104273,CC104273
DL195859,DL195859
DJ2926,DJ2926
CW505128,CW505128
BZ34897,BZ34897
AN64944,AN64944
EM40060,EM40060
EH731440,EH731440
CM51820,CM51820
BR174306,BR174306
EK18217,EK18217
EH321367,EH321367
AN57622,AN57622
EA16898,EA16898
BN117768,BN117768
EH65247,EH65247
EF86721,EF86721
BE277148,BE277148
EN44730,EN44730
EH50486,EH50486
EF36996,EF36996
BL333304,BL333304
CW244324,CW244324
DT74145,DT74145
CR25256,CR25256
AN148542,AN148542
EF163042,EF163042
DS76905,DS76905
DP17655,DP17655
DG2369,DG2369
CR6119,CR6119
BH132299,BH132299
CN11370,CN11370
DE212480,DE212480
EM12586,EM12586
BL122655,BL122655
