globalID_A,globalID_B
EH151184,EH151184
EH418231,EH418231
DD86797,DD86797
CC25806,CC25806
EH56486,EH56486
BR42978,BR55883
CW511026,CW511026
EP78771,EP78771
DJ8635,DJ8635
CW404546,CW404546
DB169186,DB169186
AZ16116,AZ16116
DB228447,DB228447
BE29628,BE29628
CT31825,CT31825
AS77989,AS77989
EF50524,EF50524
BR45765,BR45765
AY17504,AY17504
DX17288,DX17288
BY246442,BY246442
DT2452,DT2452
BY47271,BY47575
BR168122,BR168122
BY521180,BY521180
BL368478,BL368478
BY414520,BY414520
DB194971,DB194971
DK28956,BL533995
EH594812,EH594812
CP37311,CP37311
DH4448,DH4448
CG132906,CG132906
ES15089,ES15089
AG51525,AG51525
BN27520,BN45149
BN356600,BN356600
EH434636,EH434636
EH365498,EH365498
CG82837,CG82837
CW188641,CW188641
DB227894,DB227894
AP58651,AP58651
DP41364,DP41364
AN124301,AN124301
BE247932,BE247932
BE183863,BE183863
BW51353,BW51353
BZ49649,BZ49649
EH380532,EH380532
AL224155,AL224155
BL92893,BL92893
EP82845,EP82845
AA166290,AA166290
AF23823,AF23823
BY551305,BY551305
EG24586,EG24586
BH17555,BH17555
BL215160,EH201471
BN121196,BN121196
AN121781,AN121781
DK34694,DK34694
CZ79263,CZ79263
BY515286,BY515286
EH729202,EH729202
BE32632,BE222168
DH51748,DH51748
DZ39465,DZ39465
BY503068,BY503068
DL209293,DL209293
CM55903,CM55903
BY327127,BY327127
CZ43980,CZ43980
BY560111,BY560111
DL59155,DL59155
BN37138,BN37138
EP77790,EP77790
CW331414,CW389039
CG43923,CG43923
BL300067,BL300067
BN72734,BN72734
DW5539,DW5539
EH170073,EH262897
BL311230,BL311230
BE144544,BE144544
AA104169,BN315935
CL20650,CL20650
AJ33568,AJ33568
DR22879,DR22879
CR18910,CR18910
EL40288,EL40288
DL83297,DL83297
CB5668,CB5668
BN70274,BN70017
AN90639,AN90639
CZ14969,CZ14969
EH203578,EH203578
BH24423,BH24423
BN47702,BN47702
DL116841,DL116841
CB58012,CB58012
CL40838,CL40838
BF25021,BF25021
EH292492,EH292492
EF118685,EF118685
AP76261,AP76261
EF143277,EF143277
EG43869,EG43869
BG5318,BG5318
BY320876,BY320876
DR76533,DR76533
BD20346,BD20346
BL368125,BL368125
EH787658,EH787658
AK90987,AK90987
BL338442,BL338442
CG85067,CG85067
EH14990,EH14990
BL267975,BL267975
EH230660,EH230660
DG7559,DG7559
BZ34320,BZ34320
BM58573,BM58573
BK33455,BK33455
CC107467,CC107467
AL198072,AL198072
AX14358,AX14358
CC81948,CC81948
CC51209,CC51209
DZ26064,DZ26064
AL140778,AL140778
DB204847,DB204847
DE86050,DE86050
EM3445,EM3445
CW163159,CW204740
CB56576,CB56576
AL159083,AL159083
EF52768,EF52768
AK8150,AK8150
AW40284,AW40284
EH863013,EH863013
AL98446,AL98446
BG20523,BG20523
CM57403,CM57403
CG43844,CG43844
DR81870,DR81870
DC7410,DC7410
DN36257,DN36257
CJ97072,BL99201
AL70302,AL244116
DZ47203,DZ47203
BY72050,BY72050
ER4034,ER4034
BN27507,BN63958
CM15628,CM15628
EF66397,EF66397
EG2920,EG2920
EH754253,EH754253
BN336661,BN336661
BP22538,BP22538
CW543704,CW543704
BC42734,BC42734
CW788042,CW788042
AK11746,AK11746
DE181659,DE181659
EH659972,EH659972
DT33606,DT33606
CW257862,CW257862
BY560392,BY560392
CJ7843,CJ7843
DT54818,DT54818
CW289346,CW289346
CC48326,CC48326
EH235225,EH235225
CP30242,CP30242
BG41246,BG41246
DH49646,DH49646
BL336632,BL336632
EP78840,EP78840
EH112343,EH112343
CP33037,CP33037
DR111203,DR111203
BY32010,BY32010
CG55639,CG55639
CB8926,CB8926
BN146692,BN146692
BN381145,BN381145
EG25998,EG25998
CJ127640,CJ127640
CA46746,CA46746
BL365840,BL365840
BH147016,BH147016
AX2754,AX2754
BN36439,BN36439
CW56129,CW56129
CN76446,CN76446
CW732290,CW732290
CT46144,CT46144
AN61738,AN61738
BN342701,BN342701
CW37878,CW16170
DE192953,DE192953
DT70749,DT70749
EH872850,EH872850
EH72459,EH72459
DY32401,DY32401
EF153177,EF153177
BN282033,BN282033
BD16570,BD16570
CW884726,CW884726
BG3063,BG3063
EM10913,BN303475
CG6740,CG6740
EH340019,EH340019
CW657136,CW657136
BY145185,BY145185
EH487161,EH487161
BD64478,BD64478
EH852982,EH852982
CW150776,CW150776
BN395280,BN395280
EH444047,EH444047
DL174862,DL174862
DX5625,DX5625
DR46023,DR46023
BF11945,BF11945
DR78211,DR78211
EH136282,EH136282
CW751764,CW751764
CW902135,CW902135
BY511962,BY511962
EH877335,EH877335
BR14921,BR49417
BY132940,BY398074
EM5909,EM5909
DJ4365,DJ4365
DN71932,DN71932
DZ31059,DZ31059
AL17322,AL17322
EH181299,EH181299
BY222553,BY222553
DB84985,DB166078
CK5351,CK5351
AA157690,AA157690
DT136429,DT136429
DT134602,DT134602
DS50845,DS50845
DE209131,DE209131
AE7716,CM42542
DD14446,DD14446
CP32369,CP32369
EH141882,EH141882
EF9299,EF9299
DB206590,DB206590
CL35737,CL35737
CN44604,CN44604
AK11198,AK11198
AW179535,AW179535
CD3736,CD3736
CG118392,CG118392
DE212480,DE212480
AW121721,AW91519
EH161122,EH161122
CM23861,CM23861
BH87716,BH87716
BY162695,BY162695
BN413234,BN413234
BN217230,BN217230
EN38711,EN38711
AK26715,AK26715
CG74876,CG74876
BR36073,BR36073
DC6367,DC6367
CW241729,CW241729
EF160972,EF160972
AN79555,AN79555
CG94422,CG94422
BY553504,BY553504
DL189379,DL189379
BE169999,BE169999
BL92871,BL92871
DD32860,DD32860
CC50232,CC50232
AG47212,AG47212
BZ4278,BZ4278
BR166916,BR166916
EM18376,EM18376
AK68043,AK68043
DN104474,DN104474
DH44982,DH44982
CM29777,CM29777
DB216884,DB216884
EH47599,EH47599
AK84814,AK84814
EH605267,EH605267
AW130844,AW130844
EH716572,EH716572
BD85526,BD85526
DR97898,DR97898
BY318943,BY318943
EH356659,EH356659
AW45783,AW45783
CC89044,CC89044
BN35463,BN35463
BN42704,BN42704
DN120335,DN120335
CW457556,CW457556
BL282325,BL282325
DB14585,DB14585
AG31669,AG31669
EH799069,EH799069
AL122341,AL122341
CA50424,CA50424
CW798631,CW798631
AL109525,AL109525
EH240780,EH240780
DB157995,DB157995
AN38356,AN38356
CB53414,CB53414
DL193686,DL193686
AW36002,AW36002
BE248379,BE248379
ES12642,ES12642
BY248340,BY248340
DR90147,DR90147
CG7342,CG7342
CN70943,CN70943
BY100804,BY100804
DW15388,DW15388
BL31024,BL31024
EF83425,EF83425
AX42825,AX42825
BC44650,BC44650
CW830121,CW830121
BE228993,BE107900
AL129377,AL129377
AX57529,AX57529
CA56879,CA56879
CJ62264,CJ62264
BL213683,BL213683
AM38113,AM38113
BL345541,BL345541
EH211477,EH211477
DB183504,DB183504
EH177250,EH177250
EH188664,EH188664
BN41457,BN41457
BZ9573,BZ9573
EF6978,EF6978
DT91428,DT91428
AG13163,AG13163
CN29729,CN29729
EH273744,EH273744
ES9222,ES9222
BR144986,BR144986
BE241491,BE241491
BN334110,BN334110
AK25107,AK25107
CJ140452,CJ140452
BR156014,BR156014
DL118907,DL118907
EH643060,EH643060
BR45934,BR45934
BD110978,BD110978
DB182420,DB182420
DB194687,DB194687
EG50577,EG50577
AL28329,AL28329
DB65621,DB65621
BL163216,BL163216
AK98013,AK98013
EF114370,EF114370
DR58034,DR58034
BG18988,BG18988
CS28303,CS28303
EM91108,EM91108
DL83668,DL83668
DE263521,DE263521
BY529899,BN419407
DS101987,DS101987
AL130996,AL130996
EM36513,EM36513
BN27520,BN68631
BE201494,BE201494
CP14530,CP14530
BE326252,BE326252
EP3443,EP3443
BK15570,BK15570
AN38634,AN219443
AW152165,AW152165
AM19800,AM19800
AW162497,AW162497
CW847537,CW847537
EH246613,EH246613
EG17482,EG17482
CC63716,CC63716
BD116835,BD116835
EP67826,EP67826
EP19314,EP19314
DR58965,DR58965
AL29975,AL29975
BN269402,CC18442
EF18529,EF18529
BC51873,BC51873
CM48747,CM48747
EH554470,EH554470
CH10039,CH10039
ED45159,ED45159
EH729505,EH729505
EH763820,EH763820
EH767260,EH767260
EH851699,EH851699
BN384479,BN384479
AX32380,AX32380
DB233480,DB233480
DC6866,DC6866
DR9484,DR9484
BY436875,BY436875
EH74299,EH74299
BZ28167,BZ28167
BL322965,BL322965
EH596802,EH596802
CD21724,CD21724
BD28205,BD28205
BB57319,BB57319
BY268691,BY268691
BL111528,BL111528
DR109377,DR109377
EH566872,EH566872
AM20394,AM20394
CW757360,CW757360
DR14997,DR14997
CW292798,CW292798
DB207069,DB207069
EH390136,EH390136
DD29741,DD29741
DR79170,DR79170
CW477477,CW477477
EH846834,EH846834
BG42398,BG42398
EH263622,EH263622
AN136076,AN136076
EL33678,AN78644
AL195849,AL195849
DS13562,DS13562
AL11180,AL51325
EH128906,EH128906
EH106326,EH106326
DN66117,DN66117
DE162922,DE162922
BL37460,BL37460
BY494466,BY494466
BH100159,CP26822
DE11747,DE11747
BN11668,BN31073
DP22550,DP22550
EF88878,EF88878
DH50088,DH50088
DB188900,DB188329
BL190137,BL190137
BL359888,BL359888
BN388671,BN388671
BK5127,BK5127
AN58414,AN58414
DR17977,DR17977
BN122169,BN122169
CM19862,CM19862
CW898011,CW898011
ES9533,ES9533
AN141865,AN141865
CP14553,CP14553
DW38568,DW38568
EF133658,EF133658
BY406832,BY406832
EH841431,EH841431
CH39979,CH39979
BN393834,BN393834
AK104387,AK104387
BE267686,BE267686
AP70439,AP70439
DW61362,DW61362
DA64717,DA64717
BW23286,BW23286
AS68327,AS68327
DW42013,DW42013
AJ10600,AJ10600
BJ36305,BJ36305
DL34983,DL34983
BN96390,BN96390
BN367302,BN367302
EF143185,EF143185
AE26235,AE26235
ES4767,ES4767
EH74666,EH74666
BR135346,BR135346
BY125544,BY125544
DR42479,DR42479
DB218989,DB218989
DZ28146,DZ28146
CM49534,CG136728
EM71385,EM71385
EK5823,EK5823
AA155835,AA155835
AG49228,AG49228
AM63738,AM63738
DY19054,DY19054
DS16919,CW607482
BN257375,BN257375
BX17910,BX17910
EH149822,EH149822
BE5610,BE5610
AP11778,AP11778
BL360446,BL360446
BL328546,BL334258
AA14837,AA14837
CW266830,CW266830
AA146634,AA146634
DG48558,DG48558
DX50199,DX50199
BK36529,BK36529
EH644182,EH644182
BN24779,BN24779
DD91639,DD91639
EH39233,EH39233
DD46645,DD46645
BL291058,BL291058
DT61465,DT61465
EH492982,EH492982
CW777954,CW777954
BE181467,BE181467
EH692808,EH692808
BY89341,BY89341
AN103422,AN103422
EH456989,EH456989
BJ33458,BJ33458
AW164246,AW164246
CW554526,CW554526
DL216113,DL216113
DB153361,DB153361
DK22022,DK22022
CG16379,CG16379
EH644090,EH595075
CS15465,CS15465
BY503475,BY503475
BR135116,BR135116
BY567101,BY567101
DS77765,DS77765
AN139806,AN139806
BE317309,BE317309
DL208570,DL208570
AL246500,AL246500
DE181406,DE181406
AA94962,AA94962
CW439843,CW439843
EF111327,EF111327
EH874352,EH874352
CN4466,CN4466
DJ7933,DJ7933
EL34275,EL34275
BY369754,BY369754
BX14549,BX14549
CN67839,CN67839
EH198412,EH198412
EF132651,EF132651
CN19225,CN19225
DD86166,DD86166
EG49847,EG49847
BL390173,BL390173
BZ13087,BZ13087
BN403504,BN403504
DY16874,AL98652
AS67392,AS67392
DB232390,DB232390
EA43153,EA43153
CJ22610,CJ22610
DP37790,DP37790
DZ5000,DZ5000
EF35779,EF35779
DJ7370,DJ7370
DL128015,DL128015
CW113140,CW113140
EH12968,EH12968
BN352105,BN352105
CA94384,CA94384
CW619749,CW619749
EH107105,EH107105
CJ25908,CJ25908
BY47373,BD35397
BD25132,BD25132
