globalID_A,globalID_B
DX46717,DX46717
DR65261,DR65261
DB229057,DB229057
BJ18488,BJ18488
DT55601,DT55601
EH320274,EH320274
BH37149,BH37149
CW511026,CW511026
BE8408,BE8408
DC17705,DC17705
CW24255,CW24255
CS12357,CS12357
CT31825,CT31825
BN119784,BN113346
BH73590,BH73590
AA157376,AA157376
EF12695,EF12695
AY17504,AY17504
CW786571,CW786571
AL32881,AL32881
BE229810,BE229810
AY20329,AY20329
EH623023,EH623023
CW617825,CW617825
BY246442,BY246442
CW530871,CW530871
EH139452,EH139452
DB74948,DB74948
DN94158,DN94158
BL368478,BL368478
CJ22271,CJ22271
EH832919,EH832919
DB197914,DB197914
CZ66885,CZ66885
BN107294,BN107294
CG25129,CG25129
DB227894,DB227894
AP58651,AP58651
EH781419,EH781419
BH21360,BH21360
BR15602,BR15602
CC66861,CC66861
DR97748,DR97748
AM31616,AM31616
EH758272,EH758272
BL389588,BL389588
DR36214,DR36214
BL38544,BL38544
EM69322,EM69322
EH118739,EH118739
BN372588,BN372588
EH70062,EH70062
AX36782,AX36782
BH80250,BH80250
EH467397,EH467397
EG6562,EG6562
CZ75654,CZ75654
CN58037,CN58037
BL92893,BL92893
BE30716,BE30716
AF23823,AF23823
EH401268,EH401268
AL33655,AL33655
BY246913,BY288770
EF33481,EF33481
CW147376,CW147376
BN121196,BN121196
BL38440,BL38440
BL363520,BL363520
EH219712,EH219712
BN349449,BN349449
EH729202,EH729202
DD123962,DD123962
EN55175,EN55175
AM39561,AM39561
DL59155,DL59155
AN158303,AN158303
EH123320,EH123320
EM43765,EM43765
CW62973,CW62973
BE144544,BE144544
DB31583,DB31583
AJ33568,AJ33568
CW884710,CW884710
EL40288,EL40288
AL104740,AX14360
DE218998,DE218998
CM4168,CM4168
EH279684,EH279684
AL199510,AL199510
EH404896,EH404896
BL285849,BL285849
DD43391,DD43391
EF38972,EF38972
EJ15647,EJ15647
BH141466,BH141466
CW237276,CW237276
DR94996,DR94996
CC95200,CC95200
CB58012,CB58012
BE274984,BE274984
CL40838,CL40838
BR75267,BR75267
EH292492,EH292492
EF118685,EF118685
AK105492,AK105492
EF143277,EF143277
EH409782,EH409782
BE157148,BE157148
EH152866,EH152866
BW45119,BW45119
DR76533,DR76533
BE273073,BE273073
EH363731,EH363731
BL368125,BL368125
EH787658,EH787658
CW674467,CW674467
DR68243,DR68243
DN109237,DN109237
BN225655,BN225655
BL267975,BL267975
BP43966,BP43966
CJ22118,CJ22118
EH66853,EH66853
BM58573,BM58573
BL40265,BL40265
CW20681,CW20681
EB40282,EB40282
EG45558,EG45558
EH460595,EH460595
AX14358,AX14358
AA96544,AA96544
DE86050,DE86050
AW181559,AW181559
CB56576,CB56576
BL156586,BL156586
EF52768,EF52768
AL159083,AL159083
BY100581,BY100582
EH855513,EH855513
CG48216,CG48216
AM2416,AM2416
BG20523,BG20523
CM57403,CM57403
CG43844,CG43844
AL214589,AL214589
AL11180,AL11180
EH124194,EH124194
DE9520,DE9520
BR109729,BR109729
AL2641,AL2641
BC56298,BC56298
BL196361,BL196361
BR78925,BR78925
AL102761,AL102761
BL54008,BL54008
EA42165,EA42165
BL73667,BL73667
DE181659,DE181659
BW9015,BW9015
ED6028,ED6028
EF5622,EF5622
EH730516,EH730516
DT71294,DT71294
DA21679,DA21679
CW679549,CW679549
CZ85788,CZ85788
AA109660,AA109660
BL292545,BL292545
CZ6347,CZ6347
BH96550,BH96550
DT54818,DT54818
CM61727,CM61727
CW289346,CW289346
AW41259,AW41259
DH49646,DH49646
BH24629,BH24629
EH5948,EH5948
BL336632,BL336632
DB78079,DB78079
EP78840,EP78840
EF34376,EF34376
DR111203,DR111203
CZ77763,CZ77763
DT88785,DT88785
CW178621,CW178621
EH364664,EH364664
BL196967,BL196967
BN263522,BN263522
EH428968,EH428968
BY537787,BY537787
EH28784,EH28784
EH218112,EH218112
CW198033,CW198033
BL365840,BL365840
CY13249,CY13249
BN36439,BN36439
AN61738,AN61738
CT46144,CT46144
DJ3093,DJ3093
DE192953,DE192953
CN12588,CN12588
AL238128,AL238128
BE311411,BE311411
EF75703,EF75703
DY32401,DY32401
BL357431,BL357431
BN282033,BN282033
BD16570,BD16570
BL45925,BL45925
EH677916,EH677916
BE106974,BE106974
AA123702,AA123702
BX17538,BX17538
EH64000,EH119047
AW8291,AW8291
BY412434,BY412434
EG2234,EG2234
EH403205,EH403205
BN409488,BN409488
BM29443,BM29443
AW169286,AW169286
EH136282,EH136282
EH152663,EH152663
AE25218,AE25218
DD119752,DD119752
DE245874,DE245874
DL171651,DL171651
AG45073,AG45073
CW131690,CW131690
BH144901,BH144901
AM73211,AM73211
BL321151,BL321151
BZ31758,BZ31758
AN57622,AN57622
EM5909,EM5909
BN406893,BN406893
BN390152,BN390152
CG49065,CG49065
CA26720,CA26720
AS5162,AS5162
AK86393,AK86393
EH286581,EH286581
AA157690,AA157690
DT134602,DT134602
DS50845,DS50845
CM49642,CM49642
CW244324,CW244324
CT42708,CT42708
DW28222,DW28222
DX15417,DX15417
EH167842,EH167842
DL188259,DL188259
AK11198,AK11198
CG118392,CG118392
CS26287,CS26287
DE212480,DE212480
CW805748,CW805748
AK82662,AK82662
DS17343,DS17343
EN38711,EN38711
BE195077,BE195077
DZ55388,DZ55388
DC6367,DC6367
BL343367,BL343367
CA92113,CA92113
DB205289,DB205289
DP18207,DP18207
CE3580,CE3580
EH147550,EH147550
CG125349,CG125349
BL223000,BL223000
CB66987,CB66987
EH25611,EH25611
AN153679,AN153679
CP5273,CP5273
DJ10519,DJ10519
BN270510,BN270510
EH229442,EH229442
EF20329,EF20329
EH85900,EH85900
EH415882,EH415882
EH47599,EH47599
DD12777,DD12777
AB35129,AB35129
AA141108,AA141108
AN121727,AN121727
BP54133,BP54133
CW169466,CW169466
EH259421,EH259421
DT31559,DT31559
EH42503,EH42503
BN35463,BN35463
BN42704,BN42704
AN137567,AN137567
BN322763,BN322763
DN120335,DN120335
BL282325,BL282325
DB14585,DB14585
AL122341,AL122341
DF11575,DF11575
DX23841,DX23841
BM5134,BM5134
ED28668,ED28668
CD22267,CD22267
AL109525,AL109525
EL65588,EL65588
BL123955,BL123955
CZ83138,CZ83138
BH123223,BH123223
AN38356,AN38356
CW866950,CW866950
AW36002,AW36002
BR69558,BR69558
ES12642,ES12642
BY248340,BY248340
DZ26847,DZ26847
BN76857,BN76857
EH541436,EH541436
EF83425,EF83425
CW830121,CW830121
BC44650,BC44650
CJ142364,CJ142364
AL129377,AL129377
DR70463,DR70463
CA56879,CA56879
DS49316,DS49316
EH588558,EH588558
CJ62264,CJ62264
DL109062,DL109062
CW879636,CW879636
EN55072,EN55072
EH342990,EH342990
CW716033,CW716033
BZ12235,BZ12235
EP2365,EP2365
EH182256,EH182256
EH177250,EH177250
EG17920,EG17920
DT91428,DT91428
DL73237,DL73237
EH273744,EH273744
BE226064,BE226064
BN292569,BN141910
CJ140452,CJ140452
EF70347,EF70347
BR45934,BR45934
EH756005,EH756005
DW62099,DW62099
BE221260,BE221260
EH854657,EH854657
CL2150,CL2150
DB65621,DB65621
AK98013,AK98013
BH100531,BH100531
CW410480,CW201868
EH54649,EH54649
CW840431,CW840431
BM27788,BM27788
EF61217,EF61217
EH871097,EH871097
DL83668,DL83668
DS101987,DS101987
BE170776,BE170776
AK106839,AK106839
EM36513,EM36513
BZ35149,BZ35149
CW772457,CW772457
DA37846,DA55779
BA6970,BA6970
CN73885,CN73885
EF24513,EF24513
DB225506,DB225506
BY515807,BY515807
BE326252,BE326252
AW152165,AW152165
AY27082,AY27082
BN270015,BN270015
DR35592,DR35592
BE283605,BE283605
EH246613,EH246613
EG17482,EG17482
BY525518,BY525518
CW772478,CW772478
EH405406,EH405406
EP19314,EP19314
DN94464,DN94464
DR58965,DR58965
DB57413,DB57413
BR150153,BR150153
DA4285,DA4285
BL161634,BL161634
EH729505,EH729505
BN384479,BN384479
BY436875,BY436875
AS77193,AS77193
BZ28167,BZ28167
DD129822,DD129822
EN16304,EN16304
BD28205,BD28205
EP85102,EP85102
BY116499,BY116499
BN400341,BN400341
EH566872,EH566872
EH450432,EH450432
CW292798,CW292798
BL50148,BL50148
EG39135,EG39135
EH439340,EH439340
ER27538,ER27538
EF86294,EF86294
BW7750,BW7750
ED18218,ED18218
AN96562,AN96562
CT22996,CT22996
CW134711,CW134711
EH387735,EH387735
CH44158,CH44158
BG42398,BG42398
EH263622,EH263622
AN136076,AN136076
DT135506,DT135506
CW39402,CW39402
BL37460,BL37460
EH560123,EH560123
AL128163,AL128163
CW169440,CW169440
EH78459,EH78459
EH181641,EH181641
EM2588,EM2588
DE11747,DE11747
EH681228,EH681228
EH373837,EH373837
BY396143,BY396143
EH459297,EH459297
EH760934,EH760934
AM52863,AM52863
BK5127,BK5127
BZ19547,BZ19547
DB177718,DB177718
BH141253,BH141253
BZ54255,BZ54255
BN122169,BN122169
BR140747,BR140747
EH425405,EH425405
CW898011,CW898011
DS94562,DS94562
AN141865,AN141865
DA96966,DA96966
BL351743,BL351743
CT4025,CT4025
BH90353,BH90353
CW81184,CW81184
DW38568,DW38568
EH278982,EH177603
DD93753,DD93753
BL231448,BL231448
EF133658,EF133658
BY406832,BY406832
CG62383,CG62383
BM12330,BM12330
EH841431,EH841431
EH34682,EH34682
AN146341,AN146341
AP70439,AP70439
BL49768,BL49768
BW23286,BW23286
BM52510,BM52510
DW42013,DW42013
CT6995,CT6995
CC99807,CC99807
EH207651,EH207651
DW9456,DW9456
DB97506,DB97506
BY415135,BY415135
DR42479,DR42479
BE60482,BE60482
EK5823,EK5823
AA155835,AA155835
CC102183,CC102183
DG32558,DG32558
DY19054,DY19054
EH365832,EH365832
BN257375,BN257375
BD90972,BD90972
EH322964,EH322964
EH869226,EH869226
DA21296,DA21296
AA14837,AA14837
BN44082,BN44082
DG48558,DG48558
DT121120,DT121120
EH453568,EH453568
AA167358,AA167358
BN24779,BN24779
EH39233,EH39233
DT61465,DT61465
CW173746,CW253939
DX52591,DX52591
BE181467,BE181467
BY89341,BY89341
AN103422,AN103422
DZ46157,DZ46157
AY16789,AY16789
DK2147,DK2147
CM61363,CM61363
BY78195,BY78195
CG16379,CG16379
BB73023,BB73023
BG16493,BG16493
AK20633,AK20633
DB9586,DB9586
BD108243,BD108243
BY567101,BY567101
EF106216,EF106216
EF103934,EF103934
BN292350,BN292350
BE317309,BE317309
DL208570,DL208570
AL246500,AL246500
EH121190,EH121190
BE27593,BE27593
EH230919,EH230919
DT37848,DT37848
AP21233,AP21233
EH360035,EH360035
EF111327,EF111327
EH874964,EH874964
BM2492,BM2492
CG51861,CG51861
EL34275,EL34275
EH422876,EH422876
EF50254,EF50254
EH198412,EH198412
CN59234,CN59234
CN8889,CN8889
BY558632,BY558632
BY79795,BY79795
BZ13087,BZ13087
AS67392,AS67392
CJ22610,CJ22610
EH158843,EH158843
CE37082,CE37082
DZ5000,DZ5000
BL19993,BL19993
CW248544,CW248544
EF35779,EF35779
CW602093,CW602093
CW113140,CW113140
DL128015,DL128015
CA94384,CA94384
EH737447,EH737447
BL154435,BL154435
DE101610,DE101610
EH422788,EH422788
EH559590,EH559590
EH432613,EH432613
AG31611,AG31611
CC105135,CC105135
DR100946,DR100946
CW505128,CW505128
EH45321,EH45321
EH321367,EH321367
EK18217,EK18217
CJ122507,CJ122507
BH66611,BH66611
DT135378,DT135378
BE24691,BE24691
EL58571,EL58571
BN140993,BN140993
BH67877,BH67877
CC120633,CC120633
EH50486,EH50486
DT96875,DT96875
BN76256,BN76256
BG3794,BG3794
DE229520,DE229520
CM22160,CM22160
ED40152,ED40152
AN79580,AN79580
DS76905,DS76905
BN139610,BN139610
BN207251,BN207251
BL213486,BL213486
BH132299,BH132299
CW347801,CW347801
EM12586,EM12586
AX9787,AX9787
DT133119,DT133119
BX19521,BX19521
DT109894,DT109894
AB4031,AB4031
BL68569,BL68569
EH345742,EH345742
ES5429,ES5429
AL46234,AL46234
BE173192,BE173192
BN88029,BN60881
CW893608,CW893608
EH495281,EH495281
EH778069,EH778069
CW456308,CW456308
BN262545,BN262545
DL193009,DL193009
BM18101,BM18101
CW98683,CW98683
EH729951,EH729951
EG40231,EG40231
AJ6359,AJ6359
DR34031,DR34031
BL368613,BL368613
EH548979,EH548979
AN52477,AN52477
EL69456,EL69456
BN374114,BN374114
BN374660,BN374660
DD19542,DD19542
DZ44315,DZ44315
DB210678,DB210678
EH317026,EH317026
CG7012,CG7012
CZ78379,CZ78379
BY414871,BY414871
CG76620,CG76620
CZ65491,CZ65491
BY241427,BY241427
CZ14705,CZ14705
CW404418,CW404418
EH184030,EH184030
BP6811,BP6811
EH647043,EH647043
CW840781,CW840781
EH119119,EH119119
EB55034,EB55034
DX33153,DX33153
BL224909,BL224909
BJ32605,BJ32605
EH275832,EH275832
DD97743,DD97743
EM33778,EM33778
BK39865,BK39865
EG4631,EG4631
AN144386,AN144386
CP30064,CP30064
BD66402,BD66402
