globalID_A,globalID_B
BL123955,BL123955
EG3656,EG3656
DK23791,DJ6373
AN112200,AN112200
CP35119,CP35119
DE174719,EH779606
BE8408,BE8408
AB7357,AB7357
BE214937,DL94330
EH214722,EH214722
EA14764,EA14764
CA50488,DD62252
DL129341,DL129341
DE200607,DE200607
EH342990,EH342990
BN343820,BN343820
CC103903,CC103903
CW793715,CW696360
EP2365,EP2365
BN65995,BN65995
AW184905,CC142661
AL104212,AL104212
BY479012,BY479012
EH405746,EH405746
DJ11363,DJ11363
CL43913,CL43913
DB40171,BE109863
DR63147,DR63147
BR98875,BR98875
DB74948,DB74948
BJ35513,BJ35513
EP24346,DE119129
BM6576,BM6576
BL205737,BL205737
DB213453,DB213453
EH475993,EH475993
AN145665,AN145665
CM33745,DE153144
EH754157,EH754157
EH625496,EH625496
DE190374,CA50488
EH859327,BY470748
BM55845,BM55845
BY454910,BY454910
DR97748,DR97748
EH211300,EH211300
AN130692,AN130692
AL91144,AL91144
BN313003,BN313003
EH644090,EH644090
BN221214,BN221214
AX4297,AX4297
EH587547,EH587547
CB22439,CB22439
ER22256,ER22256
CK6938,CW1174655
CW354492,CW354492
DX18202,DT97778
AS77193,AS77193
EH874110,EH874110
BP51370,BP51370
AN137657,AN137657
AA72252,AA72252
EP82715,EP82715
EH656498,EH656498
BP42029,BP42029
CW893784,CW893784
BW7750,BW7750
EH149087,EH149087
EH463796,CM22118
EH258005,EH258005
CK6938,BE109863
EH76307,EH76307
EH559001,DM14821
BB43938,BB43938
CW425926,CW425926
DB192615,DB192615
CB61404,CB61404
AW177939,AW177939
BY396143,BY396143
AW64501,AW64501
EH758022,CW497299
BP38750,DT85263
BE122334,DR75326
EH587547,DE336199
BY470748,BY470748
AN129593,AN129593
BR151550,BR151550
DP29897,DP29897
AN7488,AN7488
DD75573,DD75573
CM17941,CM17941
CA50488,CA50488
DE174719,DE174719
CZ48268,CZ48268
BL83594,BL83594
CT34786,DB295852
EH460595,EH460595
BN64557,BN64557
DL154605,DL154605
AP70439,AP70439
DD12913,DX7966
DD119093,DD119093
DT120761,DT120761
CW633714,CW633714
AY28630,AY28630
DE175434,DE175434
EH667590,EH667590
CJ126991,CJ126991
BY336714,BY336714
BY525282,BY525282
BN368809,BN368809
BL346502,BL346502
EH124194,EH124194
CC115504,CC115504
AW158539,AW158539
DG32558,DG32558
BL186115,BL186115
DJ6373,DJ6373
EH367137,EH367137
EH745893,DE145225
DN123496,DN123496
BH85239,BH141639
DR109754,DR109754
CW483357,CW483357
AY4388,AY4388
AY13262,AY13262
DB180146,DB180146
BL296467,BL296467
EH133404,EH133404
DL156460,DL156460
BL17427,BL17427
BR157685,BR157685
AN98494,AX61386
EH446044,EH446044
CM16566,CM16566
DH49646,DH49646
BD108243,BD108243
EF106216,EF106216
BH124727,DK36597
CB51258,CB51258
CC99520,CC99520
BY522251,BY522251
BE27593,BE27593
DA77282,DA77282
CW174497,CW174497
BY528088,BY528088
BL357431,BL357431
DB40171,CW1174655
BH85239,BH167823
DT128498,DT128498
CW9771,CW9771
DK35678,DK35678
EC15406,EC15406
DD83518,DD83518
EH871577,EH871577
BM11991,BM11991
DB228655,DB228655
CW602093,CW602093
AA128531,AA128531
AA116146,BN313003
AL91901,AL91901
DC22112,DC22112
DZ10015,DZ10015
CW687382,CW687382
BN409488,BN409488
DE101610,DE101610
CW793715,CW793715
EH175707,EH175707
CW498191,CW498191
CM28731,CM28731
AX22570,EH631711
CC104273,CC104273
DJ2926,DJ2926
BH147904,BH147904
BL85132,CB51258
BR174306,BR174306
EH321367,EH321367
EH341554,EH341554
BN117768,BN117768
DD12913,DD12913
EF36996,EF36996
DL53984,AK149381
DK23791,DK23791
CW244324,CW244324
DT74145,DT74145
CR25256,CR25256
AN148542,AN148542
AA162571,AA162571
EF163042,EF163042
DS76905,DS76905
CN11370,CN11370
DR101168,DR101168
DE212480,DE212480
CG47244,CG47244
EM12586,EM12586
BL122655,BL122655
EH640216,EH640216
DD131561,DD131561
CJ3883,CJ3883
BL352145,BL352145
DE261739,DE261739
EH585872,DH49646
BR79743,BR79743
CW531882,CW531882
EG50918,CS16329
EH287740,EH287740
DD100844,DD100844
BR51732,BR51732
CB66987,CB66987
CW283067,CW283067
BZ12771,BD79535
BR51508,BR51508
BY485021,BY485021
BH17668,BH17668
DY30098,DY30098
BN374114,BN374114
DR59777,DR59777
CG7012,CG7012
AW83691,AW83691
BY563132,BY563132
BL336763,AH4563
AN137567,AN137567
CZ14705,CZ14705
BH144197,BH144197
BJ27355,BJ27355
BE276320,BE276320
BY488949,BY488949
EH546517,DE150887
BY519187,BY519187
BY117482,BY117482
BC23280,BC23280
BG15518,BG15518
