globalID_A,globalID_B
AM60919,AF2841
AL62374,AJ3315
AH16906,CW806892
AE13338,EB29121
EH418114,DD54342
CW94097,AA168361
EG24042,EG46245
EN59398,DC7212
BE81597,CW110371
DN83018,AL143731
EH201824,EC13272
AA77697,BN119103
AJ15073,EL15680
BL329485,CR12610
CW260613,CW262823
EF96337,EL11647
CJ36460,BP7554
DL99603,DL99603
CS2885,DE216650
AP24857,EF104971
CG97215,CZ80717
BJ15320,DL109444
BY15878,BR33652
BR65340,BE185325
DT103739,CN95951
AD7718,CM13803
BN250737,BH77616
AL105183,AN208439
BN108129,BN152303
BN322341,DD103899
AL46105,CJ166500
BP10434,BL15019
AK52435,EH479860
AL71493,BE116396
CG24612,EH1039921
CT31295,DE69229
BR51963,EH387012
BY219008,CW123672
BY308956,DT75754
BN282066,AL191539
CC74642,BC4887
DZ40801,AN91793
DB68673,EL19794
EH13002,DN59645
ER32779,DE20391
DA53111,CW447411
AL86167,EF101917
EH272456,EP48257
ER2347,AA79843
DL129079,BR17265
AY9832,AL127533
DH43013,DE90112
BL227013,CC58357
EH74303,BY32529
DB224418,AK63648
AL82564,BR53523
BD101020,BD26483
DT102878,BZ25382
DL113421,CW220965
EH97855,EH97855
DZ25529,CW395382
BL92893,BL92893
EH69955,BP3692
CB51246,DW20881
DE129592,CP17804
CW290257,CW290732
BR128788,BY18062
DE52265,AB4988
EH424525,BR15602
EP24258,CM3162
EH545179,CC152154
BL152968,BL67052
EH791092,DL36430
CH15631,DD9268
EA19865,BN377664
EH77846,BH58839
BG15074,DD65898
AS66355,ED54638
AJ18432,AF7025
DA12923,BN349719
BE21732,EL70977
AA10948,EH406720
ES7518,EH35772
AA58582,DS31126
DB66949,CW202678
EF136177,EF208909
DL158320,BY236716
BR69692,EH28164
CW134553,CD6889
EH75242,AL86709
BE7016,DL45427
AS21652,EH150188
EH99342,EG19656
EM5877,DZ7360
AL33898,CW318910
EF15985,AG7860
EM43163,BY199666
AL67681,BE105797
CC28576,EH300110
BH93024,DL84791
CW277959,CW211647
DM9864,CH9002
DG4265,AJ11843
CY16857,EH343508
BY266785,EB10097
EH408874,BN140358
AW163177,CN46197
AR2542,CW68562
BY465174,CJ6176
AN39248,CB27766
AX11521,AA122740
AT11156,EH79232
AL126697,EH526949
DX33420,DN86201
EH393868,BR7283
DB66949,BL35806
DZ30063,EH253670
AW50179,CW200243
CW349667,EH581702
EF13342,BL70972
AA2219,DB284432
EH263622,DB33650
BY178682,BY179569
EH252979,AA53107
DE45931,BE21732
AA102285,BY219008
BN90967,DE169063
BY106918,BL93994
AX11833,CP16365
BY290403,BL230405
CL9130,CW358267
BL52661,EH997103
CP36287,BL194532
BR25914,BN419942
DZ9159,ED23764
CW110198,AA70698
BL92541,BN555042
CW177881,CA16700
EH452926,DT96474
AA150741,DE142699
DN19201,CM41089
BN116880,BL67570
EH48957,CC23929
CB59075,DR80933
BN78250,AK20596
CM15628,CM15628
DG32948,AW63302
CW83483,EG31695
AL89469,DZ34195
AA16933,CZ27426
DE121027,BY284703
EH133234,AP22729
DL37750,AA25793
AA121595,EB5636
AP10598,AT16969
AM46527,BL210404
AY29958,BY65454
BD47814,EH267146
DE83931,DW28731
BL41548,EN37685
EH235225,EH235225
DL66673,AN183769
BR4873,BW41434
AX31664,DE15327
BN238405,BE128435
BW16012,BE38771
BY236750,CW265637
BN12147,CW562921
DZ38155,CJ20418
CJ32663,EH102107
BH145825,CZ19778
AH15718,EH70636
EH120918,AL10867
DN27026,EF194276
CW137512,AL69144
BN108964,ED9544
BW16312,CN27922
BG27319,BL110067
CB53420,BN298163
BE175668,CA78099
AA91846,CW1330815
DR41391,CW699013
DA49119,AA41500
BN335582,CJ55023
BN313027,BN151728
DN107317,EH263622
CZ60299,BY58766
CZ2269,CW1032686
EA21447,AW28311
BH37752,AL195869
DD130117,DD3730
AN2940,AE11098
BE107999,CK7410
EH173387,CW200477
CX12021,CX12021
EH269601,DA70082
BY26114,EL17839
AA116323,DE209333
DG5432,EG4756
DT113300,EN7105
EH45798,AM90074
BY189663,BL88640
DT50021,EM8967
CJ139618,CL37014
BN351308,AN28011
EH506966,DR91575
CT36563,BH14618
CS28669,BP74261
CM28069,DW58270
EA34452,BY165961
BL385580,BN282033
CH18979,AX34897
AJ20645,CM50801
BN267144,EH207434
ED10438,BN164233
BG34293,AL93952
DE58224,DZ7360
CW690993,CW255405
CJ141979,CR5469
AG32624,DS117726
DD14446,DD14446
AS23951,AS10743
AW52170,DR58576
CW87579,CW1346414
BN104008,DA6575
CW86164,DE47461
BW27364,EH71674
EH408533,EH408533
DY13590,EF88650
AZ15405,BL354147
DY27234,CB45977
BE119006,BD109861
BY251707,AG62598
AA8841,EB10097
BW20202,EH189278
BR36073,BR36073
AY16463,AY28736
AL118382,AW58010
DT5585,BN130698
BE113862,CL37014
DL40826,DZ7685
DA5238,EP55923
EH456740,DZ28077
DD32860,DD32860
AD5893,AJ11843
BN74639,EH657666
CE6777,DD87204
DL190334,CP3573
AW33853,DS99233
EH262581,BL233293
CW137512,DH41329
DT10250,CM13173
BY47724,AR5715
EH566317,CW1145050
CW87981,CW176729
DH13913,DB157106
AA80092,BP23908
EH76359,DB49116
DW3830,BL336641
BC4443,BY72946
AN144883,CS25743
DT10815,BY67744
EH63784,BN542102
BZ34897,AK4516
EH95490,EH225089
DL51550,CJ15566
CW457556,CW457556
AY2504,AW130203
DT88804,EH137645
EH95802,BN31947
EH52747,BR43001
BE9011,DZ44440
EH446265,EH88550
BG27244,BR31697
CZ48779,EF24513
BL88700,DH3282
BE129266,BR90727
BY205629,BN354477
BW16848,EP16944
DD85545,EH915485
DL124090,BD80850
EF68929,CW170217
AX53298,BL171766
DE147876,BE225623
AL104173,CT9445
