globalID_A,globalID_B
BL123955,BL123955
DX46717,DX46717
AG32533,AG32533
EG3656,EG3656
DK23791,DJ6373
AN112200,AN112200
CP35119,CP35119
DE174719,EH779606
BF9247,BF9247
BE8408,BE8408
AB7357,AB7357
BE214937,DL94330
EH214722,EH214722
EA14764,EA14764
CA50488,DD62252
DL129341,DL129341
DE200607,DE200607
EF154515,EF154515
EH342990,EH342990
BN343820,BN343820
CC103903,CC103903
CW793715,CW696360
EP2365,EP2365
BN65995,BN65995
AW184905,CC142661
AL104212,AL104212
BY479012,BY479012
AY20329,AY20329
EH405746,EH405746
DJ11363,DJ11363
CL43913,CL43913
DB40171,BE109863
BN302662,BN302662
CJ140452,CJ140452
EH564899,EH564899
DR63147,DR63147
BR98875,BR98875
DB74948,DB74948
BJ35513,BJ35513
EH125088,EH125088
BM6576,BM6576
BL205737,BL205737
BH100531,BH100531
DB213453,DB213453
EH475993,EH475993
AN145665,AN145665
CM33745,DE153144
EH754157,EH754157
EH625496,EH625496
DE190374,CA50488
DS101987,DS101987
BY467571,BY467571
BL300691,BL300691
EH859327,BY470748
CE41249,CE41249
BM55845,BM55845
BY454910,BY454910
EH345124,EH345124
DR97748,DR97748
EH211300,EH211300
AN130692,AN130692
AL91144,AL91144
BN313003,BN313003
EH644090,EH644090
BN221214,BN221214
AX4297,AX4297
EH587547,EH587547
EH86935,CW219665
DZ33731,DZ33731
CB22439,CB22439
ER22256,ER22256
BM57413,BM57413
CW354492,CW354492
EH729505,EH729505
DX18202,DT97778
AS77193,AS77193
EH840685,EH840685
CJ17756,CJ17756
EH874110,EH874110
AM82067,AM82067
BP51370,BP51370
AN137657,AN137657
AA72252,AA72252
EP82715,EP82715
EH656498,EH656498
BP42029,BP42029
CW893784,CW893784
BY46172,BY46172
BW7750,BW7750
EH149087,EH149087
AA100847,AA100847
CA48746,CA48746
EH463796,CM22118
EH258005,EH258005
BN352342,BN352342
EH76307,EH76307
EH559001,DM14821
BB43938,BB43938
AS65147,AS65147
CW425926,CW425926
DB192615,DB192615
CB61404,CB61404
AW177939,AW177939
BY396143,BY396143
CW451884,CW451884
EH96542,EH96542
AW64501,AW64501
EH758022,CW497299
BP38750,DT85263
EF143277,EF143277
BE122334,DR75326
BN365455,BN365455
BY470748,BY470748
AN129593,AN129593
BR151550,BR151550
DP29897,DP29897
DT134973,DT134973
DB156306,DB156306
CW58841,CW58841
EH205043,EH205043
AN7488,AN7488
AN156666,AN156666
DD75573,DD75573
CM17941,CM17941
CA50488,CA50488
EH472213,EH472213
DE174719,DE174719
EF41789,EF41789
EG38709,EG38709
CZ48268,CZ48268
EH506500,EH506500
BL83594,BL83594
AL145606,AL145606
CT34786,DB295852
EH460595,EH460595
EF88429,EF88429
BN64557,BN64557
DL154605,DL154605
AP70439,AP70439
DD12913,DX7966
DD119093,DD119093
BY487497,BY487497
DT120761,DT120761
CW633714,CW633714
AY28630,AY28630
DE175434,DE175434
EH667590,EH667590
EF128646,EF128646
CJ126991,CJ126991
AL159083,AL159083
BY336714,BY336714
EH874982,EH874982
BY525282,BY525282
DB11628,DB11628
BN368809,BN368809
BL346502,BL346502
EH124194,EH124194
CC115504,CC115504
AW158539,AW158539
DG32558,DG32558
BL186115,BL186115
DJ6373,DJ6373
EH367137,EH367137
EH745893,DE145225
DN123496,DN123496
BE188822,BE188822
BH85239,BH141639
CB54525,CB54525
DR109754,DR109754
EA42165,EA42165
DE263682,DE263682
CW483357,CW483357
CR19204,CR19204
AY4388,AY4388
AY13262,AY13262
DB180146,DB180146
BL296467,BL296467
EH133404,EH133404
BY475667,BY475667
EH45110,EH45110
DL156460,DL156460
BL17427,BL17427
BM48651,BM48651
CD10576,CD10576
BR157685,BR157685
EH861221,EH861221
AA36310,AA36310
AN98494,AX61386
EH446044,EH446044
CM16566,CM16566
DH49646,DH49646
BD108243,BD108243
EF106216,EF106216
BN41535,BN41535
CB51258,CB51258
CC99520,CC99520
BY522251,BY522251
BE27593,BE27593
DS64956,DS64956
DA77282,DA77282
CW174497,CW174497
BY528088,BY528088
CT46144,CT46144
EB64596,EB64596
BE311411,BE311411
BE196820,BE196820
BL357431,BL357431
DB40171,CW1174655
DA99482,DA99482
BH85239,BH167823
DT128498,DT128498
CW9771,CW9771
DK35678,DK35678
EC15406,EC15406
DT54615,DT54615
DD83518,DD83518
EH871577,EH871577
BM11991,BM11991
DB228655,DB228655
CW602093,CW602093
AA128531,AA128531
AA116146,BN313003
AL91901,AL91901
BE305323,BE305323
DC22112,DC22112
DZ10015,DZ10015
BY48114,BY48114
CW687382,CW687382
BN409488,BN409488
DE101610,DE101610
CW793715,CW793715
BH130185,BH130185
AW169286,AW169286
EH175707,EH175707
CW498191,CW498191
DY13191,DY13191
CM28731,CM28731
AN63996,AN63996
AX22570,EH631711
BD67701,BD67701
ER31251,ER31251
CC104273,CC104273
DL195859,DL195859
