globalID_A,globalID_B
BY156587,BP19490
CW493066,CW465853
BE34969,BE28084
AW61892,AW62301
EH316020,EH73550
CW529065,CW331811
CW17209,CW17274
CW498346,CW182216
CW257970,CW119876
CW449954,CW222695
EJ19859,CS6527
CW327599,CW935695
EH409769,EH1241341
BN32681,BN51339
EH396455,EH353534
CW145651,CW378222
CW99478,CW99478
EH371928,EH314122
CW198229,CW145126
EH94664,EH267826
CW61819,CW407436
CW111175,CW78391
EH378291,EH972628
CW55261,CW49648
CW384053,CW106482
CW321296,CW315815
DL7876,DL7879
CW269134,CW227049
CW111989,CW210287
CW288330,CW142777
EH57349,EH166062
CW64270,CW243351
CW38730,CW175451
EH274920,EH252508
EH481271,EH438758
CW381455,CW176876
CW133383,CW80563
CW114042,CW193212
CW156344,CW291188
EH337976,BY114153
CK2833,CK2833
CW168880,CW311103
CW295253,CW52028
EH152485,EH159818
EH366954,EH238034
EH93796,AK85633
CW24195,CW416947
CW151196,CW278186
CW11877,CW56931
BN20910,BN65472
CW466998,CW261874
CW282566,CW348933
BN50818,BN5081
BZ16986,BZ4942
CW507145,CW322698
CW513825,CW181271
CW389401,CW425831
EH124124,EH256195
AS17280,ED3446
CW93631,CW139686
CW416563,CW467320
CW387379,CW421019
CW273810,CW523292
EH370781,EH162441
CW60730,CW235407
CW143113,CW103121
CW159531,CW91267
CW123426,CW505369
CW103980,CW310216
BY460038,BY218896
EH438254,EH236118
BN23194,BN41698
CW521108,CW920043
EH211991,EH72015
CW225345,CW463966
CW632852,CW632852
CW435212,CW274823
CW498346,CW491199
BY46586,BY138428
CW514435,CW181063
BN66177,BN124419
CW581407,CW244169
CW75636,CW172739
CW292985,CW360584
EH419063,EH245924
BL142648,BL164487
CW76639,CW175451
EH132911,EH110713
CW294349,CW214690
CW322757,CW124956
CW561077,CW524823
CW11766,CW6303
CW335905,CW362540
CW109695,CW353475
CW76639,CW227237
CW202090,CW233667
CW195732,CW195376
CW126139,CW346754
BL6881,BL19584
CW102295,CW454067
EH292737,EH215883
CW384617,CW203242
CW413765,CW380845
AW61148,AW46670
CW398799,CW381690
CW236665,CW373648
CJ209272,DR117958
CW160300,CW415208
CW123337,CW403483
EH201844,EH417235
CW131372,CW124040
CW211798,CW69964
CW224090,CW294150
CW421689,CW656861
BN50818,BN10753
CW126674,CW527793
CW174980,CW42843
CW365326,CW335200
BN114270,BN105126
CW388267,CW285971
EH266850,EH331240
EH220312,EH274516
DE98703,DE178122
CW128931,CW200332
EH202702,EH424340
CW275274,CW207023
CW400710,CW472901
EH1107686,EH488603
CW438977,CW253648
EH248677,EH340088
CW96492,CW71686
CW117115,CW81788
CW143707,CW356483
CW39782,CW140443
CW56209,CW63437
BN14384,BN39448
CW190766,CW485612
CW363986,CW142537
EH399240,EH1241341
CW204985,CW437677
CW93112,CW494839
EH119285,EH288316
EH247088,EH181659
CW453158,CW223128
CW213199,CW64047
CW394474,CW1316032
CW90630,CW80427
CW383755,BY60359
CW517755,CW347111
CH2842,CW113757
CW283674,CW332397
CW192723,CW384153
EH423740,EH527741
EH128898,EH287825
EH270251,EH414789
EH132937,EH138719
EH58713,EH356985
CW281396,CW472812
BE72552,BD27012
EH14112,EH136546
CW132830,CW25945
CW181816,CW311469
CW383755,CW137807
CW412941,CW305757
DL39448,CC63968
CW140809,CW362724
BN48345,BN40424
EA9757,EA9754
CW472902,CW676198
CW217111,CW326362
CW177567,CW56931
BY119583,BY120640
CW114042,CW125611
AK50580,AK5221
BY5723,EH169521
EH31372,EH31372
CW512505,CW438613
CW134938,CW278442
CW206920,CW397343
EH246139,EH161257
CW409169,CW373654
EH189952,EH245924
CW23990,CW41522
CW517755,CW378888
CW135826,CW224743
BE47673,BE48345
EH104232,EH299375
CW33507,CW234855
EH379393,CW277029
CW22056,CW52051
CW77121,CW124834
CW369832,CW142409
CW163022,CW286279
CW127942,CW71686
CW173799,CW167100
CW702590,CW523785
CW58363,CW311469
CW285620,CW276423
BL31406,BL65996
CW268901,CW132366
BX8542,EH271498
AC7961,AC7961
CW191489,CW410653
CW330602,CW277122
CW73550,CW232787
CW131531,CW278270
EH234959,EH54233
CW196882,CW44996
CW206949,CW227506
CW191747,CW718624
CW175917,CW342816
CW99490,CW234855
CW153284,CW342722
CW62553,CW224138
CW45271,CW216625
BL15648,BL124531
EH80013,EH54598
CW65641,CW172430
CW84745,CW297349
CW279029,CW177173
BY216634,BY170181
CW519643,CW276423
EH411586,EH236118
CW352783,CW156705
EH177316,EH162789
EH236514,EH164748
CW323805,CW90600
BN13708,BN48704
CW79336,CW209586
CW509786,CW407501
AL308685,AL87360
CW99779,CW135547
CW445092,CW492407
CW200646,CW229412
EH495025,EH479716
CW68145,CW228044
EH87825,EH447427
CW143858,CW373648
CW518658,CW169839
CW275274,CW392118
CW841295,CW420804
CW437071,CW51884
CW463471,CW426920
CW297187,CW268428
CW202868,CW183282
DE142207,DE210631
CW110988,CW111212
EH142285,EH770337
CW304942,CW222532
EH379393,DL124411
CW398379,CW475302
EH440985,EH252397
CW74586,CW291711
CW135842,CW28248
CW249380,CW355406
CW225949,CW111814
CW159461,CW213361
CW772498,CW501099
CW198893,CW91563
CW270703,CW52867
EH232620,BL162835
CW438150,CW269161
CW442386,CW118997
CW153284,CW484489
CW640429,CW305757
CW96439,CW229250
EH66808,EH156016
CW206233,CW193162
CW352305,CW69283
CW365823,CW116887
BN54566,BN9419
CW79894,CW164061
EH340374,EH218906
EH188339,EH191550
CW426152,CW513450
CW162294,CW236968
CW169689,CW413073
BD58940,BD10319
CW500604,CW263468
BY159016,BY8526
EH384202,EH219539
EH98932,EH212578
CW492416,CW283829
EH303542,EH380015
EH422072,EH400219
CW340193,CW414972
CW60770,CW108688
EH35641,EH26802
CW57692,CW527793
BN57318,BN40804
BZ16025,BZ16025
BL50812,DE75981
CW220618,CW330854
