globalID_A,globalID_B
DR81938,DR93149
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
DH44127,BY272701
CL51754,CW1062548
BL521995,AL255328
DN93603,EH431830
EH1219523,EH1219523
CC88093,CC88093
BN365996,BN365996
DB26445,DH51165
CJ56898,CJ24432
AM37972,AN52092
CW252880,CW721741
BZ49396,BZ49396
DB60959,DB60959
BY436493,AA69206
DR68908,DR68908
CW754562,CW1259043
CZ53412,DE92050
BE329908,BE141599
CW629462,AA107809
EN69441,EN69441
EH149965,AT10012
CW486914,BH106405
DB285243,EH1299646
BZ17465,BZ17465
CW974582,CW1329056
BT11949,EH1114168
CW925747,CW925747
BE272647,BE262110
BR164078,ED33169
BN411274,BH71466
EF38231,DE113376
EH194386,CW515155
DH33738,BL397259
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
BY85907,BY130505
BR111812,CH17032
AH16932,DE116694
DB333241,DB86036
EH1040533,EH1040533
CG201613,CW846716
BN157300,DN48668
EH366954,EH238034
BK10331,CW184004
BY433214,BD99588
ER27172,BN239361
BL385307,BL385307
EH544854,BJ29186
CW682124,CW533290
DD123481,DD123481
BR187432,BR202877
EH302433,EL31786
BY689798,BY689798
CM54342,CM59927
EH189113,AW128430
BD89443,BD89443
DR97753,DR97753
CW340118,CW266150
BE161496,BW48570
EH481198,CW925849
CW111512,CW249652
CJ32494,BH86355
EH1239589,CC25297
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
ES14361,CG106828
CW273810,CW523292
BL168369,BC28587
CW674598,CW421552
EH281382,CP15843
DL92800,DL92800
CW81598,CW179470
AW111561,AN102929
CW498346,CW491199
AA113631,BY327461
BL325563,BA9867
CC107828,CC151227
AA210000,AA69260
DE265680,DE265680
AL122142,AL122142
EH752482,AM11426
CJ128749,CW761233
AL32880,AL32838
BN553104,CJ131524
DE207257,BL519779
DE318098,DE314993
BH139672,DN125820
CW806772,CW520784
ES4636,BN404963
EH495025,CZ63532
DX59832,EH149027
BR90682,CW172263
EP77188,AN146282
BL391927,CW724104
DS72058,BE174423
BY265178,BY426715
BD99432,BD58659
BY378905,DD127318
DX45629,AR5782
EH458323,DE218898
BL476954,BY377296
EH200950,EH98130
BL334866,BL334866
BN258016,BN258016
CW307393,CJ122849
EH408945,DE127957
EF106718,DD121091
EH667782,DE276047
CW498885,BL330406
CW908668,CW879595
EH436536,AL155616
CW1019452,BL403518
DN142787,EH528673
CW884962,CW1173415
AL237708,DN101806
BY398200,BY27454
CW872142,CW648514
BB99804,EH884343
EH787662,EH787662
AA151692,AA141177
AN136043,AM78765
DB176793,DB195326
CZ35131,BR140089
EH1050557,DX55665
BE195441,BL290404
BZ43113,BL287786
BP27499,CG83538
CS22553,BN214288
BL127802,DN72617
BW55753,DD216114
AA160660,BH82959
CW761910,CW456089
CW157844,CW759424
EH1193120,EM78255
EH321532,EH288788
ED6446,CS18944
BY379075,AM84233
AL169362,AL169362
AL301969,EH1252520
CW23027,ES8811
CW317430,EH402324
CW313162,CW602026
EH554130,EH818103
DZ65094,BG16906
CW589508,DH35407
EH169937,EH713403
DL254223,DA94866
DL170866,DL170866
CW247713,CW674321
CW272055,BL317705
CN76262,BL519779
BY436493,DB161188
AN128412,AN128412
AS76957,BR162626
EH241876,BL433475
BL461391,BL221662
EH1056862,BD95616
DK31805,DE166091
BE159336,BE159336
CW519896,DP40847
BN400668,BN400668
EF6686,EF6686
CW597799,CW710613
CG147256,CC125834
AN77849,AN60514
BH42675,DE156365
AK113064,DN131844
DC15903,EH167017
CW416158,CW1049697
BL287268,AA120727
CW767325,CW381870
CN59157,CN59157
CW517329,CW1031628
BY415790,DT108942
EH423281,EH515404
EH794622,EH322447
BR79693,BC30516
BG30812,BG30812
EH429287,EH389255
CA100715,CA100715
BG21138,BN332003
CW289305,CW251972
DE82633,AW142118
EH714467,EH751096
BE270562,BE336290
