globalID_A,globalID_B
DR81938,DR93149
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
DH44127,BY272701
DH33738,EG35557
BL521995,AL255328
DN93603,EH431830
EH1219523,EH1219523
CC88093,CC88093
BN365996,BN365996
AA147008,BK38855
CJ56898,CJ24432
DN94633,AS87974
AM37972,AN52092
CW252880,CW721741
BZ49396,BZ49396
BH151931,AL167940
DB60959,DB60959
DR68908,DR68908
CZ53412,DE92050
BE329908,BE141599
BY508170,BY312578
CW629462,AA107809
DB206026,CW975134
EN69441,EN69441
CW486914,BH106405
BN353928,AK58017
BZ17465,BZ17465
CW974582,CW1329056
BT11949,EH1114168
CW925747,CW925747
BE272647,BE262110
BG16026,CK9827
EH536622,DL166992
DL241511,BN474709
BY511276,BD72879
BR164078,ED33169
EB34098,CA90184
DH37729,CN61179
DR56090,DL95209
DE119609,BN358757
EH570040,AT16946
EH194386,CW515155
DH33738,BL397259
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
BY85907,BY130505
AE16597,AS17045
DB333241,DB86036
EH1040533,EH1040533
CW491033,AA143809
BN157300,DN48668
EH366954,EH238034
BK10331,CW184004
BN317657,BM26019
ER27172,BN239361
BL385307,BL385307
DA66105,CH47173
EH544854,BJ29186
CW682124,CW533290
DD123481,DD123481
CB67822,BR239904
AN122319,DL164955
BY689798,BY689798
CM54342,CM59927
BD89443,BD89443
DR97753,DR97753
CW340118,CW266150
BE161496,BW48570
DE163530,DB168725
EH481198,CW925849
CJ32494,BH86355
AA84269,EF38094
EH1239589,CC25297
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
ES14361,CG106828
CW273810,CW523292
DW36030,AW117033
CN54005,DE184499
CW674598,CW421552
EH281382,CP15843
DL92800,DL92800
CW81598,CW179470
AM53014,DB39372
DB195347,DX46401
CW498346,CW491199
EH697639,AL228231
AA113631,BY327461
AA210000,AA69260
DE265680,DE265680
AL122142,AL122142
EH752482,AM11426
AL32880,AL32838
BN553104,CJ131524
DB241558,DB132001
DE318098,DE314993
CA30275,EL13836
ES4636,BN404963
EH495025,CZ63532
DX59832,EH149027
EP77188,AN146282
DS72058,BE174423
BD99432,BD58659
BY378905,DD127318
CB53352,DP44759
DX45629,AR5782
CG15110,AD6242
BP67398,CL38948
EH458323,DE218898
BL476954,BY377296
BL334866,BL334866
EH667782,DE276047
CW498885,BL330406
DE190886,DE228203
CW908668,CW879595
EH436536,AL155616
BE185298,BY527776
CW1019452,BL403518
DN142787,EH528673
EF109217,AS96633
AK58633,DB158546
CW884962,CW1173415
AL237708,DN101806
BY398200,BY27454
CW872142,CW648514
BB99804,EH884343
EH787662,EH787662
AN136043,AM78765
DB176793,DB195326
EH546893,CJ84152
EH1050557,DX55665
BL231586,DL90739
BE195441,BL290404
CW457984,BR3520
BZ43113,BL287786
CS22553,BN214288
DH44127,EF100296
BL127802,DN72617
DB235761,AG35227
AA160660,BH82959
CW761910,CW456089
CW157844,CW759424
EH1193120,EM78255
EH321532,EH288788
AM62502,DH36384
AL169362,AL169362
DR119640,AX14269
BJ33874,BE375105
CW23027,ES8811
EM99859,EH1027144
CW704699,CW582593
CW317430,EH402324
CW313162,CW602026
EH554130,EH818103
CW589508,DH35407
EH169937,EH713403
DL254223,DA94866
DL170866,DL170866
CW247713,CW674321
CN76262,BL519779
DR105769,BY512366
AN128412,AN128412
BY5723,EH169521
EF177538,BB117664
EH164490,AP85597
EH241876,BL433475
EL84696,EM130147
BL461391,BL221662
CP14020,DT28989
DK31805,DE166091
EH392334,EH741121
BP39837,CT22254
BE159336,BE159336
EA37759,EL27176
BB46564,DX33847
EF6686,EF6686
AN77849,AN60514
BH42675,DE156365
CA121848,CW476427
AK113064,DN131844
CW295139,CJ75773
CW416158,CW1049697
AA75035,AA75035
BH171852,BM43262
CW767325,CW381870
CN59157,CN59157
CW517329,CW1031628
EH423281,EH515404
