globalID_A,globalID_B
EL63165,EL63165
DB155053,DE185112
DS76846,BM46494
BY530781,BY309369
BY484298,BY270034
DH33738,EG35557
AL172802,AL172802
EH870816,EH870816
BY122059,DZ63008
BL178388,BL138829
CW55962,CW55962
CW17209,CW17274
EH646991,BF13511
CW863409,CW863409
EM48430,AA48440
AP33682,DZ37706
BC47466,BL269838
DR68700,DR18756
DH46486,DH46486
BL417902,BL417902
BN411274,CG108761
CW1123042,CW104002
AA160957,AA160957
EM71250,AF28718
AG8156,AG8156
EH303460,BG16742
BN32681,BN51339
CF6467,CF6467
AG54716,AG54716
AL283971,AL283971
CS22828,DR61985
EH1157055,EH98619
CW518629,CW518629
AE16597,AW122424
AM85720,AM85720
AD22128,AD22128
EH363478,EJ3148
CW1067849,EL77782
CW848225,CW318611
EB62548,CC113869
DB62953,CC31247
DD112074,DD112074
CW558045,CW613922
CW1024308,AW98653
BZ17465,BZ17465
BL178388,CW879595
AL307327,AL307327
EH282505,EH302467
DP44349,DP44349
DA101146,CS30949
DS100491,DS100491
AL335370,CM20656
AB17771,AW116506
CW783615,CW1296798
AL47071,AW9625
CW1013468,CW470885
CJ85686,DZ22596
BJ36915,BJ36915
EH397555,DR94175
BE69259,BE186127
AW131021,AW131021
AM42947,AM61855
CW1007032,CW600583
BN419332,BN419332
BY74091,BY179017
BM5906,BM5906
EM103312,EM103312
DL215300,DL215300
AP55497,AP55497
BY325860,BY323673
CW183899,CW183899
DB246251,CH50966
AW89260,AW89260
EH828746,EH828746
DH33738,BL397259
BE281276,CM59685
AA193097,AA193097
AL184608,CG47281
DK26119,DK26119
AS80064,AS80064
AE16597,CN45217
BL433459,BL433459
CL48076,CY21303
CW26406,CW26406
AW165443,DD207410
AB25699,AB25699
CW1282509,CH15235
BR115775,BH135289
BY69826,BY97529
CH51923,CH51923
DB159765,DB136952
AK61851,BL230092
DT5009,DT5009
EH293702,DR61675
AN27611,AN27611
CW297971,CW224804
DD202483,DD202483
DK19221,AX42915
DB119814,DB119814
AL226912,CW357266
EH568057,CC58478
DD112468,DD79620
AB37316,EM89726
CW373080,CW94323
EP60452,EP60452
AN122319,DL164955
DD95451,EH496373
BY689798,BY689798
DX15051,DX15051
BE174993,BE205682
EH515748,DE218898
CW797584,BN285004
DL38872,AW82801
AL261288,CW925849
BR155360,BR155360
DE240154,DE305353
DE101033,EH485166
AS17280,ED3446
AS67205,AS81200
CY29652,CY29652
CW758122,EF69277
DS94592,AS14280
BL497251,BL497251
BR195045,EA35260
CA29791,AS12397
EH390626,BR93937
EB69142,EN35127
EH171287,EH1303021
CY32092,CY32092
BW56516,BW56516
DR76091,AH9678
DY38836,DA99891
DT29550,BC30516
AW210401,AW210401
DE97259,DE97259
AJ42659,AJ42659
DL90908,BD16531
CG193993,AJ33266
CW674598,CW421552
AS74778,AS74778
DB182074,DB182074
BY514730,BY514730
DB124955,BH184479
DL92800,DL92800
CW905961,CW571823
EP90416,EH431108
DS110480,DS75382
CG10880,CG10880
AL246516,AL246516
BH12664,BH12664
BN313339,BN313339
DZ18814,EF211874
CN13488,CA48363
CW509516,CW509516
EB56518,BE430543
BN66177,BN124419
CA79888,CA79888
CW655811,CW199905
CW749468,CW749468
DN79211,AK57668
BH184408,BH184408
ER35336,ER35336
BN351967,BN351967
EK18353,EK18353
BP62854,EH354506
CW779817,CW286340
BH97702,BH97702
CG136352,DB130077
BE39238,BE39238
AN125495,BH119024
BR136456,CB59773
BH93316,BH154092
AL183305,AL183305
BE192563,BE225119
CW685262,CW645988
AL34470,AL34470
EH765344,BE206336
DE230305,AM74690
CW597292,CW939564
CC95186,CC129167
EH1064128,DL199216
EH522232,CJ84152
DB285649,DB285649
AL71323,AL39498
DL184707,DL184707
BY23499,BY23498
CE33254,EH927551
DB259359,DB249446
CW951919,CW983999
BZ69598,BZ69598
CL53028,BB63180
BY22196,BY594730
ER27172,AN117350
DA119704,DA119704
BD86740,BC30516
BL398896,BE472345
EH343114,EH343114
CG143089,CG143089
CC63778,CC63778
DL15308,DL15308
DB333891,DB222445
CW901299,CW873079
BK12249,CB67405
CW349223,CW390766
BY82469,BY82469
BR152303,BR152303
DN135602,DN95079
CW261076,CW446366
EK22691,EK22691
AP62415,AP62415
DR89025,DR89025
AN48479,AN82519
AA36026,AA116448
BY102243,BY205171
DN3369,DN3369
CG164560,DL265385
CM75600,CM75600
EH305604,EH305604
CW72551,CW332117
DS68568,CJ84636
EH1217176,EH1017152
AL50677,AL50677
AK110778,AW104861
AL78362,EF106228
CP50377,CP50377
DC18333,DC18333
CW667404,CW667404
DR94354,DR94354
AK108990,AK27972
EP102069,EP102069
CW93112,CW494839
CJ35795,EF100296
CS33829,CS33829
AW196736,AW75312
EH1023322,EH1023322
BN60812,BN73658
BL75123,DT18206
EP85338,CE28886
CW874605,AN117936
CW939815,CW939815
EH639090,EH639090
AN157578,DT91387
BZ71605,BZ51642
BL461254,CH26749
BY554848,AS12397
BY25167,BY25140
AA101523,DN41692
EG3960,AL68785
EH59715,EA2157
CZ40285,AW48799
DZ65094,BN191414
BZ29275,DF6026
AX6117,AX6117
BY672063,BY614260
EH972163,EH972163
BN203627,BR202540
EH43014,EH43014
AS25962,BN226564
DP41515,DP41515
BN494219,BN494219
EH1204208,EH1204208
EN72244,EN72244
CB16992,BA9989
CW121000,CW820416
BL338651,BL338651
CA47322,CA98729
CW666023,CW460988
CA27105,CA27105
DZ13036,DZ13036
CC98529,CC98529
CW1220307,CW1253840
CB69298,CB69298
BY178802,BY376175
AG45307,CA113202
DB244892,DB244892
BB18986,BB18986
BE17299,BE61444
DZ65094,BG16906
