globalID_A,globalID_B
CW1021824,CW398669
CW1098151,CW255097
EH1062395,EH1062395
BY484298,BY270034
BL64079,BW22332
CW500842,CW582232
BL32387,CA77695
ED4064,ED11345
EH406583,EH132080
DE55589,DE55589
CW896146,CW859559
BE331579,BE440105
CT24903,CT24903
BP48284,BP48284
CW666524,CW408450
CW973639,CW928167
DL80766,BY182796
CW1021824,CW1106502
BH24125,BH24125
CB24091,EP72146
CW99478,CW99478
EH710463,EH553334
AA45218,AA36703
AL57748,AL106065
EH896167,BL413608
EH585351,EH585351
DE328188,DE328188
DJ13190,DJ13190
EG39359,BN296078
DR63471,DR63471
CW527053,CW734473
CW1007032,CW600583
DL184974,DL184974
DE212083,DE212083
BR37764,BR58804
DA50942,DA50942
DC25684,DC25684
AA193097,AA193097
AL100628,AL100628
EL63388,EL63388
DT134409,DT134409
EM105433,EM105433
BL433459,BL433459
AL56290,AL56290
BE144544,BE144544
AR16012,AR16012
CG159386,CG159386
AN160664,AN160664
CW78417,CW647740
CW768413,CW768413
EH651093,EH651093
BY587485,BY415256
CW431406,CW61953
BY675237,BY675237
CW1011949,CW654896
BE395387,BE445385
BL322975,BL322975
BS6734,BS6734
DD150046,DD122956
CW1153432,CW1223807
BY636136,BY636136
CW906865,CW1204000
BK14738,BK14738
BL298121,BL298121
BL353045,DL203168
AW16138,AW59962
AL60739,AL104882
AL196418,AL29151
CW476070,BR169955
CG133187,CG105519
CW585240,BR129238
EH186317,EH363741
BN318758,BN318758
BY552794,BY524371
CW1055893,CW1055893
BZ33303,BZ33303
DR107964,DR68349
BY509197,BY149626
CJ180866,CJ180866
BR171006,BR171006
DH56057,DH56057
BY106570,BY392291
CW1067805,CW1068895
BN157081,BN15521
AW210401,AW210401
CW1010123,CW1010123
EB54573,EB54573
EH1128123,EH1128123
ER17295,CP4198
BR147301,BR147301
CJ72768,CJ72768
BD8217,BD8217
DS110480,DS75382
BY424841,BY424841
BY33947,DL70220
CZ62400,DS97328
BY201235,BY104007
EH977127,EH977127
BN313339,BN313339
BY683405,BY424841
BN109801,BN62102
BN259763,BN259763
CW864564,CW908588
