globalID_A,globalID_B
EH165749,EH165749
DR81938,DR93149
BY527776,DB171625
AL208077,AL228383
CW549185,CW549185
EH1188661,EH968953
BR124940,AX71690
CB28470,CB63512
CW168139,CW70360
CW951919,CW1328479
BY551551,BY551551
CW1050993,CW1207974
DN93603,EH431830
EH1219523,EH1219523
CC88093,CC88093
BH6503,BH6503
DL242076,DL242076
BN365996,BN365996
EH646991,BF13511
AA147008,BK38855
AB37048,CW798355
CJ56898,CJ24432
EM48430,AA48440
DB255924,EM85414
DE275792,AX55080
AM37972,AN52092
CW252880,CW721741
BZ49396,BZ49396
BE221549,BE221549
DB60959,DB60959
BL293491,BC42004
CW485458,CW796355
DR68908,DR68908
CZ53412,DE92050
AL283971,AL283971
DB206026,CW975134
CA91133,DD119232
AM40023,EH680124
EN69441,EN69441
CC53510,CB53528
DB285243,EH1299646
CW1024308,AW98653
BZ17465,BZ17465
BW37017,BW53192
CW1300587,EN77356
CJ35448,BH168107
AN122113,CW720775
CW974582,CW1329056
BT11949,EH1114168
CW877849,CJ211683
CW762165,CW172263
CW925747,CW925747
BE272647,BE262110
EH536622,DL166992
AN176040,AL219648
CW686133,BZ36519
CW676989,CW378060
EM104516,CB77432
EH854439,EH854439
EB34098,CA90184
EH890578,EM108788
EH397555,DR94175
CA92631,CW75567
EH405491,EH662837
EH462808,EH462808
CH41467,DB13402
CW123085,CW154717
CW438707,CW340776
AP55497,AP55497
EH570040,AT16946
EH285265,EH316924
BR192583,BR140083
CW710812,CW602202
BY85907,BY130505
BR111812,CH17032
EH981634,EP84986
EH509536,EH440140
DB333241,DB86036
DL208079,BW31493
BN339855,CD26640
CG167067,DD96032
EH1040533,EH1040533
DD113887,DD145423
CL49610,BN293437
DB206031,DB115427
BN157300,DN48668
EH366954,EH238034
DS107356,DL124411
BK10331,CW184004
BY433214,BD99588
DZ57823,EH999060
CW993501,CW885278
BL385307,BL385307
AA117057,AA109112
CW561659,CW809749
DL240762,AP4941
CW365823,BP27446
AN74608,EH1234003
CW682124,CW533290
DD123481,DD123481
AB37316,EM89726
EH213052,EB38438
BY689798,BY689798
CM54342,CM59927
BD89443,BD89443
CW692080,CW690720
DR97753,DR97753
CW340118,CW266150
EH489266,DE269401
BG7935,BG7935
DB312947,BA16092
CJ32494,BH86355
BY469121,DN111057
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
CW517873,CW1292564
ES14361,CG106828
CN86136,AZ17600
EL68179,AN145151
CW273810,CW523292
CW674598,CW421552
EF105615,BJ15683
EH281382,CP15843
BY379075,DD175122
BY353127,BY102013
DL92800,DL92800
CW81598,CW179470
AL71882,EH428116
EH105759,EH332023
DL231341,CW751076
CA66987,BR51277
CW498346,CW491199
AA113631,BY327461
CC107828,CC151227
CW405250,EH875689
AA210000,AA69260
DE265680,DE265680
AL122142,AL122142
EH752482,AM11426
DL218553,BH52256
EH777247,DN132564
DR25408,DR25408
AK157341,AK157341
DA77505,DH43701
AL32880,AL32838
EM121654,EM121654
AX57450,DE201045
DB241558,DB132001
DE318098,DE314993
CA30275,EL13836
