globalID_A,globalID_B
DR81938,DR93149
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
DH44127,BY272701
BL521995,AL255328
DN93603,EH431830
EH1219523,EH1219523
CC88093,CC88093
BN365996,BN365996
CJ56898,CJ24432
DB255924,EM85414
DE275792,AX55080
AM37972,AN52092
CW252880,CW721741
BZ49396,BZ49396
DB60959,DB60959
BY436493,AA69206
DR68908,DR68908
CW754562,CW1259043
CZ53412,DE92050
BE329908,BE141599
CW629462,AA107809
EN69441,EN69441
CW605413,CA105657
CW486914,BH106405
DB285243,EH1299646
BZ17465,BZ17465
CW974582,CW1329056
BT11949,EH1114168
CW925747,CW925747
BE272647,BE262110
BG16026,CK9827
BY511276,BD72879
BR164078,ED33169
EB34098,CA90184
BN411274,BH71466
EF54822,EN38218
CZ33252,DE293591
EN50049,BX20950
AM73402,CW253569
DH37729,CN61179
CH41467,DB13402
CW438707,CW340776
DR56090,DL95209
DE119609,BN358757
DH33738,BL397259
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
BY85907,BY130505
AE16597,AS17045
EH1038740,CC51400
DB67469,DB252153
DB333241,DB86036
BW33326,EH750206
EH1040533,EH1040533
CG201613,CW846716
BN157300,DN48668
EH366954,EH238034
BY606402,BY511422
DL198943,AS46613
EP64728,DB136952
ER27172,BN239361
BL385307,BL385307
CW561659,CW809749
EH544854,BJ29186
CW682124,CW533290
DD123481,DD123481
EH302433,EL31786
EA20728,EH422695
CB67822,BR239904
EH213052,EB38438
AN122319,DL164955
BY689798,BY689798
CM54342,CM59927
EH189113,AW128430
BD89443,BD89443
DR97753,DR97753
CW340118,CW266150
BE161496,BW48570
DE163530,DB168725
CW111512,CW249652
CJ32494,BH86355
EH1239589,CC25297
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
ES14361,CG106828
CW273810,CW523292
BL168369,BC28587
CW674598,CW421552
BY379075,DD175122
DL92800,DL92800
CW81598,CW179470
DB195347,DX46401
CW498346,CW491199
BE355597,BD154053
EH697639,AL228231
AA113631,BY327461
BL325563,BA9867
EM28207,BS8488
CC107828,CC151227
EH187575,AA196017
AA210000,AA69260
DE265680,DE265680
AL122142,AL122142
EM111417,DR90952
AL32880,AL32838
BN553104,CJ131524
DB241558,DB132001
DE318098,DE314993
CA30275,EL13836
EN37930,DS67920
CW806772,CW520784
ES4636,BN404963
EH495025,CZ63532
DX59832,EH149027
BR90682,CW172263
EP77188,AN146282
BL391927,CW724104
BY265178,BY426715
BD99432,BD58659
BY378905,DD127318
CB53352,DP44759
DX45629,AR5782
BP67398,CL38948
EH458323,DE218898
BL476954,BY377296
BL334866,BL334866
DZ57823,AN54103
EH667782,DE276047
CW498885,BL330406
CW908668,CW879595
CW1019452,BL403518
AK58633,DB158546
CW884962,CW1173415
AL237708,DN101806
BY398200,BY27454
CW872142,CW648514
BB99804,EH884343
EH787662,EH787662
AA151692,AA141177
BL420826,CW297944
DZ26083,DL118221
AN136043,AM78765
DB176793,DB195326
BE116703,BE175797
BH165395,EH581167
CL23948,AD8656
BN112715,BB36111
DE207257,BB115995
BE195441,BL290404
CW617186,DL143055
EP85338,CE28886
DZ62354,DB132315
DT103618,CW472230
AL174964,CW342607
BP19820,CP27229
BP27499,CG83538
CS22553,BN214288
BL127802,DN72617
BW55753,DD216114
DN52146,DB147421
CN21106,CW722936
DB235761,AG35227
AA160660,BH82959
CW761910,CW456089
CW157844,CW759424
EH1193120,EM78255
EH321532,EH288788
EH695754,DE92770
AL169362,AL169362
DR119640,AX14269
BJ33874,BE375105
AL301969,EH1252520
CW23027,ES8811
CW317430,EH402324
CW313162,CW602026
EH554130,EH818103
CW589508,DH35407
EH169937,EH713403
AL185428,CG83163
DL170866,DL170866
EM21318,CG153353
CW247713,CW674321
CN76262,BL519779
BY436493,DB161188
AN128412,AN128412
AS76957,BR162626
BY5723,EH169521
