globalID_A,globalID_B
DR81938,DR93149
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
CZ115373,CW1337673
DH44127,BY272701
DH33738,EG35557
BL521995,AL255328
DN93603,EH431830
EH1219523,EH1219523
CC88093,CC88093
BN365996,BN365996
AA147008,BK38855
CJ56898,CJ24432
DN94633,AS87974
EP85338,DL199984
BZ49396,BZ49396
BH151931,AL167940
DB60959,DB60959
BY436493,AA69206
DR68908,DR68908
CZ53412,DE92050
BE329908,BE141599
CW629462,AA107809
DB206026,CW975134
EN69441,EN69441
CW486914,BH106405
BP38329,BN322055
DB285243,EH1299646
BZ17465,BZ17465
BW37017,BW53192
CW974582,CW1329056
BT11949,EH1114168
CW925747,CW925747
BE272647,BE262110
EH536622,DL166992
DL241511,BN474709
BY511276,BD72879
CZ33252,DE293591
EH405491,EH662837
DH37729,CN61179
EH570040,AT16946
DH33738,BL397259
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
AE16597,AS17045
AH16932,DE116694
DB333241,DB86036
EH1040533,EH1040533
BD132552,DT85352
CW491033,AA143809
BN157300,DN48668
EH366954,EH238034
DS107356,DL124411
BK10331,CW184004
BN317657,BM26019
ER27172,BN239361
BL385307,BL385307
CW561659,CW809749
EH544854,BJ29186
CW682124,CW533290
DD123481,DD123481
EA20728,EH422695
CB67822,BR239904
AN122319,DL164955
BY689798,BY689798
CM54342,CM59927
BD89443,BD89443
DR97753,DR97753
CW340118,CW266150
BE161496,BW48570
CJ32494,BH86355
EH1239589,CC25297
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
ES14361,CG106828
CW273810,CW523292
CW674598,CW421552
EH281382,CP15843
DL92800,DL92800
CW81598,CW179470
DB195347,DX46401
CW498346,CW491199
EH697639,AL228231
AA113631,BY327461
BL325563,BA9867
EM28207,BS8488
CC107828,CC151227
AA210000,AA69260
DE265680,DE265680
CZ37587,CW309286
AL122142,AL122142
EH752482,AM11426
AL32880,AL32838
BN553104,CJ131524
DB241558,DB132001
DE318098,DE314993
ES4636,BN404963
EH370875,AK167350
EH495025,CZ63532
DX59832,EH149027
DS72058,BE174423
BY265178,BY426715
BD99432,BD58659
BY378905,DD127318
EH458323,DE218898
BL476954,BY377296
BL334866,BL334866
EH667782,DE276047
CW908668,CW879595
BD124063,BY608353
CW1019452,BL403518
ES14141,CL34680
AK58633,DB158546
CE52720,EH1217505
AG47395,BL530731
CW884962,CW1173415
AL237708,DN101806
BY398200,BY27454
CW872142,CW648514
EH787662,EH787662
AA151692,AA141177
CT30695,AL112656
DZ26083,DL118221
AN136043,AM78765
DB176793,DB195326
CL23948,AD8656
EH1050557,DX55665
BY554848,DZ34820
BL231586,DL90739
BE195441,BL290404
CW457984,BR3520
EP85338,CE28886
BZ43113,BL287786
BP27499,CG83538
CS22553,BN214288
BL127802,DN72617
DN52146,DB147421
DB235761,AG35227
AA160660,BH82959
CW761910,CW456089
CW157844,CW759424
EH1193120,EM78255
EH321532,EH288788
AM62502,DH36384
AL169362,AL169362
CW908668,BZ22255
CW23027,ES8811
CW704699,CW582593
CW317430,EH402324
CW313162,CW602026
EH554130,EH818103
CW589508,DH35407
EH169937,EH713403
DL254223,DA94866
DL170866,DL170866
EM21318,CG153353
CW247713,CW674321
CW272055,BL317705
CN76262,BL519779
AN128412,AN128412
BY5723,EH169521
EH164490,AP85597
EH241876,BL433475
EL84696,EM130147
CP14020,DT28989
BE159336,BE159336
BB46564,DX33847
BN400668,BN400668
EF6686,EF6686
AN77849,AN60514
BE69259,BZ33062
AT26381,EH880361
CW416158,CW1049697
AA75035,AA75035
CW767325,CW381870
CN59157,CN59157
CW517329,CW1031628
CC102309,CJ128494
EH423281,EH515404
BR72971,EH919673
EH794622,EH322447
CH53126,CH53126
BR79693,BC30516
BG30812,BG30812
CA100715,CA100715
BG21138,BN332003
CZ64380,CC85882
CW289305,CW251972
