globalID_A,globalID_B
CW383914,CW245310
BY165918,CD12343
EH1316870,EH1316870
BY151960,BY151960
CW918486,CW918486
BL334719,BL334719
CW365058,CW886560
CZ68029,CZ68029
CW115096,CW115096
CW319145,CW974765
BY531704,BY529724
DZ56302,DZ56302
CW1199425,CW545993
CW1041697,CW610317
EH118547,EH118547
DE55875,DE223323
CC122092,CC122092
EH556585,EH556585
EL28028,EL28028
CW457722,CW457722
CW637115,CW637115
DL130039,DL196722
BL342522,BL342522
DX57928,DX57928
CW518629,CW518629
CW1067849,EL77782
EH173623,EH173623
CL49159,CL49159
CW896332,CW462230
CW1133838,DE244033
BC62925,BC62925
CW111175,CW78391
EH378291,EH972628
DX26275,DX26275
BL349410,BL349410
DB232628,DB232628
AA49632,AA26224
EH1124168,EH1124168
CA105733,EL73846
CW259451,CW407343
BD118351,BD118351
BW45817,BW45817
CW585430,CW661667
BD128610,BD128610
CW198229,CW198229
BW57225,BW57225
EH642364,EH642364
CW808452,CW808452
BR94177,BR94177
BB95698,BB95698
AL155807,AL155807
BB97032,BB97032
DB243508,DB237181
EH828746,EH828746
CW83755,CW342722
CH24001,CW486769
AB32120,CN57284
CC136190,CC136190
DS65803,DS65803
EH990812,EH990812
BN336585,BY390879
EH804038,EH804038
BL302256,BK19920
BN265698,BN205495
AP97067,AP97067
EH171189,EH171189
CW42618,CW41910
EP74856,BY568681
DB128461,DB128461
EF80341,EF148851
BY431141,BY423471
EH73103,EH150210
AL265500,AL265500
CW477316,CW251338
BN295747,BN76408
BY277184,BY277184
AK4359,AK4359
CW890603,CW1007548
DD160802,EH994555
CW899267,CW899267
AN230245,AN230245
DA67913,DA67913
CW84693,CW58868
CW314113,CW886560
CW741168,CW1097082
BY417231,BY417231
DT96032,DT96032
BD137298,BD137298
BL309039,BL309039
CW69842,CW73355
AN159245,AN159245
CW319145,CW313986
CW198601,CW699272
CY22320,EF70948
DL193456,EH811048
AG50361,DH44516
BH139862,BH139862
DE206784,CW131165
EH161084,EH185624
BE192742,BE77126
BE55991,BE135948
DD96625,DD96625
DX13005,DX13005
AN126565,AN126565
BN417221,BN417221
BE363367,BE363367
DB103490,DB103490
BY514730,BY514730
CW906990,CW1161543
CA124955,CA124955
AA133612,AA133612
EH864691,EH864691
CW236386,CW584474
CW976327,CW976327
BG7327,BZ19777
EH874774,EH874774
ER35720,ER35720
EH411601,EH411601
DA4704,DA4704
CW234986,CW234986
AS39453,AS39453
CW1063360,CW1063360
EH54721,EH54721
CW1122349,CW1122349
CW819777,CW1083159
EM104893,EM104893
CW874960,CW881565
DN79211,AK57668
BE263431,BE235706
CW383914,CW289965
EH894653,EH1129810
CM49061,CM13599
AL196362,AL196362
DT67849,DT67849
AT2856,AT2856
BN286167,BN163861
AW195161,AW195161
BN118173,BN138007
CW411399,CW779973
BL6881,BL19584
AA97132,AA97132
CR9226,CR9226
BW26876,BW26876
BE323617,BE394084
BE429682,BE429682
AL230449,AL230449
EB2943,EB2943
DE254031,DE254031
CW705410,CW705410
CW367578,CW607245
BN318714,BN318714
DR120235,DR120235
EH429951,EH80250
CW240237,CW904054
CW146946,CW1100090
CW915809,CW1179668
DL15308,DL15308
EF163638,EF163638
AT20417,AG17940
BL25789,BD103187
CH36581,CH36581
BR22957,BR22957
AN128660,AN128660
CW599171,CW599171
BY475564,BY390361
EH312208,EH353088
BE27382,BE27382
BM25593,BM25593
DD187750,DB237181
BY445649,BY715002
BJ27089,BJ27089
DE185203,DE185203
CW1368714,CW223164
DB314367,DB54347
EH843267,EH843267
CN75514,CN75514
CW117115,CW81788
CW975190,CW489212
