globalID_A,globalID_B
DR81938,DR93149
BY527776,DB171625
CW549185,CW549185
EH1188661,EH968953
DH44127,BY272701
DS66719,EH130659
DH33738,EG35557
BL521995,AL255328
DN93603,EH431830
EH1219523,EH1219523
CC88093,CC88093
BN365996,BN365996
AA147008,BK38855
CJ56898,CJ24432
AM37972,AN52092
BZ49396,BZ49396
DB60959,DB60959
BY436493,AA69206
CT30695,CW1090658
DR68908,DR68908
CZ53412,DE92050
BE329908,BE141599
BY508170,BY312578
CW629462,AA107809
DB206026,CW975134
EN69441,EN69441
CW486914,BH106405
BP38329,BN322055
DB285243,EH1299646
BZ17465,BZ17465
CW974582,CW1329056
BT11949,EH1114168
CW925747,CW925747
BE272647,BE262110
EH536622,DL166992
DL241511,BN474709
BY511276,BD72879
EB34098,CA90184
AL17775,BE425279
CW123085,CW154717
DR56090,DL95209
EH194386,CW515155
DH33738,BL397259
BE281276,CM59685
BR192583,BR140083
EH917959,CE27208
CW710812,CW602202
DB135981,DL155551
BY85907,BY130505
DB333241,DB86036
DS113175,EA56638
EH1040533,EH1040533
BN157300,DN48668
EH366954,EH238034
BR180840,AL80839
DS107356,DL124411
DL198943,AS46613
BK10331,CW184004
BN317657,BM26019
EH1021567,EH1021567
BL385307,BL385307
DA66105,CH47173
CW561659,CW809749
CW682124,CW533290
DD123481,DD123481
EA20728,EH422695
AN122319,DL164955
BY689798,BY689798
CM54342,CM59927
AA136491,AN157171
EH189113,AW128430
BD89443,BD89443
DR97753,DR97753
CW340118,CW266150
CW158504,AL165882
DE163530,DB168725
CJ32494,BH86355
EH1239589,CC25297
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
ES14361,CG106828
CW273810,CW523292
EH883512,EH979324
CW674598,CW421552
DL92800,DL92800
CW81598,CW179470
CW517873,BR109620
DB195347,DX46401
CW498346,CW491199
BE355597,BD154053
EH697639,AL228231
AA113631,BY327461
BL325563,BA9867
EM28207,BS8488
CC107828,CC151227
CJ10702,CP24437
AA210000,AA69260
DE265680,DE265680
AL122142,AL122142
EH752482,AM11426
EH777247,DN132564
AL246354,CC112727
AL32880,AL32838
BN553104,CJ131524
DB241558,DB132001
DE207257,BL519779
BE355597,CA91688
DE318098,DE314993
CA30275,EL13836
CW806772,CW520784
DH57508,DA50351
ES4636,BN404963
EH495025,CZ63532
DX59832,EH149027
EP77188,AN146282
DN128596,AW183431
BD99432,BD58659
BY378905,DD127318
EH458323,DE218898
BL476954,BY377296
BL334866,BL334866
EH667782,DE276047
BL398896,BE472345
CW498885,BL330406
DE190886,DE228203
CW908668,CW879595
EH436536,AL155616
CW1019452,BL403518
DN142787,EH528673
AK58633,DB158546
AG47395,BL530731
CW884962,CW1173415
AL237708,DN101806
BY398200,BY27454
CW872142,CW648514
BB99804,EH884343
EH787662,EH787662
CW558110,CW116887
AA151692,AA141177
CT30695,AL112656
AN147409,CW1112290
EH623759,BL316995
DB176793,DB195326
EH546893,CJ84152
CJ118400,BR11618
BE195441,BL290404
CW457984,BR3520
BZ43113,BL287786
BP27499,CG83538
CS22553,BN214288
DH44127,EF100296
BL127802,DN72617
DN52146,DB147421
DB235761,AG35227
AA160660,BH82959
CW761910,CW456089
CW157844,CW759424
EH1193120,EM78255
AM62502,DH36384
CA66987,AG56103
AL169362,AL169362
DR119640,AX14269
CW23027,ES8811
CW704699,CW582593
CW317430,EH402324
CW313162,CW602026
EH554130,EH818103
DZ65094,BG16906
CW589508,DH35407
EH169937,EH713403
DL254223,DA94866
DL170866,DL170866
CW247713,CW674321
CN76262,BL519779
AN128412,AN128412
EH164490,AP85597
EH241876,BL433475
EL84696,EM130147
BL461391,BL221662
CP14020,DT28989
DK31805,DE166091
EH392334,EH741121
CS21633,EH539969
BE159336,BE159336
CW519896,DP40847
BL513905,BY521083
BB46564,DX33847
BN400668,BN400668
EF6686,EF6686
AN77849,AN60514
