globalID_A,globalID_B
EL63165,EL63165
DS76846,BM46494
CJ41519,CJ204581
CE39373,AM89605
AL172802,AL172802
EH870816,EH870816
BY122059,DZ63008
BL178388,BL138829
CW55962,CW55962
EH646991,BF13511
EM48430,AA48440
BC47466,BL269838
DR68700,DR18756
DH46486,DH46486
BL417902,BL417902
CW1123042,CW104002
AA160957,AA160957
BJ25609,BJ42851
BR14715,CW124933
CF6467,CF6467
AL283971,AL283971
EL58895,BR209292
EH1157055,EH98619
AM85720,AM85720
AD22128,AD22128
EH363478,EJ3148
CW848225,CW318611
BN353928,AK58017
CW558045,CW613922
CW1024308,AW98653
BZ17465,BZ17465
BM10410,DH44286
DZ52607,CW570953
DP44349,DP44349
DA101146,CS30949
DS100491,DS100491
EH397555,DR94175
AL279828,EG44459
CW391677,AL185729
BM5906,BM5906
DZ43624,CL28370
AP55497,AP55497
CA50488,AH7788
DH33738,BL397259
BE281276,CM59685
AA193097,AA193097
DK26119,DK26119
AE16597,CN45217
BL433459,BL433459
CW26406,CW26406
BY69826,BY97529
CH51923,CH51923
CZ42908,CJ35714
BY433214,BD99588
CH46518,BJ30001
AL226912,CW357266
AB37316,EM89726
DR40078,DR56457
EP60452,EP60452
AN122319,DL164955
DB112866,DB120428
BY689798,BY689798
AW51606,AW40221
EH515748,DE218898
AY2466,DE231040
DL38872,AW82801
DE240154,DE305353
DE101033,EH485166
AS17280,ED3446
EM53261,CG67378
EB69142,EN35127
BW56516,BW56516
DY38836,DA99891
DT29550,BC30516
AW210401,AW210401
DE97259,DE97259
AJ42659,AJ42659
CG193993,AJ33266
DA70469,CG72919
CW674598,CW421552
AS74778,AS74778
DB182074,DB182074
DB124955,BH184479
DL92800,DL92800
CG10880,CG10880
BH12664,BH12664
BN313339,BN313339
DZ18814,EF211874
CN13488,CA48363
CW655811,CW199905
CW749468,CW749468
ER35336,ER35336
EK18353,EK18353
BE39238,BE39238
BR136456,CB59773
BH93316,BH154092
CW318050,CW1317428
AL183305,AL183305
CW685262,CW645988
DE230305,AM74690
CC95186,CC129167
EH522232,CJ84152
DB285649,DB285649
BY23499,BY23498
CE33254,EH927551
DB259359,DB249446
BZ69598,BZ69598
BL398896,BE472345
EH263313,EH21053
CG143089,CG143089
CW901299,CW873079
CW349223,CW390766
AB22685,CG56670
AP62415,AP62415
DR89025,DR89025
AA36026,AA116448
BE42025,DZ27309
DN3369,DN3369
EH1123804,CG145830
CM75600,CM75600
CL23948,AD8656
AL78362,EF106228
DC18333,DC18333
AL153239,AL237647
EH648814,EH253964
DR94354,DR94354
AK108990,AK27972
CW93112,CW494839
BN60812,BN73658
EP85338,CE28886
EH828746,DX58838
CW939815,CW939815
EH639090,EH639090
EL14853,EL74827
BL461254,CH26749
BY554848,AS12397
EH59715,EA2157
BY672063,BY614260
EH43014,EH43014
EH1204208,EH1204208
EN72244,EN72244
CB16992,BA9989
CA47322,CA98729
CA27105,CA27105
EM99859,BR174150
CW1220307,CW1253840
CB69298,CB69298
DB244892,DB244892
DZ65094,BG16906
EG50355,CG134870
DL254223,DA94866
EF129842,EM14531
BL343988,EM88729
AG34040,BY211867
CG17609,BH114410
DS55362,DS57773
BL461391,BL221662
DB253460,DE10509
EM101498,EM101498
EB14878,EB14878
DA87354,BM58816
BE159336,BE159336
AB8599,AB8599
DK32774,AS56685
CW125848,CW125848
AL290298,AL290298
EG34410,EJ15594
BD16359,BD82439
EJ11801,BD65249
DT140487,DT140487
CW190875,CW110902
DT132527,DT132527
DK42426,DK42426
DT74242,DT60292
DL100258,BR70679
BR79693,BC30516
BE339797,DR18357
BY114107,BY231591
BL168369,BL105599
BN388920,BN388920
EH1027469,EH1027469
AN40864,AN40864
BY526410,BY526410
EM45653,BH114004
BR131103,EH463243
CW110264,CW1263259
BJ11304,AA69206
AL184608,CW703466
CW1127559,CW1127559
DT120251,DT133257
EH236514,EH164748
BE156922,CW525422
AJ39826,BE299028
BN334881,BN341904
CA47201,CA60338
ED48033,ED48033
BZ44311,BZ44311
EH828480,EH500913
ER42642,CM23507
AX39577,DX31441
BB54577,DS78905
DE203794,DE194272
BK38167,BK38167
CL53918,CL53918
EH214495,EH214495
BY565240,BY202439
CW1095522,CW174187
DT143213,DT143213
BY630746,BY630746
DR49636,DR49636
BL112816,CW418177
BR119537,DA68996
AS63479,AS63479
CW847903,CW847903
CW673530,CW673530
BE140875,BE17967
BD86740,DN146390
AW136357,AA93739
CW144184,CW337298
AL12102,AL12102
CW1111344,CW1107665
DW32456,BY272701
BD50597,AP51678
AN157578,BR218797
CW17622,CW17622
CW754591,CW477572
CW66964,CW66964
DA87354,EB45789
CJ67509,CJ102000
EH828717,EH828717
DT144694,DT144694
BL159157,BL113350
AW100633,AW101954
DJ7884,DJ7884
BR114282,BR204278
EB18643,EB18643
CW366160,CG60805
BN391259,BN391259
CW340120,CW363076
EH669984,EH432943
DD35153,AP17480
BE366891,CE35446
EH132050,EH132050
AS53365,AS57951
CW1121713,CZ75035
BW9230,BW5309
EH10792,EH10792
DS76846,CW527932
CW1024756,CW732623
CW356742,CW356742
EG38598,EG38598
AW105575,AW105575
EH174163,EH174163
BY611253,BY611253
EH239641,EH474890
BL257838,DX16949
AA165816,AA124849
CW1022632,DZ68091
DR86193,DR86193
CW182635,CW257892
DT114181,DT44363
CW854258,CW1329685
CM28817,CM28817
BN414804,BN414804
BL382944,BL382944
CW397643,CW252898
BL350936,BL350936
CW527833,CW1260612
BE377156,BE377156
DZ51580,DZ51580
BN410856,BN410856
BZ63610,BZ63610
DL76798,AN104562
DS41188,DS41188
BR20471,BR20471
EF109607,EH534928
CJ12521,CJ41175
BN414474,CG147409
BM48684,DA64283
DL252217,DL210151
EN38519,AM84042
DT67316,DF11150
BY447003,BY412136
DL244193,CW1344389
AL283847,CJ167775
AK40025,AK90434
EH536298,EH536298
AP3925,AP3925
CW817679,CW1063695
CG101583,BY451078
DZ47663,DZ47663
BD86740,CC31247
BW36965,CN30877
BL178388,CA20580
BF35264,BF35264
CW656138,CW822941
BL78637,BL78637
DX46570,DX46570
BY530060,BN104153
CG101583,BY272701
DL76263,DL78296
CC87640,DN41692
AK93862,BH71629
AA210000,BY185672
AM74859,CN57190
DL243792,DL243792
AG57523,AG25090
CW605615,CW925990
AZ16280,AZ16280
DK44659,BL226386
AN199699,AN199699
CW966573,CW966573
AA36571,CW34552
BL55119,BL77391
EH267079,CN25523
BE281634,BE281634
DB243849,DD141345
DT119362,DT119362
DE79815,BL416974
EH53148,EH406705
BY243581,BY185647
BE392889,BE392889
CW1325014,CW1325014
DL92174,BL159600
CG31195,CC80612
BR92357,EM46329
EH293976,BW37583
BL155897,BL155897
CW1082213,CW337557
BY101836,BY101847
AW100704,AW100704
DR2664,DR140026
AN16443,DZ58242
CW1095373,CW624536
DB148161,DB148161
BN508431,BN207660
AW40204,AW74916
CW597292,CW618833
DD123170,DD123170
DD179359,DD179359
CW1000576,CW1100094
DB229095,BT10245
DR126227,DR50828
BE346013,BE98322
DB221968,DB221968
CH27899,EH367408
CW1063169,CW1063169
BY453251,CB57799
BY24764,DL57420
DE76598,EN30386
CW828409,CW1255180
DG34909,DG34909
AD18147,BN226564
DA18459,DA18459
CG154270,CG154270
CW1178339,CW288374
AA84269,CG2857
BL32789,BL215547
AL226912,AL222925
AM82033,AM82033
DL138616,BL106560
BR146590,BR146590
