globalID_A,globalID_B
CW854865,CW1367176
EH360931,EH360931
CW1104045,CW968040
CW493066,CW465853
DR96172,DR96172
EF23597,EF23597
BL187456,BL355867
BP51944,BP51944
DP8077,DP8077
AL172802,AL172802
AK26386,AK26386
CW889000,EF162982
CW1211507,CW21497
CW640511,CW453036
EH331060,BL165307
CC2745,EH151440
AL195582,AL195582
CW398639,CW188286
AN171179,AN171179
BL407930,BL407930
EH53447,BZ53623
AL191812,AL191812
BD97926,BD109847
BR125563,BR125563
CW951794,CW951794
AL24507,AL159340
CW885304,CW912643
EH378084,EH578641
CJ44514,CJ44514
EH831302,EH831302
CP17424,CP17424
EH831109,EH831109
EH54497,AE5896
DT68739,BB33344
CW573430,CW573430
DL172573,DL172573
CW1152291,CW1011549
AW60873,AW60873
AS53491,AS53491
CW1114392,CW490677
CW1188669,CW1188669
BL511619,BL511619
BY542640,BY135392
CZ50330,CZ50330
CH16173,CC28916
AL63527,AL63527
CW288330,CW142777
CW398260,CW278395
EH556208,CW211638
CJ37469,CJ158364
CW719530,CW719530
CW207914,CW477322
BB104380,BB104380
EF9248,EF42181
DE232106,DE232106
BN160817,BN160817
CW827821,CW827821
DE243934,DE243934
EH388928,EH388928
EH782180,EH548583
CX23377,CX23377
BC58286,BC58286
DP22513,AW48701
BY248722,CW429971
DE281454,DE281454
EF31268,EF31268
EF205869,EF203501
CW1142025,CW103121
BN79378,BN214512
BB51051,BB51051
CW751916,CW728180
DB67069,DB86966
AZ15436,AZ15436
BB100773,BB100773
CW818996,CW1123687
CW24195,CW416947
EH909434,EH909434
CW787910,CW787910
CN65421,BD109766
CG114255,CG114255
CW996867,CW996867
DL93775,DL93775
BY610377,BY610377
CW1208475,CW1208475
BL323361,BL323361
EH476751,DB111906
DD94216,DD94216
EN58587,EN58587
CW724962,CW724962
CW226824,CW479284
CW299261,CW163905
CW502900,CW184635
CW781768,CW148876
DL34983,DL34983
CW685199,CW293071
CW797584,BN285004
CW173216,CW89252
BR155360,BR155360
CA39366,CA39366
BL497251,BL497251
BR83230,BR83230
CW615215,CW866532
AL236847,AL236847
CW143113,CW103121
CW239936,CW661074
BZ45369,BZ45369
CW418055,CW441259
DR58932,DR27886
AB13997,AB13997
BY209532,BY491083
EH435049,EH100804
BR161269,BR161269
BL306587,BL123724
BN193926,BN9292
AK154994,AK154994
BH12664,BH12664
DT38579,DT38579
CW632852,CW632852
EL12918,EL12918
BY562922,BY562922
CW406599,CW295865
CW61428,CW431111
DE274634,DE274634
CW914281,CW914281
EH826959,EH826959
AX64930,AX64930
BN351967,BN351967
BH78663,BH78663
CW128095,CW265424
CW891207,CW891207
EH1223790,EH1223790
BC60177,BC60177
DL81812,DL33286
CZ85345,DE69936
EL56740,EL56740
BD141434,BD141434
EG25923,EH599501
AP66417,AP66417
EF183304,EF183304
BR30057,BR112799
CW686567,CW711481
CW887185,CW887185
AE14506,AE14506
BP19270,BP19270
BH4430,BH60813
DB200685,DB195288
BE367609,BE367609
AN198100,DT75241
DL248607,DL267654
CW920552,CW582792
BY300885,BY224826
EH820028,EH820028
DD136453,DD136453
CW276109,CW174063
BN54108,BN41939
CC63778,CC63778
BR135755,BR115730
CB89474,CB13052
BE72140,BE88616
CW349223,CW390766
CW523595,CW523595
AM22671,AW157854
DE123147,DE123147
DL255744,DL255744
CW930476,CW537640
EN30242,EN30242
DE186982,DE186982
CW303748,CW317898
AA36026,AA116448
BN27650,BN27650
CW543181,BE301683
BY451248,CL33580
BL443523,BL443523
EF17053,EF17053
EH864237,EH864237
EN12635,DW19953
CW859624,CW859624
BZ55615,DD205775
EH305604,EH305604
BY98098,BY125143
CW58319,CW58319
CW62064,CW62064
EH1248368,EH1248368
DD59518,DD59518
CW767577,CW767577
CW190766,CW485612
CC135874,CC135874
DB270343,DB269602
CW363986,CW142537
BN306933,BN306933
DT10727,CW419258
EH1201945,EH1201945
AN123543,AN123543
EM133523,EM133523
CW192003,CW192003
AL162978,BR126319
BL226009,BL172011
EH969155,EH969155
EN36969,EN36969
DK21262,BW29846
BN216639,BN372979
DD158483,DD158483
BL318040,BL318040
BE382648,BE317143
BN85349,BN85813
DB48890,DB48890
BL340134,BL271449
ED29655,EH643655
DT8587,DT102989
AS57544,AS57544
BH126548,BH126548
CW607972,DL87897
EP99692,BL281789
EH1204208,EH1204208
EH1157652,EH1157652
EN72244,EN72244
DL236328,DL236328
CW280463,CW159839
BF22744,BF22744
BE433237,BE208901
AX53493,AX53493
DT145606,DT145606
DS110419,DS110419
CJ10043,CJ10043
BN135084,BN17901
CW711286,CW774654
CW215281,CW286100
EH937393,EH937393
AW181933,AW181933
AL290378,BE79849
CJ138323,CJ138323
BN263994,BN327053
CW174063,CW174063
CW147547,CW147547
CW1129418,CW1129418
BY624495,BY624495
EL93973,EL93973
DB123127,DB22642
CW620832,CW620832
AL157981,AL157981
BX21218,BX21218
AN129658,AN129658
AB37574,AB37574
AE22873,CP44927
CZ3300,EH35566
BR192799,BR192799
EH1093929,EH1093929
BN14185,BN17901
AX64012,AX64012
AA110354,AA110354
AL66715,AL172438
CW404988,CW1035773
BY400776,BY390836
CW1199859,CW653530
CW9570,CW15004
DE272675,DE272675
BN93186,BN194849
EH741157,EH741157
BR162895,BR162895
DG55098,DG55098
EF83045,EF80960
CW678760,CW69964
DS104895,DS104895
BE42012,BE253551
DE223918,DE121651
CW166690,CW166690
AA90897,CJ71463
CW369832,CW142409
DD160119,DD160119
CW163022,CW286279
BN239255,BN372979
DZ68217,DZ68217
BL511460,BL511460
EC18966,EC18966
DT79107,DT79107
CG117666,BY401575
EH956576,EH956576
BN208840,BN288088
EF57739,EF57739
DK42426,DK42426
CJ4451,CA9651
CN11251,CN79451
CG171841,EH1318517
EL69720,EH715332
CW58363,CW311469
AL306089,DE187037
BL31406,BL65996
CW268901,CW132366
BR141334,BR141334
BL148285,BL148285
AA149371,EH743348
AM48300,AM62438
EH903306,BL350401
CN72117,CN72117
BN469073,BN469073
EF72212,DD196704
DS3491,BT4368
EH1027469,EH1027469
CW961078,CW961078
CW724241,CW348319
CW191747,CW718624
CM35328,CM35328
AM33518,AM33518
DT131528,DT131528
CW321071,CW661074
BN271951,BN214565
BJ24618,BJ24618
BL392822,BL392822
CW84745,CW297349
BY216634,BY170181
BL414281,BL414281
CW211200,CW358253
BH42308,BH79071
DD167229,DD167229
AL278384,AL278384
CW658012,CW658012
AJ39826,BE299028
CW142933,CW175134
DT51392,DT51392
DS101400,DS101400
BE248590,BE248590
CW297390,CW1036055
BY373147,BY170181
BP55388,EG60275
CG62953,DZ37084
DB283386,DB283386
AN139183,AN175561
CW919490,CW919490
BL362960,EH513026
DR77335,DR77335
DB235739,DB235739
AL237689,AL237689
BN160553,BN210820
BX12593,BX12593
DE303216,DE92016
CA96556,CA96556
CW478098,CW478098
BY97359,BY97359
EH999436,EH999436
CW947777,CW940285
CW826293,CW826293
DM31100,AT3998
