globalID_A,globalID_B
EH1120493,EH1120493
DB197738,DB197738
EG30564,EG30564
CW935955,CW935955
CW946428,CW946428
CW553690,EF114901
BH148364,BH148364
EH1117409,EH1117409
AF25756,AF25756
DT118363,AN112124
CW635289,CC118237
EB38685,EH1268865
CG156658,CG156658
AW24175,AW24175
AW192414,AW192414
CE55285,CE55285
DD125933,DD35664
CW91760,CW91760
AB25016,DT66245
BL325058,BL325058
ED27575,ED27575
BY30695,BY47917
EH213587,AN162718
AD22128,AD22128
CW701269,CW837465
BN454765,BN454765
EH1134374,EH1134374
EF84467,EF84467
EH1006682,DB86180
AN228734,AN228734
DL112931,DL112931
AZ2786,AZ2786
CW608300,CW608300
EG26677,EG11324
AA95406,AA95406
CL55104,AP13711
BW57225,BW57225
EP39482,CM25929
AA144118,BN24300
BY625634,BN188023
CN53977,AG38264
BN184764,DA30687
EH1130516,EH1130516
CW349783,CW718888
BB111095,CT48647
EH920620,EH920620
CC69403,AL167816
AL58368,EB26038
BP61721,BP61721
CW1186186,CW1049611
BY383163,EH884709
BN254956,BN24300
EF114901,EF114901
DG53249,DG53249
EH771848,EH771848
DL223468,DL57250
EH651093,EH651093
BW36965,BH157768
CZ42908,CJ35714
AL215340,AL215340
DN160666,DN160666
DX3289,EG32374
CW818996,CW1123687
EH581573,EM61812
BY239333,BY494830
EM22093,EM22093
BY636136,BY636136
CW1266400,DE328124
CA109627,CA101694
EH554131,DX63302
EH618885,EH618885
BH187191,BH187191
CW724962,CW724962
DT123077,DT123077
DD61224,AA64184
CB34313,CB34313
BH23184,BH153598
DN80276,DN80276
AL279828,AL243163
BZ9813,BZ9813
CY29652,CY29652
DE271737,EL16894
AX71812,AX71812
DX34626,DX34626
EH813822,EH813822
BY509197,BY149626
BY483607,BY5628
AL39151,DW65237
DT29550,BC30516
EG55706,BL325765
BL296976,BL296976
EG8887,AA13991
CW693302,CW658638
AP85397,AP85397
CW728730,CW753122
BL66656,EH62861
AX67757,AX67757
AS97681,AS97681
EN59666,EN59666
EG41030,CS22411
EH669014,EH669014
AL246516,AL246516
EL52631,EL82222
DB287442,DB287442
BL250201,BL124060
CM64013,CM43579
DL176050,DL166341
AM107898,AM107898
EL73318,EL73318
AN162448,AN162448
EH222798,CN30877
CW931513,CW931513
EP38960,EP24392
BE214756,BE39633
EF141831,BR81884
CG111160,CG111160
CW1141240,CW1202557
AA124376,AA124376
BC60177,BC60177
CW1034810,CW1034810
CW318689,CW197920
BY401307,BY401307
BE207321,BE315680
DD191153,CC153196
DM27191,CA143799
BY509197,BY86447
