globalID_A,globalID_B
BN397515,CC90929
BN521262,AZ20526
BR4568,BR141247
AR4660,AR4660
DP8077,DP8077
BN89057,BN81641
EH970630,EH970630
BY462796,BY342660
DL242076,DL242076
EH558179,EH566057
CW757729,CW431609
AN171179,AN171179
CJ122688,AD25064
CW550876,CW584469
CJ129570,CJ129570
BN429588,BN429588
CP39084,CP39084
EH1200531,EH1200531
DD112074,DD112074
CW1176107,CW1176107
CW932561,CW932561
DS95556,EH1050290
DS41072,DS9400
DL127404,BY430814
EH1313389,EH1313389
AA17358,BY69026
AD28203,AD28203
DS100491,DS100491
AM9891,AM9891
EH585351,EH585351
DZ41913,DZ41913
BD118351,BD118351
EH918208,BJ27098
AW196982,AW196982
CM55995,CM55995
AL193798,AL193798
DE272525,DE272525
DT82513,EM112026
DE175314,DE175314
CW1040049,CW1040049
DB239681,DB239681
DW79972,DW79972
BN245809,BR202784
DC20803,DC20803
ED49590,ED49590
EM74101,EM74101
BL433459,BL433459
DB195303,DB195303
BN376996,BN376996
DD65015,BH54180
AP97067,AP97067
EP86086,EP86086
AR16012,AR16012
DB154107,DB154107
AP23451,AP23451
EH825932,EH825932
AL273829,AL273829
BN419071,BN419071
BY675237,BY675237
DD12044,DD12044
BE309955,BE309955
EH889705,EH886264
EG61287,BB103529
DB194114,DB194114
EH419376,AN85247
DD123481,DD123481
AN55806,AN89614
DD94216,DD94216
CW932561,CW650147
ED35832,ED35832
CW785737,AN144890
BN304755,BN304755
EH972292,CW1104627
DZ50452,DZ50452
BN481931,BN530276
BW36410,BL150803
BH58818,DD70908
EH902297,BH54180
DL181923,EH632013
BR83230,BR83230
CG169637,BS15171
EG17797,CC27249
AP87576,AP96781
AN138259,AN138259
AL272923,AL272923
EL97747,EL97747
BN428578,BN428578
BE337802,BE337802
EF230021,AY44680
DD131113,DD131113
DR108830,DR108830
EM82035,EM82035
CJ72768,CJ72768
BY444537,BY444537
EH1206489,EH1206489
BG7327,BZ19777
CW1029217,CW1029217
BE181594,BE171281
DL158701,DL103417
CF8485,CF8485
BN313339,BN313339
EH712660,DE165197
DE265680,DE265680
EP62058,EP38660
CL31997,CL31997
EH348783,EH840811
EF177469,EF177469
DF19192,DF19192
BE237381,BE175291
AN187369,AN187369
BD115273,BD115273
EH912267,EH912267
DB206940,DB206940
BE466734,BE466734
CJ153184,CJ153184
EH1223790,EH1223790
DB264375,DB264375
DD150632,DD150632
BE397676,BE397676
BM61915,BM61915
EM118798,EM118798
DL189803,EL59856
EH803407,EH803407
BE213792,BE286264
AN155596,AN155596
BP19270,BP19270
DB163119,DB163119
