globalID_A,globalID_B
DB186674,DB186674
EH1316870,EH1316870
DE70767,DE49354
BY151960,BY151960
BY551551,BY551551
BL501032,BL501032
AN87887,AN87887
BH148364,BH148364
AA189574,DP27040
BY462796,BY342660
BH6503,BH6503
BY159187,BY200512
DE275792,AX55080
DA53281,DA36802
AA191487,AA191487
BY554979,BY479597
BY397307,DB272661
EC14970,EC14970
DB202412,DB65351
DW66211,DW66211
BY381420,BY430721
DB316252,DB95294
CG47557,CG47557
BY372994,BY404626
BE213282,BE213282
BY446415,DS64363
BN210598,BY231476
BY586881,BY644893
AA45218,AA36703
DL68070,CE17542
BY20690,BY322748
BY160352,BY17917
EC16065,EC16065
BY409902,BN390832
DL221209,DL221209
DP44349,DP44349
DS100491,DS100491
EN39269,EN39269
DB232628,DB232628
AA49632,AA26224
BY515096,BY515096
BY723495,BY723495
BY109279,BY85928
EB34098,CA90184
BY542640,BY135392
EH747889,EH1174878
CG109194,BY595385
DL243230,BY527742
BY171235,BY85112
BW57225,BW57225
BY325860,BY323673
BY233050,BY127038
DA50942,DA50942
CJ130746,CJ152876
DW79972,DW79972
BY106412,BY540363
BY557004,BY553935
DL220647,DL244270
BY99203,DL121853
EB52417,BJ29186
AN117936,BG39078
CG118687,CG118687
BR29119,BR28977
DE309051,DE309051
BY609463,BY20014
EH825036,CW531708
DB333241,DB86036
AN217158,AN217158
AG39148,AG39148
AA144911,AA144911
BR45261,BR45261
AR16012,AR16012
CG159386,CG159386
CG124581,CG124581
DL256640,DL256640
DB206031,DB115427
BY69826,BY97529
BR213340,BR197613
BP34837,DE288315
DE48730,DE51356
DB159765,DB136952
BY277184,BY277184
DB67069,DB86966
BY361026,BY361026
DT5009,DT5009
EH887753,BY478908
DL78651,DL100854
BY572782,BY253114
BL385307,BL385307
CG114255,CG114255
BS6734,BS6734
DB119814,DB119814
DL93775,DL93775
DE326645,DE326645
DA7115,DA27217
BY636136,BY636136
EH476751,DB111906
DE91299,DE137713
DB33677,DB311581
DB112866,DB120428
CB28275,CB21398
BY689798,BY689798
DL218544,CC128712
DB312947,BA16092
DE101033,EH485166
BY525196,BY525196
ES14361,CG106828
BY509197,BY149626
BR171006,BR171006
EH171287,EH1303021
DY38836,DA99891
DE97259,DE97259
DB182074,DB182074
EB54573,EB54573
EH381942,DL54239
BE88695,BE88695
BY104273,BY136053
EH1128123,EH1128123
EH666884,BE252669
BY514730,BY514730
BY397685,BY481597
CG10880,CG10880
BH12664,BH12664
DB295707,DB252306
AN87181,AN68750
DL163925,DL163925
BY375778,BY112654
AA113631,BY327461
DB58047,DB114839
CN42808,CN35356
DB223295,DB223295
AA124519,DB153288
DL196357,BY530728
BY19060,BY11422
DE159623,BL307531
BY390231,BY371606
BH97702,BH97702
BM74817,BM74817
CG74444,CG90908
