globalID_A,globalID_B
DB186674,DB186674
CW1104045,CW968040
EF111174,EH901775
AP74761,AP66501
CW205884,CW205884
EH150999,DZ19888
CW935955,CW935955
EH475589,EH884709
BH148364,BH148364
AL123212,AL123212
CG91125,DA71989
AR2201,AR2201
DL242076,DL242076
AW25270,AW25270
BN384147,BN384147
BL417902,BL417902
DZ56597,CG139276
EL28028,EL28028
AG8156,AG8156
EH613645,EH613645
CC145306,BP19213
DB294757,DB294757
BS5930,BS5930
DL91376,DL91376
BL413358,BL525965
CW1201271,CW1326535
CN98682,CN98682
BL366436,BL366436
AW60873,AW60873
CW904237,EH425852
BY172091,BD91833
DL221209,DL221209
CW395966,CW395966
BL492441,BL492441
EH854439,EH854439
AM41631,AM41631
BY631887,BY118992
CW592527,CW1032337
EH803660,EH730394
EH747889,EH1174878
DE82924,AA28672
CW693285,AS44514
BH70011,BH70011
BE378062,BE378062
AK23924,AK15754
CW719530,CW719530
DW58312,BN312201
BN462928,BN209193
DL220647,DL244270
CW726885,CW906755
BN180754,BN218194
BL433459,BL433459
DE294667,DE294667
DK4219,CH3084
EH1003739,EH1003739
AW79502,EH332023
BY557433,BY557433
AL86480,AL21708
EF121667,EH663213
DZ53891,DE184499
EH429752,EH429752
AN185264,BL61397
CW265302,CW579723
DB11022,DB48713
CW837466,CW837466
BY732200,BY732200
DT38926,DT14912
DD125063,DD125063
BY81201,BY160526
CZ84464,CZ84464
AA70580,AA70580
BN388789,BN70075
CH15647,CH15647
BS6734,BS6734
CW105692,CW105692
DH30105,DH30105
BN311195,BN301707
DB241093,DB241093
CW480335,CW621555
CW373080,CW94323
DN120806,EH395687
CB67822,BR239904
AR5867,BD69812
CW824081,CW1370224
DT123077,DT123077
CG133187,CG105519
AN159245,AN159245
EH783571,EH809259
CG54177,BE75829
CC132296,CC132296
EF186316,CJ67994
AA207456,AA207456
BN366112,BN366112
BL497251,BL497251
DN94774,DN94774
CW60730,CW235407
DN74285,EH1253852
DX13005,DX13005
EH635994,CN37969
CW103980,CW310216
BD46325,EH622632
CG98020,BH116679
BY686641,DB97930
DZ54112,DZ54112
BP2983,BP2983
DB287442,DB287442
CW539615,AN136168
AE6565,CC116240
BY276044,DE140768
CW106299,CL5593
CP28199,AK58897
CW26788,CW185755
EH826959,EH826959
DN79211,AK57668
DB257953,DB257953
BD141135,BD141135
CM47365,CM47365
EH646111,EH646111
BN351967,BN351967
CW186575,CW186575
DE244802,DE244802
AA189175,DE99356
CB39844,CB6435
CW1034810,CW1034810
BL384906,CW550610
AE24479,AL144512
BL175778,BL175778
BL458382,BL458382
AA97132,AA97132
AW157174,EH535595
EB66969,EB66969
EC2352,BY14030
BN181409,AW64934
EB65191,EB65191
BL498496,BL532233
EA2075,EA2075
AL335288,AL335288
BL474133,BL536682
CW160300,CW415208
EH1123098,EH1123098
CW877227,EH642410
CW819915,CW809673
DE231038,EH682756
CW171292,CW558170
EH556843,CW878620
DZ25589,DZ25589
CW395349,AN130384
BE255236,BE169977
CW845786,CW247238
CW1118142,CW829168
DK28923,CC116240
DL55564,BW9323
BN352965,BN352965
BN50818,BN10753
EH904731,EH904731
EH843267,EH843267
EM2797,AA84550
BL217889,BL217889
BR49943,BP40340
AL120779,AL90020
BC25040,DL178318
DB3993,DB3993
AL136539,CG51778
BL511942,BL511942
EF146997,EF146997
BE406368,BE406368
EH630130,EH856934
CW62064,CW62064
EH484581,BC67419
BL439856,BL439856
CL45452,CL45452
CP36333,AA153363
DB110104,DE221193
BB37553,BY452442
DX56875,DX56875
AA108645,AA75847
DE110432,BY237734
BL343057,BL304624
DE85214,EH538171
AA176552,AA176552
AK14283,AK14283
CW332936,CW205614
CW568262,CW731041
BL171526,EP25112
EH668117,EH668117
DK21262,BW29846
BY602590,BY602590
BN424611,BN424611
EF66913,EF26675
