globalID_A,globalID_B
EH1120493,EH1120493
DB197738,DB197738
EG30564,EG30564
CW935955,CW935955
CW946428,CW946428
DL217530,CW581529
CW553690,EF114901
BH148364,BH148364
AF25756,AF25756
CG156658,CG156658
AW24175,AW24175
AW192414,AW192414
CE55285,CE55285
AF23986,AB38383
DD125933,DD35664
ED27575,ED27575
BY30695,BY47917
EH213587,AN162718
AD22128,AD22128
CG130534,BN407464
CW701269,CW837465
BN454765,BN454765
EH1134374,EH1134374
EF84467,EF84467
EH1006682,DB86180
AN228734,AN228734
DS48455,DS66015
BY511276,BD72879
DL112931,DL112931
AA179564,AN138845
DW32740,BA8627
BK25212,CN12475
AZ2786,AZ2786
CW608300,CW608300
EG26677,EG11324
AA95406,AA95406
CL55104,AP13711
BW57225,BW57225
EP39482,CM25929
CN53977,AG38264
AM85563,AA158488
EH1130516,EH1130516
CW349783,CW718888
AN40604,CN30149
BB111095,CT48647
EH920620,EH920620
CJ138693,EH533279
CC69403,AL167816
CW1186186,CW1049611
BY383163,EH884709
BN254956,BN24300
EF114901,EF114901
EH771848,EH771848
DL223468,DL57250
EH651093,EH651093
AL215340,AL215340
DN160666,DN160666
DX3289,EG32374
DD125933,BR61104
EH581573,EM61812
BY239333,BY494830
EM22093,EM22093
EH1239589,AN56295
BY636136,BY636136
CW1266400,DE328124
EH554131,DX63302
BH187191,BH187191
CW846716,DN90936
CW724962,CW724962
AR5867,BD69812
DT123077,DT123077
CL42218,DW67359
BH45790,BH45790
DN80276,DN80276
AL279828,AL243163
CG126050,BE30488
BZ9813,BZ9813
CY29652,CY29652
DE271737,EL16894
AX71812,AX71812
DX34626,DX34626
EH813822,EH813822
BY509197,BY149626
BY483607,BY5628
DT29550,BC30516
BL296976,BL296976
CW693302,CW658638
AP85397,AP85397
CW728730,CW753122
BL66656,EH62861
AX67757,AX67757
AS97681,AS97681
EN59666,EN59666
EH669014,EH669014
AL246516,AL246516
EL52631,EL82222
DB287442,DB287442
CN20018,CN34900
EH37636,EP36646
CM64013,CM43579
AM53798,AM53798
AM107898,AM107898
EL73318,EL73318
AN162448,AN162448
CW931513,CW931513
EP38960,EP24392
EF141831,BR81884
CG111160,CG111160
CW1141240,CW1202557
AA124376,AA124376
BC60177,BC60177
EG43024,BL290572
EG3367,CC9724
CW1034810,CW1034810
CW318689,CW197920
CL19201,DL94145
BY401307,BY401307
DD191153,CC153196
CC81594,EH644631
DK30364,BN481109
CC113167,CC113167
BY509197,BY86447
AL115582,AL63923
CW520965,CW718888
BN395234,BN395234
BZ35880,BZ35880
BL309781,BL309781
