globalID_A,globalID_B
CW493066,CW465853
BE34969,BE28084
CW480894,CW305511
AW61892,AW62301
EH110299,EH400019
EH316020,EH73550
CW529065,CW331811
CW17209,CW17274
CW498346,CW182216
EH362496,BL216775
CW257970,CW119876
CW449954,CW222695
EJ19859,CS6527
CW29513,CW113526
CW327599,CW935695
BN32681,BN51339
EH396455,EH353534
CW145651,CW378222
CW99478,CW99478
EH371928,EH314122
CW198229,CW145126
CW61819,CW407436
CW111175,CW78391
EH378291,EH972628
CW55261,CW49648
CW384053,CW106482
CW321296,CW315815
CW280313,CW421054
DL7876,DL7879
CW269134,CW227049
CW111989,CW210287
CW288330,CW142777
CW577021,CW196765
EH57349,EH166062
CW64270,CW243351
CW38730,CW175451
EH274920,EH252508
CW488975,EH646111
EH481271,EH438758
CW381455,CW176876
CW133383,CW80563
CW114042,CW193212
CW47277,CW108055
CW80166,CW242125
EH314737,EH11384
CW156344,CW291188
CK2833,CK2833
CW1002325,CW120736
CW295253,CW52028
EH152485,EH159818
EH366954,EH238034
EH93796,AK85633
CW431406,CW61953
CW24195,CW416947
BN20910,BN24403
CW151196,CW278186
CW11877,CW56931
BN20910,BN65472
CW466998,CW261874
CW282566,CW348933
BN50818,BN5081
BZ16986,BZ4942
CW507145,CW322698
CW248898,CW214690
EH186317,EH363741
CW513825,CW181271
CW389401,CW425831
EH124124,EH256195
EH189952,AS40094
CW416563,CW467320
CW387379,CW421019
CW273810,CW523292
EH370781,EH162441
CW60730,CW235407
CW143113,CW103121
CW159531,CW91267
CW123426,CW505369
CW103980,CW310216
CW162048,CW105198
BY460038,BY218896
EH438254,EH236118
AW28492,AW17809
EH1078079,EH320232
BN23194,BN41698
CW521108,CW920043
EH211991,EH72015
CW225345,CW463966
CW632852,CW632852
CW435212,CW274823
CW498346,CW491199
CW514435,CW181063
CW187450,CW574162
BN66177,BN124419
CW457164,CW163238
CW581407,CW244169
CW75636,CW172739
CW292985,CW360584
EH419063,EH245924
BL142648,BL164487
CW321631,CW261378
CW76639,CW175451
BL144640,BL199212
EH132911,EH110713
CW294349,CW214690
CW322757,CW124956
CW561077,CW524823
CW11766,CW6303
CW335905,CW362540
CW109695,CW353475
CW76639,CW227237
CW202090,CW233667
CW195732,CW195376
CW126139,CW346754
CW167785,CW207990
BL6881,BL19584
CW102295,CW454067
CW73043,CW19448
CW384617,CW203242
CW413765,CW380845
AW61148,AW46670
CW398799,CW381690
CW236665,CW373648
CJ209272,DR117958
CW160300,CW415208
CW18795,CW51288
CW123337,CW403483
CW131372,CW124040
CW211798,CW69964
CW224090,CW294150
BN50818,BN10753
CW126674,CW527793
CW22663,CW98382
CW174980,CW42843
CW365326,CW335200
BN114270,BN105126
CW388267,CW285971
EH266850,EH331240
EH220312,EH274516
CW128931,CW200332
CW111087,BE142276
CW270703,CW78058
EH202702,EH424340
CW275274,CW207023
CW400710,CW472901
CW195047,CW360181
EH248677,EH340088
CW96492,CW71686
CW117115,CW81788
CW143707,CW356483
CW39782,CW140443
BN14384,BN39448
CW190766,CW485612
CW363986,CW142537
EH399240,EH1241341
CW204985,CW437677
CW93112,CW494839
EH247088,EH181659
CW453158,CW223128
CW394474,CW1316032
CW589629,CW39829
CW90630,CW80427
CW383755,BY60359
CW517755,CW347111
CW532966,CW196765
EH423740,EH527741
EH128898,EH287825
EH270251,EH414789
EH132937,EH138719
EH58713,EH356985
CW281396,CW472812
EH14112,EH136546
CW132830,CW25945
CW181816,CW311469
CW383755,CW137807
CW412941,CW305757
DL39448,CC63968
CW140809,CW362724
EA9757,EA9754
EH366782,EH121347
CW151295,CW332117
CW177567,CW56931
BY119583,BY120640
CW114042,CW125611
AK50580,AK5221
BY5723,EH169521
EH31372,EH31372
CW512505,CW438613
CW134938,CW278442
CW366945,CW98382
CW206920,CW397343
EH246139,EH161257
CW409169,CW373654
EH189952,EH245924
CW23990,CW41522
CW135826,CW224743
CW127969,CW445722
BE47673,BE48345
EH104232,EH299375
CW169490,CW245163
CW33507,CW234855
CW22056,CW52051
CW77121,CW124834
CW109616,CW400145
CW127631,CW339630
CW770223,CW130767
CW369832,CW142409
CW163022,CW286279
CW127942,CW71686
CW173799,CW167100
CW702590,CW523785
AL72115,CW320944
CW58363,CW311469
CW518879,CW303235
CW285620,CW276423
BL31406,BL65996
CW268901,CW132366
BX8542,EH271498
