globalID_A,globalID_B
DR81938,DR93149
BY527776,DB171625
CW549185,CW549185
CZ61280,CW356526
EH1188661,EH968953
DH44127,BY272701
DS66719,EH130659
EF197408,EH730417
CL51754,CW1062548
BL521995,AL255328
DN93603,EH431830
EH1219523,EH1219523
CC88093,CC88093
BN365996,BN365996
AA147008,BK38855
EH712985,CC117813
DL237080,DD165810
CJ56898,CJ24432
DE275792,AX55080
AM37972,AN52092
BZ49396,BZ49396
BH151931,AL167940
DB60959,DB60959
BY436493,AA69206
DR68908,DR68908
CW754562,CW1259043
CZ53412,DE92050
BE329908,BE141599
CW629462,AA107809
EN69441,EN69441
BL475236,BC69683
EH149965,AT10012
CW486914,BH106405
BP38329,BN322055
DB285243,EH1299646
BN353928,AK58017
BZ17465,BZ17465
CW974582,CW1329056
BT11949,EH1114168
CW925747,CW925747
BE272647,BE262110
EH536622,DL166992
BY511276,BD72879
BR164078,ED33169
EB34098,CA90184
BE78982,AM11426
BN411274,BH71466
CZ33252,DE293591
AM73402,CW253569
DH37729,CN61179
DR56090,DL95209
DE119609,BN358757
EH194386,CW515155
DH33738,BL397259
BE281276,CM59685
BR192583,BR140083
CW710812,CW602202
DL217800,CZ86199
CE22283,DE319090
BY85907,BY130505
CJ23577,DT43292
DB333241,DB86036
EH1040533,EH1040533
CG201613,CW846716
CW491033,AA143809
BW4329,EH169254
BN157300,DN48668
EH366954,EH238034
DS107356,DL124411
BP37360,EA20894
AN112543,BD74491
BN317657,BM26019
BY433214,BD99588
ER27172,BN239361
CW990481,DE168620
BL385307,BL385307
DA66105,CH47173
CC125878,CD16201
CW561659,CW809749
CG34019,AW45408
AN74608,EH1234003
CW682124,CW533290
DD123481,DD123481
BR187432,BR202877
EH302433,EL31786
CB67822,BR239904
AN122319,DL164955
BY689798,BY689798
CM54342,CM59927
EH189113,AW128430
BD89443,BD89443
DR97753,DR97753
CW340118,CW266150
CC115679,CE27421
BE161496,BW48570
EH481198,CW925849
EH735724,CM25074
CJ32494,BH86355
EH1239589,CC25297
CW721965,CW223304
AX71812,AX71812
EH280124,EH230527
ES14361,CG106828
EL68179,AN145151
CW273810,CW523292
BL168369,BC28587
CW674598,CW421552
EF105615,BJ15683
EH281382,CP15843
BY379075,DD175122
DL92800,DL92800
CW81598,CW179470
DB195347,DX46401
CW498346,CW491199
BE355597,BD154053
AA113631,BY327461
BL325563,BA9867
EM28207,BS8488
CC107828,CC151227
AA210000,AA69260
DE265680,DE265680
CZ37587,CW309286
AL122142,AL122142
EH752482,AM11426
EH353176,CZ67296
AL246354,CC112727
AL32880,AL32838
BN553104,CJ131524
DB241558,DB132001
DE207257,BL519779
DE318098,DE314993
CA30275,EL13836
EN37930,DS67920
CW806772,CW520784
ES4636,BN404963
EH370875,AK167350
EH495025,CZ63532
AS74263,AN136606
DX59832,EH149027
EP77188,AN146282
BL391927,CW724104
DN128596,AW183431
DS72058,BE174423
BY265178,BY426715
BD99432,BD58659
BY378905,DD127318
DX45629,AR5782
BP67398,CL38948
EH458323,DE218898
BL476954,BY377296
BL334866,BL334866
EH667782,DE276047
BL398896,BE472345
CW908668,CW879595
BE185298,BY527776
CW1019452,BL403518
EF109217,AS96633
ES14141,CL34680
CW884962,CW1173415
AL237708,DN101806
BY398200,BY27454
CW872142,CW648514
BB99804,EH884343
EH787662,EH787662
AA151692,AA141177
CT30695,AL112656
AN136043,AM78765
DB176793,DB195326
BE116703,BE175797
BH165395,EH581167
CL23948,AD8656
EH546893,CJ84152
EH1050557,DX55665
BL231586,DL90739
BE195441,BL290404
CW457984,BR3520
EP85338,CE28886
AL174964,CW342607
BZ43113,BL287786
BP27499,CG83538
DH44127,EF100296
BL127802,DN72617
DN52146,DB147421
CN21106,CW722936
DB235761,AG35227
AA160660,BH82959
AM95814,BH147950
CW761910,CW456089
BX17475,DE313119
CW157844,CW759424
EH1193120,EM78255
