globalID_A,globalID_B
EL63165,EL63165
DS76846,BM46494
CJ171133,CE13921
BY484298,BY270034
DH33738,EG35557
AL172802,AL172802
EH870816,EH870816
BY122059,DZ63008
BL178388,BL138829
CW55962,CW55962
CW17209,CW17274
EH646991,BF13511
DN135945,DN80253
CW863409,CW863409
BW34105,DE148821
EM48430,AA48440
BC47466,BL269838
DR68700,DR18756
DH46486,DH46486
BL417902,BL417902
CW1123042,CW104002
AA160957,AA160957
EM71250,AF28718
AG8156,AG8156
DL80766,BY182796
EH303460,BG16742
CF6467,CF6467
AG54716,AG54716
AL283971,AL283971
DP45645,BH132340
EL58895,BR209292
EH1157055,EH98619
CJ129570,CJ129570
AJ41471,DL265385
CW518629,CW518629
AE16597,AW122424
AM85720,AM85720
AD22128,AD22128
CW1067849,EL77782
CW848225,CW318611
DD112074,DD112074
CW558045,CW613922
CW1024308,AW98653
BZ17465,BZ17465
AL307327,AL307327
EM73582,DL192390
EH282505,EH302467
DP44349,DP44349
DA101146,CS30949
DS100491,DS100491
CW1029872,BH70776
AB17771,AW116506
CW783615,CW1296798
AL47071,AW9625
CW1013468,CW470885
CJ85686,DZ22596
BJ36915,BJ36915
EH397555,DR94175
BE69259,BE186127
AL279828,EG44459
AW131021,AW131021
AM42947,AM61855
CW1007032,CW600583
BN419332,BN419332
BM5906,BM5906
EM103312,EM103312
DL215300,DL215300
AP55497,AP55497
BY325860,BY323673
CW183899,CW183899
CG28724,BB29562
AM94570,AM52730
AW89260,AW89260
EH828746,EH828746
DH33738,BL397259
BE281276,CM59685
AA193097,AA193097
CJ154523,CJ87808
DZ63011,AK132458
AL184608,CG47281
DK26119,DK26119
AS80064,AS80064
AE16597,CN45217
BL433459,BL433459
CL48076,CY21303
CW26406,CW26406
AW165443,DD207410
AB25699,AB25699
EH397555,CJ23022
BY69826,BY97529
EH152485,EH159818
CH51923,CH51923
CZ42908,CJ35714
DB159765,DB136952
AK61851,BL230092
DT5009,DT5009
EH293702,DR61675
AN27611,AN27611
CW297971,CW224804
DD202483,DD202483
DB119814,DB119814
DD112468,DD79620
AB37316,EM89726
CW373080,CW94323
BW53192,DL205195
EP60452,EP60452
AN122319,DL164955
DD95451,EH496373
DB112866,DB120428
BY689798,BY689798
DX15051,DX15051
EH515748,DE218898
CW797584,BN285004
AY2466,DE231040
DL38872,AW82801
AL261288,CW925849
BR155360,BR155360
DE101033,EH485166
AS17280,ED3446
EH229223,CD22226
AS67205,AS81200
CY29652,CY29652
DS94592,AS14280
BL497251,BL497251
BR195045,EA35260
BY106570,BY392291
EB69142,EN35127
EH171287,EH1303021
CY32092,CY32092
BW56516,BW56516
DR76091,AH9678
DY38836,DA99891
DT29550,BC30516
AW210401,AW210401
DE97259,DE97259
AJ42659,AJ42659
CG193993,AJ33266
DA70469,CG72919
CW674598,CW421552
AS74778,AS74778
DB182074,DB182074
CW365024,DH32859
BE297129,AL112656
EF51844,EL32174
CG98020,BH116679
BY514730,BY514730
DL92800,DL92800
CW905961,CW571823
EP90416,EH431108
DS110480,DS75382
CG10880,CG10880
AL246516,AL246516
DT79703,EC15467
BH12664,BH12664
BN313339,BN313339
CW509516,CW509516
BW16521,BL198135
BN66177,BN124419
CA79888,CA79888
AA210000,EH50468
CW655811,CW199905
CW749468,CW749468
DN79211,AK57668
BH184408,BH184408
ER35336,ER35336
BN351967,BN351967
EK18353,EK18353
BY398780,BY497385
CW779817,CW286340
BH97702,BH97702
BE39238,BE39238
AN125495,BH119024
BR136456,CB59773
BH93316,BH154092
CW318050,CW1317428
AL183305,AL183305
BE192563,BE225119
CW685262,CW645988
AL34470,AL34470
DE230305,AM74690
CW597292,CW939564
EH522232,CJ84152
DB285649,DB285649
AL71323,AL39498
DL184707,DL184707
BY23499,BY23498
CE33254,EH927551
DB259359,DB249446
CW951919,CW983999
BZ69598,BZ69598
BP25787,BR97372
CW602226,AN163898
DA119704,DA119704
BD86740,BC30516
CW953014,BR122676
CW681287,CW449175
BL398896,BE472345
EH343114,EH343114
CG143089,CG143089
CC63778,CC63778
DL15308,DL15308
DB333891,DB222445
CW901299,CW873079
CW349223,CW390766
BY82469,BY82469
BR152303,BR152303
DN135602,DN95079
CW261076,CW446366
EK22691,EK22691
AP62415,AP62415
DR89025,DR89025
AA36026,AA116448
CW649143,CW1369349
AL229910,EH458630
DR83894,CZ22911
DN3369,DN3369
CG164560,DL265385
CW618063,CW630489
CM75600,CM75600
EH305604,EH305604
CW72551,CW332117
EH1217176,EH1017152
AL50677,AL50677
AK110778,AW104861
AL78362,EF106228
CP50377,CP50377
DC18333,DC18333
AL153239,AL237647
CW667404,CW667404
DR94354,DR94354
AK108990,AK27972
EP102069,EP102069
CW93112,CW494839
CJ35795,EF100296
AW196736,AW75312
EH1023322,EH1023322
BL75123,DT18206
DB244033,DB206707
CW939815,CW939815
EH639090,EH639090
AN157578,DT91387
EL14853,EL74827
BY554848,AS12397
BY25167,BY25140
AA101523,DN41692
EH59715,EA2157
CW532966,CW196765
CW638449,CW818911
DZ65094,BN191414
AX6117,AX6117
BY672063,BY614260
EH972163,EH972163
DL50510,AW109379
BN203627,BR202540
EH43014,EH43014
DP41515,DP41515
BN494219,BN494219
EH1204208,EH1204208
EN72244,EN72244
CB16992,BA9989
CW121000,CW820416
BL338651,BL338651
CW666023,CW460988
CA27105,CA27105
DZ13036,DZ13036
CC98529,CC98529
CW1220307,CW1253840
CB69298,CB69298
DB244892,DB244892
BB18986,BB18986
BE17299,BE61444
BL438052,BL249114
DZ65094,BG16906
EG50355,CG134870
DR98517,DR91430
EH179304,EH179304
EF220561,EF220561
DL254223,DA94866
DB235762,AG42478
CW877156,CW766653
AW110285,AW110285
CW574899,CW1170773
EH1131676,EH1131676
DS55362,DS57773
DB141576,EA31079
DG34928,DG20032
BL461391,BL221662
CJ35795,BY272701
EH785472,EH785472
EM101498,EM101498
EB14878,EB14878
CW983194,CW803079
DA87354,BM58816
EA17841,CD7894
DB166597,AG5837
BE159336,BE159336
AB8599,AB8599
DK32774,AS56685
BB46564,DX33847
BE47673,BE48345
BN434672,BN257238
BR98849,BD17861
CW125848,CW125848
AL290298,AL290298
CE55562,CE55562
AN177274,AN115812
CW1060159,CW88357
BD16359,BD82439
EM21318,BL166957
BE15918,BE24905
BD91943,BD81285
EM64251,EM91584
BL239119,BL301778
EJ11801,BD65249
DT140487,DT140487
CG76900,CK6374
CW1277932,CW1277932
DT132527,DT132527
BR17879,BR16459
EH9847,CJ36314
CG72945,BH169709
BE338772,BE338772
DK42426,DK42426
DT74242,DT60292
EP52606,BL238796
DT142452,DT142452
BB81399,BB81399
DL164831,DL164831
BN297338,BN158598
CG35865,CG131896
BL154604,BL164681
CC141618,CC141618
EP3292,EP56142
BE339797,DR18357
BY114107,BY231591
BL168369,BL105599
DL204481,DL158411
EH621819,EH621819
CW1013468,CJ131524
BN388920,BN388920
BM55591,DG41766
EP43521,BD156822
BG18111,BG26333
EH1027469,EH1027469
DS81216,BN435636
EH1266187,EH1266187
AN40864,AN40864
BY668100,EH1110649
EH300913,EH109311
BY526410,BY526410
EM111552,EM111552
EM45653,BH114004
CW655397,EB53620
EM78255,DN94131
BR131103,EH463243
CW820495,CW820495
EP43521,DZ34430
CW110264,CW1263259
CA5964,CA5964
BE343202,BE54120
CD8434,DL181759
EH345625,EH226789
BR122750,DL192390
BJ11304,AA69206
