globalID_A,globalID_B
DB186674,DB186674
EH1316870,EH1316870
BY151960,BY151960
BY551551,BY551551
BY369026,BY253939
BL501032,BL501032
AN87887,AN87887
BH148364,BH148364
AA189574,DP27040
BY462796,BY342660
BH6503,BH6503
BY524274,BY179135
DB233966,DB261653
DA53281,DA36802
AA191487,AA191487
EC14970,EC14970
DB202412,DB65351
DT109899,BJ45057
DW66211,DW66211
DB316252,DB95294
CG47557,CG47557
BY372994,BY404626
BE213282,BE213282
BY446415,DS64363
BY586881,BY644893
AA45218,AA36703
BY20690,BY322748
BY160352,BY17917
EC16065,EC16065
DL221209,DL221209
DP44349,DP44349
DS100491,DS100491
EN39269,EN39269
DB232628,DB232628
AA49632,AA26224
BY515096,BY515096
BY723495,BY723495
BY109279,BY85928
BY542640,BY135392
EH747889,EH1174878
DL243230,BY527742
DL184974,DL184974
BY171235,BY85112
BW57225,BW57225
BY325860,BY323673
DA50942,DA50942
CJ130746,CJ152876
DW79972,DW79972
DL220647,DL244270
BY99203,DL121853
DL164049,BS4244
CG118687,CG118687
BR29119,BR28977
DE309051,DE309051
BY609463,BY20014
DB333241,DB86036
AN217158,AN217158
AG39148,AG39148
AA144911,AA144911
BR45261,BR45261
AR16012,AR16012
CG159386,CG159386
DL256640,DL256640
DB206031,DB115427
BY69826,BY97529
BR213340,BR197613
DE48730,DE51356
DB159765,DB136952
BY277184,BY277184
DB67069,DB86966
BY361026,BY361026
DT5009,DT5009
EH887753,BY478908
DL78651,DL100854
BY572782,BY253114
BL385307,BL385307
CG114255,CG114255
BS6734,BS6734
DB119814,DB119814
DL93775,DL93775
DE326645,DE326645
DA7115,DA27217
EH476751,DB111906
DE120366,DE8023
DB33677,DB311581
CB28275,CB21398
BY689798,BY689798
DL218544,CC128712
DB312947,BA16092
DE101033,EH485166
CG24066,DL111776
BY525196,BY525196
ES14361,CG106828
BY509197,BY149626
BR171006,BR171006
DY38836,DA99891
BY235221,BY44358
DE97259,DE97259
EH887753,BY20295
DB182074,DB182074
EB54573,EB54573
EH381942,DL54239
BE88695,BE88695
BY104273,BY136053
EH1128123,EH1128123
EH666884,BE252669
DE21378,DE105607
BY514730,BY514730
BY243089,BY243089
CG10880,CG10880
BH12664,BH12664
DB295707,DB252306
AN87181,AN68750
EH997346,DE205720
DL163925,DL163925
BY375778,BY112654
AA113631,BY327461
CN42808,CN35356
AA124519,DB153288
AF12193,DA10217
DL196357,BY530728
BY19060,BY11422
DA73458,DL180915
BY390231,BY371606
BY510590,BM56741
BH97702,BH97702
BM74817,BM74817
AX57450,DE201045
BA12691,CB61228
DL81812,DL33286
DE318098,DE314993
BY634119,BY634119
DB196933,BY409682
DE120319,DE77444
DB60636,DB38511
BY598256,BY567896
DL227548,DL231188
DB169160,DB169160
AA97132,AA97132
