globalID_A,globalID_B
EL63165,EL63165
BY411316,BY631138
EJ30270,CJ126315
DS76846,BM46494
BY484298,BY270034
CE51996,DT145187
AL172802,AL172802
EH870816,EH870816
BY122059,DZ63008
BL178388,BL138829
CW55962,CW55962
CW17209,CW17274
CW863409,CW863409
EM48430,AA48440
BC47466,BL269838
DR68700,DR18756
DH46486,DH46486
BL417902,BL417902
CW1123042,CW104002
AA160957,AA160957
EM71250,AF28718
AG8156,AG8156
EH303460,BG16742
CF6467,CF6467
AG54716,AG54716
AL283971,AL283971
EH1157055,EH98619
CW518629,CW518629
AM85720,AM85720
AD22128,AD22128
CW1067849,EL77782
CW848225,CW318611
DB62953,CC31247
DD112074,DD112074
CW558045,CW613922
BZ17465,BZ17465
AL307327,AL307327
BY613021,BP29312
EH282505,EH302467
DP44349,DP44349
DA101146,CS30949
DS100491,DS100491
AK29343,AK14721
AB17771,AW116506
CW783615,CW1296798
CJ85686,DZ22596
BE69259,BE186127
AW131021,AW131021
AM42947,AM61855
CW391677,AL185729
CW1007032,CW600583
BN419332,BN419332
BY74091,BY179017
BM5906,BM5906
DL215300,DL215300
AP55497,AP55497
BY325860,BY323673
CW183899,CW183899
AM94570,AM52730
CA50488,AH7788
AW89260,AW89260
EH828746,EH828746
DH33738,BL397259
BE281276,CM59685
AA193097,AA193097
DZ63011,AK132458
AE16597,AS17045
DK26119,DK26119
AS80064,AS80064
AE16597,CN45217
BL433459,BL433459
CL48076,CY21303
CW26406,CW26406
AW165443,DD207410
AB25699,AB25699
CW1282509,CH15235
DX4354,DX4354
BY69826,BY97529
CH51923,CH51923
DB159765,DB136952
AK61851,BL230092
DT5009,DT5009
AN27611,AN27611
CW297971,CW224804
DD202483,DD202483
DK19221,AX42915
AA117057,AA109112
DB119814,DB119814
AL226912,CW357266
DD112468,DD79620
CW373080,CW94323
EP60452,EP60452
DB112866,DB120428
BY689798,BY689798
DX15051,DX15051
AW51606,AW40221
CW797584,BN285004
DL38872,AW82801
AL261288,CW925849
BR155360,BR155360
DE101033,EH485166
AS67205,AS81200
CY29652,CY29652
DS94592,AS14280
BL497251,BL497251
CA29791,AS12397
BY106570,BY392291
EB69142,EN35127
EH171287,EH1303021
CY32092,CY32092
BW56516,BW56516
DR76091,AH9678
DY38836,DA99891
DT29550,BC30516
AW210401,AW210401
DE97259,DE97259
AJ42659,AJ42659
CG193993,AJ33266
CW674598,CW421552
AS74778,AS74778
DB182074,DB182074
EF51844,EL32174
CG98020,BH116679
BY514730,BY514730
DL92800,DL92800
EP90416,EH431108
DS110480,DS75382
CG10880,CG10880
AL246516,AL246516
BH12664,BH12664
BN313339,BN313339
CW509516,CW509516
BN66177,BN124419
CA79888,CA79888
CW655811,CW199905
CW749468,CW749468
DN79211,AK57668
BH184408,BH184408
ER35336,ER35336
BN351967,BN351967
EK18353,EK18353
CW779817,CW286340
BH97702,BH97702
BE39238,BE39238
AN125495,BH119024
BR136456,CB59773
AL183305,AL183305
BE192563,BE225119
CW685262,CW645988
AL34470,AL34470
DE230305,AM74690
CW597292,CW939564
CC95186,CC129167
EH522232,CJ84152
DB285649,DB285649
AL71323,AL39498
DL184707,DL184707
BY23499,BY23498
DB259359,DB249446
CW951919,CW983999
BZ69598,BZ69598
DA119704,DA119704
BD86740,BC30516
CW953014,BR122676
CW681287,CW449175
EH343114,EH343114
CG143089,CG143089
CC63778,CC63778
DL15308,DL15308
DB333891,DB222445
CW901299,CW873079
CW349223,CW390766
BY82469,BY82469
BR152303,BR152303
DN135602,DN95079
CW261076,CW446366
EK22691,EK22691
AP62415,AP62415
BN150982,BN171980
DR89025,DR89025
AA36026,AA116448
BE359054,BE306171
DN3369,DN3369
CW618063,CW630489
CM75600,CM75600
EH305604,EH305604
CW72551,CW332117
EH1217176,EH1017152
AL50677,AL50677
AL78362,EF106228
CP50377,CP50377
DC18333,DC18333
AL153239,AL237647
CW667404,CW667404
DR94354,DR94354
AK108990,AK27972
EP102069,EP102069
CW93112,CW494839
CJ35795,EF100296
AW196736,AW75312
EH1023322,EH1023322
BL75123,DT18206
CW874605,AN117936
CW939815,CW939815
EH639090,EH639090
EL14853,EL74827
BY554848,AS12397
BY25167,BY25140
AA101523,DN41692
EG3960,AL68785
EH59715,EA2157
CW532966,CW196765
CW638449,CW818911
AX6117,AX6117
BY672063,BY614260
EH972163,EH972163
EH43014,EH43014
DP41515,DP41515
BN494219,BN494219
EH1204208,EH1204208
EN72244,EN72244
CB16992,BA9989
CW121000,CW820416
BL338651,BL338651
CW666023,CW460988
CA27105,CA27105
CC98529,CC98529
CW1220307,CW1253840
CB69298,CB69298
BY178802,BY376175
DB244892,DB244892
BB18986,BB18986
DT133766,DT133766
EF220561,EF220561
DL254223,DA94866
AP64956,AA115093
DB235762,AG42478
CW877156,CW766653
ER33222,BH123909
CW574899,CW1170773
EH1131676,EH1131676
DS55362,DS57773
DB141576,EA31079
DG34928,DG20032
BL461391,BL221662
AA154686,AD4159
AS64069,BD156822
CJ35795,BY272701
EH785472,EH785472
EM101498,EM101498
EB14878,EB14878
CW983194,CW803079
DA87354,BM58816
EA17841,CD7894
DB166597,AG5837
BE159336,BE159336
AB8599,AB8599
DK32774,AS56685
CJ57778,EH195658
BE47673,BE48345
BN434672,BN257238
BR98849,BD17861
CW125848,CW125848
