globalID_A,globalID_B
DH20458,DH20458
EH1062395,EH1062395
AP74761,AP66501
BL68936,BL68936
EH1267922,EH17259
AS41946,AS41946
EH475589,EH884709
EH1067588,EH1067588
AY5883,DN55160
AP79283,AP79283
BL334719,BL334719
EH1033703,AW163080
BL178388,BL138829
EH106616,EH1280248
AK111725,AK102693
CT24903,CT24903
BL417902,BL417902
EH53447,BZ53623
BL354529,BL218508
BB91135,BB91135
AW190909,AW190909
AW29846,AW29846
EF27642,CP19220
BS5930,BS5930
BL268971,CA84620
BR46080,BR46080
BW6884,BW2836
EH893299,EH309432
BL492441,BL492441
BL101080,BL101080
AP33668,AP8929
AA36052,AA36052
BB97032,BB97032
AP85952,AP49126
AW89260,AW89260
EH828746,EH828746
AA193097,AA193097
DS98004,EH543994
EF9248,EF42181
BL434639,BL434639
EL91399,EL90990
BL442631,BL442631
BL433459,BL433459
DS65803,DS65803
BL302256,BK19920
BL409786,DD108208
EH518951,EH518951
AP23451,AP23451
EF205869,EF203501
EH444638,EH247167
EL33263,EL33263
EP59696,AL150442
BL322975,BL322975
AA70580,AA70580
EL59179,EL50708
EH671857,EH878143
BL442575,BL442575
AY31879,AY30418
BW12388,BW5309
DR40078,DR56457
EH646956,EH646956
BB18323,BB18323
DL34983,DL34983
EF208494,EF208097
EL90728,EL90728
DH30858,DH30858
AT13382,BL166957
EL48793,CT35230
BW36410,BL150803
EH124124,EH256195
BL83971,BL89063
BL261971,BL263370
CY29652,CY29652
CT31104,CT59507
BR195045,EA35260
EF230444,EF230444
EP83839,CJ48533
CY32092,CY32092
BW56516,BW56516
BB41978,AD7321
BL87589,BL381843
EF51844,EL32174
DY5869,DY5869
CH17028,CH17028
EH1109327,EH704163
BL299819,DL151039
EH437125,BP29977
CH16173,CH16173
EM4370,EH419118
EH211991,EH72015
EL12918,EL12918
AL112630,AL112630
EP69790,EP90637
BL205395,BL31434
AA210000,AA69260
CA79888,CA79888
EP62058,EP38660
BL142648,BL164487
EM121654,EM121654
EP8914,EH699833
EH1223790,EH1223790
BE39238,BE39238
EH255984,EH365683
CA30275,EL13836
CB39844,CB6435
EH142460,EH865951
BL245904,CA144046
DP13353,DP13353
BL6881,BL19584
DE226173,AA119928
BL175778,BL175778
CJ134789,CJ134789
EH413244,EH413244
