globalID_A,globalID_B
EL63165,EL63165
DS76846,BM46494
CJ41519,CJ204581
CE51996,DT145187
AL172802,AL172802
EH870816,EH870816
BY122059,DZ63008
BL178388,BL138829
CW55962,CW55962
EH646991,BF13511
EM48430,AA48440
BC47466,BL269838
DR68700,DR18756
DH46486,DH46486
BL417902,BL417902
CW1123042,CW104002
AA160957,AA160957
EM71250,AF28718
EH287729,EH257747
BN32681,BN51339
CF6467,CF6467
AL283971,AL283971
EH1157055,EH98619
AM85720,AM85720
AD22128,AD22128
EH363478,EJ3148
CW848225,CW318611
CW209542,CW128884
CW558045,CW613922
BZ17465,BZ17465
BM10410,DH44286
DP44349,DP44349
DS100491,DS100491
AL279828,EG44459
BM5906,BM5906
AP55497,AP55497
DL137498,DL182488
CA50488,AH7788
DH33738,BL397259
BE281276,CM59685
AA193097,AA193097
DK26119,DK26119
AE16597,CN45217
BL433459,BL433459
DL208079,BW31493
CW26406,CW26406
AN98626,BL113748
BY69826,BY97529
CH51923,CH51923
BY433214,BD99588
AA117057,AA109112
BN466448,CS37240
AB37316,EM89726
DR40078,DR56457
EP60452,EP60452
AN122319,DL164955
BY689798,BY689798
EH515748,DE218898
DL38872,AW82801
DE240154,DE305353
DE101033,EH485166
EM53261,CG67378
EB69142,EN35127
BW56516,BW56516
DY38836,DA99891
DT29550,BC30516
AW210401,AW210401
DE97259,DE97259
AJ42659,AJ42659
CG193993,AJ33266
DA70469,CG72919
CW674598,CW421552
AS74778,AS74778
DB182074,DB182074
DB124955,BH184479
DL92800,DL92800
CG10880,CG10880
BH12664,BH12664
BN313339,BN313339
DZ18814,EF211874
CW655811,CW199905
CW749468,CW749468
ER35336,ER35336
EK18353,EK18353
BE39238,BE39238
BR136456,CB59773
BH93316,BH154092
AL183305,AL183305
CW685262,CW645988
CC95186,CC129167
EH522232,CJ84152
DB285649,DB285649
BY23499,BY23498
DB259359,DB249446
BZ69598,BZ69598
CG143089,CG143089
CW901299,CW873079
CW349223,CW390766
AP62415,AP62415
DR89025,DR89025
AA36026,AA116448
DN3369,DN3369
CM75600,CM75600
BB59176,CC29099
AL78362,EF106228
DC18333,DC18333
AL153239,AL237647
DR94354,DR94354
AK108990,AK27972
CW93112,CW494839
CW939815,CW939815
EH639090,EH639090
BY554848,AS12397
EG3960,AL68785
DS103447,CH50966
BR150029,BY409682
EH59715,EA2157
CW532966,CW196765
CG38027,EH626574
BY672063,BY614260
EH43014,EH43014
CW140809,CW1098180
EH1204208,EH1204208
EN72244,EN72244
CB16992,BA9989
CW121000,CW820416
CA47322,CA98729
CA27105,CA27105
CW1220307,CW1253840
CB69298,CB69298
DB244892,DB244892
BE17299,BE61444
EG50355,CG134870
DL254223,DA94866
CW1124106,CW765534
CG17609,BH114410
DS55362,DS57773
DB141576,EA31079
BL461391,BL221662
BH85348,CM22234
EM101498,EM101498
EB14878,EB14878
DA87354,BM58816
BE159336,BE159336
AB8599,AB8599
DK32774,AS56685
CW125848,CW125848
AL290298,AL290298
BD16359,BD82439
BP68163,DN99712
EJ11801,BD65249
DT140487,DT140487
DT132527,DT132527
DK42426,DK42426
DT74242,DT60292
BE339797,DR18357
BY114107,BY231591
DZ64231,BM67095
BL168369,BL105599
BN388920,BN388920
EH1027469,EH1027469
AN40864,AN40864
CN73905,AN42350
BY526410,BY526410
EM45653,BH114004
EM78255,DN94131
DS97424,DS93248
BR131103,EH463243
DX46458,CG47281
CW110264,CW1263259
BJ11304,AA69206
CW1127559,CW1127559
DT120251,DT133257
EH236514,EH164748
AJ39826,BE299028
BN334881,BN341904
CA47201,CA60338
ED48033,ED48033
EA17031,AS12397
DT117092,BP59374
AA138149,AK134405
BZ44311,BZ44311
EH828480,EH500913
ER42642,CM23507
DE203794,DE194272
BK38167,BK38167
CL53918,CL53918
BY565240,BY202439
CW1095522,CW174187
DT143213,DT143213
BY630746,BY630746
DR49636,DR49636
BL112816,CW418177
CW123401,BN292355
AS63479,AS63479
BD102996,DB113351
CW847903,CW847903
CW673530,CW673530
BE140875,BE17967
BN464443,BN268208
CW144184,CW337298
AL12102,AL12102
EM120298,DE222626
AN157578,BR218797
CW17622,CW17622
CP25930,AC10915
CW754591,CW477572
CW66964,CW66964
DA87354,EB45789
CJ67509,CJ102000
EH828717,EH828717
DT144694,DT144694
AW100633,AW101954
DJ7884,DJ7884
BR114282,BR204278
EB18643,EB18643
CW698745,CZ103326
BN391259,BN391259
CW340120,CW363076
EH669984,EH432943
BL72063,AW55764
EH132050,EH132050
AS53365,AS57951
DB245057,DB245057
BW9230,BW5309
EH10792,EH10792
CW1024756,CW732623
CW356742,CW356742
EG38598,EG38598
AW105575,AW105575
EH174163,EH174163
DB2220,AM32663
BY611253,BY611253
DS34430,CB72541
EH239641,EH474890
CW1022632,DZ68091
DR86193,DR86193
CW182635,CW257892
DT114181,DT44363
CW854258,CW1329685
CM28817,CM28817
BN414804,BN414804
BL382944,BL382944
BH68682,CT34328
CW397643,CW252898
BL350936,BL350936
CW543592,CW1314750
DB290319,DB290319
CW527833,CW1260612
BE377156,BE377156
DZ51580,DZ51580
BN410856,BN410856
BY532687,BE394746
BZ63610,BZ63610
DL76798,AN104562
DS41188,DS41188
BR20471,BR20471
EF109607,EH534928
CJ12521,CJ41175
DA16504,DA5771
BM48684,DA64283
DL252217,DL210151
BY447003,BY412136
AK40025,AK90434
EH536298,EH536298
AP3925,AP3925
AW159914,DZ19273
DS101081,AZ13000
DZ47663,DZ47663
BD86740,CC31247
BW36965,CN30877
BF35264,BF35264
BL78637,BL78637
DX46570,DX46570
BY530060,BN104153
AA199652,AW173495
CG174506,EH1135164
AZ8548,BE65207
DL76263,DL78296
DS34983,DS51147
CC87640,DN41692
AK93862,BH71629
DL243792,DL243792
AG57523,AG25090
CW605615,CW925990
AZ16280,AZ16280
DK36284,EH522675
DK44659,BL226386
AN199699,AN199699
CW966573,CW966573
AA36571,CW34552
BL55119,BL77391
BE281634,BE281634
DT119362,DT119362
EH53148,EH406705
BY243581,BY185647
AW189730,AW40011
BN346973,BT10245
BE392889,BE392889
DK28923,BL119194
CW1325014,CW1325014
CG31195,CC80612
EH293976,BW37583
BL155897,BL155897
BY101836,BY101847
AW100704,AW100704
DR2664,DR140026
AN16443,DZ58242
DB148161,DB148161
BN508431,BN207660
EH1176689,BY570136
AW40204,AW74916
CW597292,CW618833
DD123170,DD123170
DD179359,DD179359
CW1000576,CW1100094
DB229095,BT10245
DR126227,DR50828
BE346013,BE98322
DB221968,DB221968
CW1063169,CW1063169
BY453251,CB57799
CW828409,CW1255180
DL71304,DL174476
DG34909,DG34909
AD18147,BN226564
DA18459,DA18459
CG154270,CG154270
BN231914,BM73500
CN16374,AY4164
AK4488,AK142899
BN346973,BZ62901
CW1178339,CW288374
AA84269,CG2857
BL32789,BL215547
AL226912,AL222925
DA73458,DB204424
BR146590,BR146590
AP12804,AP12804
BY200155,BY565125
EH855278,DZ42096
BB119379,DS89531
CP19768,AL198305
AN130800,CJ188455
BE297129,AA119991
BE110622,BE26263
BY644820,BN322718
EH357677,EH260416
AL14609,AL14609
AW186872,AN156367
BL149780,BL186106
AW92705,AW92705
BP60753,CL61384
EH423740,EH285265
EH581353,EH581353
CJ10227,CJ10227
CA44536,BE79721
EH770065,EA56638
DY24226,DY24226
DX43185,DX43185
AL82522,BR66169
EH603807,EH423200
EM92430,EM92430
