globalID_A,globalID_B
EH1120493,EH1120493
EG30564,EG30564
CW935955,CW935955
CB19041,BH151572
CW946428,CW946428
BH148364,BH148364
EH1117409,EH1117409
AF25756,AF25756
EB38685,EH1268865
CG156658,CG156658
AW24175,AW24175
AW192414,AW192414
CE55285,CE55285
AF23986,AB38383
DD125933,DD35664
CC151687,CW1205816
EH1002387,EH761105
AB25016,DT66245
BL325058,BL325058
ED27575,ED27575
BY30695,BY47917
AD22128,AD22128
CG130534,BN407464
CW701269,CW837465
BN454765,BN454765
BY494984,BY462547
EH1134374,EH1134374
AK61681,DB31797
EF84467,EF84467
EH1006682,DB86180
AN228734,AN228734
BY492361,CJ172096
AJ21218,DE114510
BY511276,BD72879
DL112931,DL112931
AZ2786,AZ2786
CW608300,CW608300
EG26677,EG11324
AA95406,AA95406
CL55104,AP13711
BW57225,BW57225
BY625634,BN188023
EH560722,EH560722
CN53977,AG38264
BN184764,DA30687
EH1130516,EH1130516
CW349783,CW718888
BB111095,CT48647
EH920620,EH920620
EL55279,DT107416
CC69403,AL167816
AL58368,EB26038
DS86488,EA32109
CW1186186,CW1049611
BY383163,EH884709
BN254956,BN24300
EF114901,EF114901
DG53249,DG53249
EH771848,EH771848
DL223468,DL57250
EH651093,EH651093
AL215340,AL215340
DN160666,DN160666
DX3289,EG32374
CW818996,CW1123687
BY239333,BY494830
EM22093,EM22093
BY636136,BY636136
CW1266400,DE328124
CW993501,AP91680
EH618885,EH618885
BH187191,BH187191
CW846716,DN90936
CW724962,CW724962
DT123077,DT123077
CL42218,DW67359
BH23184,BH153598
DN80276,DN80276
AL279828,AL243163
CG126050,BE30488
BZ9813,BZ9813
CY29652,CY29652
DE271737,EL16894
AX71812,AX71812
DX34626,DX34626
EH813822,EH813822
BY509197,BY149626
BY483607,BY5628
DT29550,BC30516
DK30364,CA81410
EG55706,BL325765
DB208951,AL326808
BL296976,BL296976
CW693302,CW658638
AP85397,AP85397
CW728730,CW753122
BL66656,EH62861
DB269361,CZ72530
AX67757,AX67757
DB197738,DB189747
AS97681,AS97681
EN59666,EN59666
ES21744,AP68630
EH669014,EH669014
AL246516,AL246516
EL52631,EL82222
DB287442,DB287442
AS46149,EH778184
BL250201,BL124060
DL90453,AB26701
CM64013,CM43579
DL176050,DL166341
AM107898,AM107898
EL73318,EL73318
AN162448,AN162448
EH222798,CN30877
CW931513,CW931513
EP38960,EP24392
EF141831,BR81884
CG111160,CG111160
CW1141240,CW1202557
AA124376,AA124376
BC60177,BC60177
DT58759,CG164024
CW1034810,CW1034810
CW318689,CW197920
BY401307,BY401307
DD191153,CC153196
DM27191,CA143799
BY509197,BY86447
AL115582,AL63923
CW520965,CW718888
BN395234,BN395234
BZ35880,BZ35880
BL309781,BL309781
DL241592,BL428771
CW1142012,CW618305
EH926134,EH932003
BN229359,AM18679
BW56383,EH581042
EN15113,EN15113
CW556081,CW371907
CA36426,AW85280
BN370119,BN340986
DB161234,DB161234
EH820028,EH820028
EH975673,EH975673
BH104703,BH104703
CX2895,CX2909
BC26709,BC26709
EH1022388,EH1022388
BY404425,BY502533
AK142289,AK142289
AF23986,AS73674
EH260191,EH1089167
BN112715,BD155868
BR168956,BR168956
AL290041,AL290041
BH118490,BL297801
DZ26083,DL118221
AF24870,AF24870
CR33056,CR33056
EH671857,AN102529
DT134121,EH778184
CW1170595,CW1170595
AK154929,AK154929
DA45101,DA45101
BL420205,BL290771
DX53346,DX53346
BR150029,EH576280
AJ19932,AJ19932
DH37587,EH1287830
AY22112,BW48570
EF42052,AL230603
DE290195,DE290195
BG42754,BG42754
AB47824,AB47824
DE271458,DE311349
DA95453,DA95453
CW724012,CW724012
CW747178,CW703973
DR67161,DR67161
CW827085,BY554080
ER31027,CW698226
AL321884,AL139859
EH597553,EH597553
CW556081,CW758719
BN420622,BN412460
BL388307,BL388307
EH902812,EH902812
EB38685,BL230092
CJ111091,DA50351
AN47392,CC33700
ED37622,BT10245
EH1157652,EH1157652
AS81868,AS81868
AM62502,DH36384
EH785592,EH529130
BY579336,BY579336
EH614685,EH558281
DK30364,EH511095
CB69298,CB69298
EH862969,EH862969
AA183362,AA183362
BG22738,DH41256
EL93736,EL93736
BY304504,BN88689
AL222836,AL222836
DB196503,DB196503
CL39785,CW643944
EH605076,EH500518
DL186008,DL115405
CB45760,CB45760
EL67621,EL67621
CC40864,CC60150
CW747660,CW1205816
AK47868,AK47868
CW1165846,CW546856
BW32041,BY325478
DE247892,DE7204
DT141805,DT141805
CW1019412,CW1001358
DA16761,DA16762
DZ52607,EH488092
EH1093929,EH1093929
BW57742,DD164480
AS80329,AS80329
DL152880,DL152880
EH1086816,EH1086816
AL198053,CN89488
AN18697,AN18697
EH853505,CH59695
EH592293,AP13711
EH600784,EH600784
CB32958,BN364847
CW886170,CW1302546
EH670857,EH670857
AS97222,AS97222
DE209074,DE62666
BY618737,BY292424
BW35837,AP91680
DL116295,DL133671
DL256119,DL256119
EG24639,DL47419
DG41964,DG41964
AN175167,AN175167
EH956576,EH956576
EH953199,EH953199
ED32864,BW48570
AW111674,AW111674
EH776121,EH776121
EH678582,EH678582
DE232673,EL68332
DT77516,DT77516
AM74653,AM58008
BH148721,BH148721
BN319102,BL146946
BG18111,BG26333
AN187021,AN187021
CW1173931,CW1326299
EH1088270,DT124377
EH1108534,EH1108534
DE48403,CW178469
BL504619,BL504619
DL178585,DL178585
EA31079,EA31079
EH682941,EH682941
BN525072,BN525072
DZ47457,EA54857
CG78609,DE102907
CA73341,DL166341
DB135981,DB135981
EH776305,EH776305
BE247573,BE247573
EH606407,EH606407
CA104208,CA104208
AA151034,AA151034
BD72338,BD72338
DS92362,EP52357
DB235739,DB235739
BL347486,BL347486
DP35138,CG104009
BN361787,BN459680
DT87035,DT87035
CJ127475,CJ127475
EH222798,BH157768
DB264288,EH485365
CA96556,CA96556
BH97022,BW46155
BW63343,CB61407
CW707159,CW539837
EH849557,EH849557
EH1241074,EH1241074
CA22448,EH603953
CW777982,CW685353
AB25016,BM35866
DL211541,DL211541
DA101642,AN102529
DX48366,DX48366
CW827085,CW783479
CG106417,DN163256
DE324685,DE276634
EP86577,EP86577
BY307531,BY561739
DT135154,DT135154
EH619838,EH576280
AX13640,AX13640
AN228269,AN228269
DK22074,DK22074
BN240634,EB62899
EB31315,CW722936
EH850631,EH566103
BP59198,BP59198
AA166619,AA166619
CB32958,AP64158
AK136719,AK136719
BN178019,BN161823
ES21744,BN377845
DL190130,DL226810
CW745359,CW745359
CW318481,CW318481
CW841079,CW732623
DE41016,DE10307
AJ21509,AJ21509
BY357219,BZ36890
EH643200,BH84915
EH1049402,EH1049402
CS13211,CS13211
CW541003,CW688772
CH37702,BE245234
CZ76218,CZ76218
BR186518,BR186518
EF131138,EF131138
DH2523,DH2523
DB207585,DB29752
CW884353,CW553195
BE324513,BE324513
BK35536,BK35536
DK26479,ES11817
CW644997,CW972646
BN339855,BN339855
ER33690,AM74150
BL403027,BL428771
ES18856,DT108942
AP22074,AP22074
DB238049,DB67406
CW387958,CW387958
DR129831,DR129831
EH1056862,DL161143
BW32041,AN22044
EH736474,EH736474
DC18353,DC18353
BE258368,BE258368
AN111915,BY390276
BK32375,BK32375
