globalID_A,globalID_B
DD86797,DD86797
AL202795,BM46818
EM8972,EH12322
BK20084,EH895461
EH258277,CW172884
EN59398,DC7212
BH32481,CA132120
EH767214,CJ132220
AA77697,BN119103
BW4503,EM37441
CW260613,CW262823
DL99603,DL99603
CS2885,DE216650
AP24857,EF104971
DB201074,BR138481
CG33532,DD179694
CG97215,CZ80717
AX36207,EB46843
AD7718,CM13803
BN108129,BN152303
BN322341,DD103899
BP10434,BL15019
EH729630,DX49402
CW279038,CW246869
CN69809,CN69809
AK52435,EH479860
EL41838,EL61969
CT31295,DE69229
CG132906,CG132906
BN27520,BN45149
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
AL86167,EF101917
DE95274,EH111367
DB209092,DG50023
CS16659,EH293203
EH380532,EH380532
AL82564,BR53523
AS51766,EH894871
EH97855,EH97855
EH412551,EH404736
BL92893,BL92893
EG24586,EG24586
CW290257,CW290732
EH424525,BR15602
EH843274,BN171514
AA54334,DB316258
DE210089,DB91865
EH441963,DB137426
BY115006,AD9906
EF141542,AZ14702
BY515286,BY515286
BY441406,CT18578
BH146301,BN322055
DE115038,AN47393
CH15631,DD9268
EH77846,BH58839
AL219639,AL203094
EF136177,EF208909
CB5668,CB5668
BN70274,BN70017
AY16462,CX9841
BN28208,BN4867
BN384065,CR5210
CW262272,CW169440
EH99342,EG19656
EM5877,DZ7360
DL92983,EH743061
AL33898,CW318910
EH846010,CC28347
BL48627,DL8723
CZ83222,DE157483
CW277959,CW211647
BY348535,CA105474
DT55952,DT55952
CW387787,CW330807
CC55218,DL148923
AW109037,DM35255
EH441050,EM10131
DN127831,DE284012
DT14744,AL45075
AT24316,AT24316
BE71891,DL14394
DX33420,DN86201
BB49697,EH158246
AY20703,EH688298
CG102338,CG102338
ES17035,CE36449
BM58573,BM58573
EF13342,BL70972
AA2219,DB284432
DZ58422,BY541913
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
BN90967,DE169063
EH863013,EH863013
BL52661,EH997103
BG20523,BG20523
BY39357,DW45001
EH452926,DT96474
DN36257,DN36257
DZ47203,DZ47203
DE134816,BW68348
CM53634,CE31728
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
DE113620,DE269281
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
EH235225,EH235225
AX31664,DE15327
EB47668,CZ38335
EG26747,DB180859
DN27026,EF194276
BE20665,DZ38011
BG27319,BL110067
EH166211,BY585949
AA91846,CW1330815
CW37878,CW16170
DA49119,AA41500
BY274534,BM39631
DR107151,BR97567
BN273613,DT75865
CK11929,EH833495
BN415521,CZ67030
CE9816,AN61158
BY433197,EH436540
BE45821,BY211613
AW181260,BD132006
CX12021,CX12021
EH508500,EH266072
DG5432,EG4756
BE219561,AA138864
DD40508,CC29546
CP11399,BN371217
DT113300,EN7105
DN4116,CW17887
EH45798,AM90074
EF148147,BP48596
CJ139618,CL37014
BL200632,AP41039
CT36563,BH14618
DN92675,DT50165
BL385580,BN282033
DT134602,DT134602
BD117392,AS85064
ES14411,EC10674
DE58224,DZ7360
DE210089,AS48089
DD14446,DD14446
AS23951,AS10743
EH758813,AL92504
CW87579,CW1346414
BN104008,DA6575
CS20699,EB46217
CR2258,AX50977
AW121721,AW91519
EH521175,BN432302
BY251707,AG62598
BN85449,AA32774
BW20202,EH189278
DB156306,DM27984
BR36073,BR36073
AY16463,AY28736
BE113862,CL37014
DA5238,EP55923
EH456740,DZ28077
CG128813,EH669343
BE169999,BE169999
EH451024,AL244546
DD32860,DD32860
DL157380,AW68694
BN15341,BN322536
DL190334,CP3573
