globalID_A,globalID_B
DD86797,DD86797
CC25806,CC25806
EM8972,EH12322
BJ31211,BJ31211
BK20084,EH895461
EH424512,EH152866
CW893573,DN117766
DE184014,BP32359
EH613350,AW95516
BH32481,CA132120
AA77697,BN119103
CN26565,DB296970
EH788088,EB78820
CN5293,AA111505
AG38068,AP74429
CW260613,CW262823
DL99603,DL99603
EP69010,EP69010
BH111834,AH12452
DB201074,BR138481
BB50031,AE18601
AX36207,EB46843
AD7718,CM13803
AN60483,AN44281
BN108129,BN152303
BP10434,BL15019
EH729630,DX49402
BY395533,CW642295
CW279038,CW246869
CW303741,CA90969
EL41838,EL61969
CN70617,CC75010
CG132906,CG132906
ES15089,ES15089
BN27520,BN45149
AL66096,DD109207
AN88052,AN56949
BE39265,BE433883
BN407297,BN407297
EH338388,EL37443
BM35990,DA6075
BN54486,BN31827
AJ29299,EH404939
AL86167,EF101917
BL188910,DE100221
EH518665,DG28565
EH341465,BE386142
BY505647,BY505647
DH36777,CC19668
CS16659,EH293203
BR7628,BR7626
EH380532,EH380532
CE37402,BY320599
EP65461,AW154607
AH3597,AA155475
AS51766,EH894871
EH97855,EH97855
EH578096,EH923436
EH412551,EH404736
BL92893,BL92893
DL213448,DL213448
EH643576,DB288857
EG24586,EG24586
CW290257,CW290732
EH424525,BR15602
EH393953,EH1101589
EH441963,DB137426
BY394581,EP29500
EF141542,AZ14702
CB72146,EF29772
DE66248,AN35251
BY515286,BY515286
DE115038,AN47393
CW163962,BL206966
CM55903,CM55903
CW271509,CW91267
EH77846,BH58839
AL219639,AL203094
EH65600,BL519530
CG43923,CG43923
EH170073,EH262897
EH264006,EH263426
AM84359,AP81513
CL20650,CL20650
BY335300,BY346477
BW13771,EF17372
CW263666,CW518625
CB5668,CB5668
BH130498,BH180828
BN70274,BN70017
BA3607,CP8349
DR41900,DR52070
AY16462,CX9841
BN28208,BN4867
AA49790,CL23111
BN384065,CR5210
EP35555,AG17755
EH99342,EG19656
EM5877,DZ7360
DL92983,EH743061
AL33898,CW318910
BL48627,DL8723
BL166619,EH364830
CW277959,CW211647
AM71277,BB81091
DT55952,DT55952
CL40838,CL40838
DD83466,DD83466
CW387787,CW330807
CC55218,DL148923
BN260995,BY234002
CW877078,EH2112
EH441050,EM10131
BN27507,BN67526
AP47782,AL105078
AS64549,BN438103
DT14744,AL45075
AT24316,AT24316
EA23743,CC95200
CJ71874,BY346362
DP5742,EH743061
BB44966,EH695612
CG102338,CG102338
ES17035,CE36449
AN101640,DB137426
BM58573,BM58573
EP72286,DZ30130
EF13342,BL70972
DZ58422,BY541913
DL23582,DL3076
EH617805,EH283148
DN109650,BH65179
CW345849,CW357056
BN90967,DE169063
AW183536,AW183536
EH863013,EH863013
EF106268,AL223727
BL52661,EH997103
CW406262,CW1124900
BG20523,BG20523
BY39357,DW45001
DY16554,CC21645
EP75867,DD116108
AS68732,EH192550
DN36257,DN36257
DZ47203,DZ47203
BN5662,BN5662
CM53634,CE31728
AX33818,EH1065269
DE171522,CW259111
EH277018,BZ31550
CM15628,CM15628
EH754253,EH754253
BY103377,AP49117
CW125202,AM98354
DE181659,DE181659
BY560392,BY560392
EH368328,BP39502
DL37750,AA25793
AY29958,BY65454
BY243289,BY558005
CA48545,BE40268
EH235225,EH235225
ED12031,BL34787
DN74562,CW699179
DA64517,BH66508
AS10563,DB47340
CP33037,CP33037
EH112343,EH112343
EG26747,DB180859
EF60964,AN142108
BN261419,BN421459
DN27026,EF194276
BE20665,DZ38011
BG27319,BL110067
BN30642,BN70729
AA91846,CW1330815
DL182966,EB59493
CW37878,CW16170
CC120095,EF158829
DT70749,DT70749
EH872850,EH872850
BY274534,BM39631
EH72459,EH72459
DR107151,BR97567
CK11929,EH833495
DZ37887,BZ3685
EM100654,BY537128
BL51372,BL51372
BN415521,CZ67030
CG6740,CG6740
CG63464,EH238844
EH487161,EH487161
AA123412,BP12412
BY433197,EH436540
BE45821,BY211613
CX12021,CX12021
AW60785,DE168984
EH508500,EH266072
DD40508,CC29546
EH715063,BH100372
CP11399,BN371217
EH45798,AM90074
EF148147,BP48596
DR20685,DT116757
BL200632,AP41039
EB34304,CW214722
DJ4365,DJ4365
BR107126,BW21882
BL385580,BN282033
DB84985,DB166078
AW128858,EH1062461
DT134602,DT134602
DT119775,DL113325
BY320599,BL277310
DD14446,DD14446
EH141882,EH141882
EF9299,EF9299
AS23951,AS10743
EH758813,AL92504
CW87579,CW1346414
CW385647,BL117941
BN104008,DA6575
CS20699,EB46217
DD20108,AN60411
DL109728,BE458822
DT80514,DT80514
DE212480,DE212480
CW622547,CW375845
AW121721,AW91519
DW22221,BE40268
EH521175,BN432302
CZ7572,BY119140
BN85449,AA32774
EH51658,EH384299
BR36073,BR36073
ED36733,CG131353
DC6367,DC6367
AY16463,AY28736
CW404349,CW253653
BE113862,CL37014
EH456740,DZ28077
DL189379,DL189379
BN167721,AN99051
BE169999,BE169999
EH451024,AL244546
DE217101,DE189871
DD32860,DD32860
CW16024,CW88389
DH26181,CW914678
BR166916,BR166916
EH784757,EH434166
CG118861,DD185952
BN15341,BN322536
DH44982,DH44982
AC13977,AC13977
EH342979,EA37722
CW87981,CW176729
EH658365,EN55633
BL278653,AG38730
CW658637,EH327445
BE300110,CW590193
BY532056,BY139783
EH95490,EH225089
AP63803,BM39077
CW457556,CW457556
EH52747,BR43001
CG85126,CG91140
EH608667,DS92507
EH704768,BP16411
BN190178,BL156586
BH65534,EN62814
AF17591,AA80927
DH44127,CW253920
CX19614,EH629241
BN19528,BN19544
BL107715,DD202768
CW424562,BN172364
AW36002,AW36002
EH35721,EH71088
EF68929,CW170217
BN60798,BN60102
CW126062,CW46279
BN406028,BN406028
CW830121,CW830121
DR68524,DH36071
BE155553,BE32984
AX14358,EH948691
CW34939,CW1345046
EH714547,AP5300
EF148295,DX50762
BL345541,BL345541
CW850159,DL86005
CH27717,CW553167
EH728761,DA96629
CG112884,CG112884
EH188664,EH188664
BN120897,BN124864
CG18411,CG195620
AN118442,CW239742
DL18766,BY484252
CC51772,BB49478
AN44583,BE120422
BL337810,BL160937
BN334110,BN334110
EH218563,CA24120
BR45934,BR45934
EH740008,DZ33075
DL143657,CE62836
DB194687,DB194687
CZ48669,CL23930
AA108793,DD141811
DR88468,DR88468
CB45732,BC50262
AW149232,BY404156
CG136151,DH21690
CW326789,CW449067
CC37456,CW685847
AM64268,DE196338
BN370912,EH687079
EH627164,CL32696
BG18988,BG18988
DD18969,EH373536
EH566601,EH934766
EM91108,EM91108
ES16967,BB117664
AE26817,AL212178
EM36513,EM36513
BN27520,BN68631
EN61592,EN61592
BN261058,EA23565
CW852300,CW852300
AA131677,AA79843
BL309129,BL309129
EH9507,AW92838
CP38136,DH54777
AM19800,AM19800
DT117918,EH381519
CW847537,CW847537
AJ10600,BZ34358
CF4591,EF51754
EP42104,EH207434
CX18607,CX18607
